"gene","iM","Val"
"b2421","Cysteine-1",-7.14653186693725
"b2421","Cysteine-2",-3
"b2762","Cysteine-1",-6.66049782013884
"b2762","Cysteine-2",-4
"b2422","Cysteine-1",-6.52860392488031
"b2422","Cysteine-2",-4
"b2763","Cysteine-1",-6.51538047600857
"b2763","Cysteine-2",-3
