,looks_good,checked,include,force_rerun,sanity_plots,act_iM,inh_iM,basal_conditions,grid_use,basal_bool,basal_or_hard_val,hard_val,use_zerod_A_matrix,initial_guess_ratio,use_target_range,target_range,base_cInhibitor_val,base_cActivator_val,auto_set_max_range,additional_tolerance,cActivator,cInhibitor,run_greedy,neg_grid_toss_OR_zero,seed,n_ind,mu,lambda_,cxpb,cx_prob,mutpb,mt_prob,n_gen,verbose,n_iter,max_steps,n_rounds
b2253,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1309,-1,TRUE,FALSE,FALSE,TRUE,YcjW,,['p1k_00366'],7,FALSE,basal,10,TRUE,0.05,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2255,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],8,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2256,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2257,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4114,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4544,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0774,1,TRUE,TRUE,FALSE,TRUE,Biotin,,['p1k_00456'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0775,1,TRUE,TRUE,FALSE,TRUE,Biotin,,['p1k_00456'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0776,-1,TRUE,FALSE,FALSE,TRUE,Biotin,,['p1k_00456'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0777,1,TRUE,TRUE,FALSE,TRUE,Biotin,,['p1k_00456'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0778,1,TRUE,TRUE,FALSE,TRUE,Biotin,,['p1k_00456'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2058,1,TRUE,TRUE,FALSE,TRUE,Capsule,,['p1k_00540'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
