,RNAP
starve_series__t00_growth1,6.855314891076627e-08
starve_series__t01_starve,6.855314891076627e-08
starve_series__t02_starve,6.855314891076627e-08
starve_series__t03_starve,6.855314891076627e-08
starve_series__t04_starve,6.855314891076627e-08
starve_series__t05_starve,6.855314891076627e-08
starve_series__t06_starve,6.855314891076627e-08
starve_series__t07_starve,6.855314891076627e-08
starve_series__t08_starve,6.855314891076627e-08
starve_series__t09_starve,6.855314891076627e-08
starve_series__t10_starve,6.855314891076627e-08
starve_series__t11_starve,6.855314891076627e-08
starve_series__t12_starve,6.855314891076627e-08
starve_series__t14_starve,6.855314891076627e-08
starve_series__t16_starve,6.855314891076627e-08
starve_series__t17_starve,6.855314891076627e-08
starve_series__t18_starve,6.855314891076627e-08
starve_series__t21_growth2,6.855314891076627e-08
starve_series__t22_growth2,6.855314891076627e-08
starve_series__t23_growth2,6.855314891076627e-08
starve_series__t25_growth2,6.855314891076627e-08
starve_series__t26_growth2,6.855314891076627e-08
starve_series__t27_growth2,6.855314891076627e-08
starve_series__t28_growth2,6.855314891076627e-08
control__wt_glc__1,6.855314891076627e-08
control__wt_glc__2,6.855314891076627e-08
fur__wt_dpd__1,6.855314891076627e-08
fur__wt_dpd__2,6.855314891076627e-08
fur__wt_fe__1,6.855314891076627e-08
fur__wt_fe__2,6.855314891076627e-08
fur__delfur_dpd__1,6.855314891076627e-08
fur__delfur_dpd__2,6.855314891076627e-08
fur__delfur_fe2__1,6.855314891076627e-08
fur__delfur_fe2__2,6.855314891076627e-08
acid__wt_ph5__1,6.855314891076627e-08
acid__wt_ph5__2,6.855314891076627e-08
acid__delgadx_ph5__1,6.855314891076627e-08
acid__delgadx_ph5__2,6.855314891076627e-08
acid__delgadw_ph5__1,6.855314891076627e-08
acid__delgadw_ph5__2,6.855314891076627e-08
acid__delgade_ph5__1,6.855314891076627e-08
acid__delgade_ph5__2,6.855314891076627e-08
oxidative__wt_pq__1,6.855314891076627e-08
oxidative__wt_pq__2,6.855314891076627e-08
oxidative__deloxyr_pq__1,6.855314891076627e-08
oxidative__deloxyr_pq__2,6.855314891076627e-08
oxidative__delsoxr_pq__1,6.855314891076627e-08
oxidative__delsoxr_pq__2,6.855314891076627e-08
oxidative__delsoxs_pq__1,6.855314891076627e-08
oxidative__delsoxs_pq__2,6.855314891076627e-08
nac_ntrc__wt_csn__1,6.855314891076627e-08
nac_ntrc__wt_csn__2,6.855314891076627e-08
nac_ntrc__wt_cytd__1,6.855314891076627e-08
nac_ntrc__wt_cytd__2,6.855314891076627e-08
nac_ntrc__wt_gln__1,6.855314891076627e-08
nac_ntrc__wt_gln__2,6.855314891076627e-08
nac_ntrc__bw_delnac_csn__1,6.855314891076627e-08
nac_ntrc__bw_delnac_csn__2,6.855314891076627e-08
nac_ntrc__bw_delnac_cytd__1,6.855314891076627e-08
nac_ntrc__bw_delnac_cytd__2,6.855314891076627e-08
nac_ntrc__bw_delnac_gln__1,6.855314891076627e-08
nac_ntrc__bw_delnac_gln__2,6.855314891076627e-08
nac_ntrc__bw_delnac_nh4__1,6.855314891076627e-08
nac_ntrc__bw_delnac_nh4__2,6.855314891076627e-08
misc__wt_no_te__1,6.855314891076627e-08
misc__wt_no_te__2,6.855314891076627e-08
misc__bw_delcbl__1,6.855314891076627e-08
misc__bw_delcbl__2,6.855314891076627e-08
misc__bw_delfabr__1,6.855314891076627e-08
misc__bw_delfabr__2,6.855314891076627e-08
misc__bw_delfadr__1,6.855314891076627e-08
misc__bw_delfadr__2,6.855314891076627e-08
misc__nitr_031__1,6.855314891076627e-08
omics__wt_glu__1,6.855314891076627e-08
omics__wt_glu__2,6.855314891076627e-08
omics__wt_gly__1,6.855314891076627e-08
omics__wt_gly__2,6.855314891076627e-08
omics__wt_thr__1,6.855314891076627e-08
omics__wt_thr__2,6.855314891076627e-08
omics__bw_ac__1,6.855314891076627e-08
omics__bw_ac__2,6.855314891076627e-08
omics__bw_fum__1,6.855314891076627e-08
omics__bw_fum__2,6.855314891076627e-08
omics__bw_glc__1,6.855314891076627e-08
omics__bw_glc__2,6.855314891076627e-08
omics__bw_pyr__1,6.855314891076627e-08
omics__bw_pyr__2,6.855314891076627e-08
ompr__wt_nacl__1,6.855314891076627e-08
ompr__wt_nacl__2,6.855314891076627e-08
ompr__bw_delompr_nacl__1,6.855314891076627e-08
ompr__bw_delompr_nacl__2,6.855314891076627e-08
minspan__wt_ade__1,6.855314891076627e-08
minspan__wt_glc__1,6.855314891076627e-08
minspan__wt_glc__2,6.855314891076627e-08
minspan__wt_glc__3,6.855314891076627e-08
minspan__wt_glc__4,6.855314891076627e-08
minspan__wt_glc_anaero__1,6.855314891076627e-08
minspan__wt_glc_anaero__2,6.855314891076627e-08
minspan__wt_trp__1,6.855314891076627e-08
minspan__bw_delcra_glc__1,6.855314891076627e-08
minspan__bw_delcra_glc__2,6.855314891076627e-08
minspan__bw_delcra_trp__1,6.855314891076627e-08
minspan__bw_delmntr__1,6.855314891076627e-08
minspan__bw_delnac_ade__1,6.855314891076627e-08
minspan__bw_delnac_glc__1,6.855314891076627e-08
cra_crp__wt_ac__1,6.855314891076627e-08
cra_crp__wt_ac__2,6.855314891076627e-08
cra_crp__wt_fru__1,6.855314891076627e-08
cra_crp__wt_fru__2,6.855314891076627e-08
cra_crp__delcra_ac__1,6.855314891076627e-08
cra_crp__delcra_ac__2,6.855314891076627e-08
cra_crp__delcra_fru__1,6.855314891076627e-08
cra_crp__delcra_fru__2,6.855314891076627e-08
cra_crp__delcra_glc__1,6.855314891076627e-08
cra_crp__delcra_glc__2,6.855314891076627e-08
rpoB__wt_031__1,6.855314891076627e-08
rpoB__wt_044__1,6.855314891076627e-08
rpoB__wt_lb__1,6.855314891076627e-08
rpoB__wt_lb__2,6.855314891076627e-08
rpoB__rpoBE546V_031__1,6.855314891076627e-08
rpoB__rpoBE546V_044__1,6.855314891076627e-08
rpoB__rpoBE546V_lb__1,6.855314891076627e-08
rpoB__rpoBE546V_lb__2,6.855314891076627e-08
rpoB__rpoBE546V_glc__1,6.855314891076627e-08
rpoB__rpoBE672K_glc__1,6.855314891076627e-08
rpoB__rpoBE672K_glc__2,6.855314891076627e-08
rpoB__rpoBE672K_lb__1,6.855314891076627e-08
rpoB__rpoBE672K_lb__2,6.855314891076627e-08
crp__wt_fru__1,6.855314891076627e-08
crp__wt_glyc__1,6.855314891076627e-08
crp__wt_glyc__2,6.855314891076627e-08
crp__delar1_glyc__1,6.855314891076627e-08
crp__delar1_glyc__2,6.855314891076627e-08
crp__delar1ar2_glyc__1,6.855314891076627e-08
crp__delar1ar2_glyc__2,6.855314891076627e-08
crp__delar1ar2_glyc__3,6.855314891076627e-08
crp__delar2_glyc__1,6.855314891076627e-08
crp__delar2_glyc__2,6.855314891076627e-08
crp__delar2_glyc__3,6.855314891076627e-08
crp__delcrp_fru__1,6.855314891076627e-08
crp__delcrp_fru__2,6.855314891076627e-08
crp__delcrp_fru__3,6.855314891076627e-08
crp__delcrp_glc__1,6.855314891076627e-08
crp__delcrp_glc__2,6.855314891076627e-08
crp__delcrp_glc__3,6.855314891076627e-08
crp__delcrp_glyc__1,6.855314891076627e-08
crp__delcrp_glyc__2,6.855314891076627e-08
crp__delcrp_glyc__3,6.855314891076627e-08
glu__glu_ale3__1,6.855314891076627e-08
glu__glu_ale4__1,6.855314891076627e-08
glu__glu_ale5__1,6.855314891076627e-08
glu__glu_ale6__1,6.855314891076627e-08
glu__glu_ale8__1,6.855314891076627e-08
glu__glu_ale9__1,6.855314891076627e-08
glu__glu_ale10__1,6.855314891076627e-08
42c__wt_42c__1,6.855314891076627e-08
42c__42c_ale1__1,6.855314891076627e-08
42c__42c_ale2__1,6.855314891076627e-08
42c__42c_ale3__1,6.855314891076627e-08
42c__42c_ale4__1,6.855314891076627e-08
42c__42c_ale5__1,6.855314891076627e-08
42c__42c_ale6__1,6.855314891076627e-08
42c__42c_ale8__1,6.855314891076627e-08
42c__42c_ale9__1,6.855314891076627e-08
42c__42c_ale10__1,6.855314891076627e-08
ssw__wt_ac__1,6.855314891076627e-08
ssw__wt_glc__1,6.855314891076627e-08
ssw__wt_glyc__1,6.855314891076627e-08
ssw__wt_xyl__1,6.855314891076627e-08
ssw__glc_ale1__1,6.855314891076627e-08
ssw__glc_ale2__1,6.855314891076627e-08
ssw__glc_ale3__1,6.855314891076627e-08
ssw__glyc_ale1__1,6.855314891076627e-08
ssw__glyc_ale2__1,6.855314891076627e-08
ssw__xyl_ale1__1,6.855314891076627e-08
ssw__xyl_ale2__1,6.855314891076627e-08
ssw__xyl_ale3__1,6.855314891076627e-08
ssw__glc_ac_ac2__1,6.855314891076627e-08
ssw__glc_ac_glc1__1,6.855314891076627e-08
ssw__glc_ac_glc2__1,6.855314891076627e-08
ssw__glc_glyc_glc__1,6.855314891076627e-08
ssw__glc_glyc_glyc__1,6.855314891076627e-08
ssw__glc_xyl_glc__1,6.855314891076627e-08
ssw__glc_xyl_xyl__1,6.855314891076627e-08
pgi__glu4_delpgi__1,6.855314891076627e-08
pgi__pgi_ale1__1,6.855314891076627e-08
pgi__pgi_ale2__1,6.855314891076627e-08
pgi__pgi_ale3__1,6.855314891076627e-08
pgi__pgi_ale5__1,6.855314891076627e-08
pgi__pgi_ale6__1,6.855314891076627e-08
pgi__pgi_ale7__1,6.855314891076627e-08
pgi__pgi_ale8__1,6.855314891076627e-08
ica__wt_glc__1,6.855314891076627e-08
ica__wt_glc__2,6.855314891076627e-08
ica__wt_glc__3,6.855314891076627e-08
