,b1287,b1729,b2414,b2423,b2751,b2752,b2764
starve_series__t00_growth1,0.1537852764012413,0.2907906842035527,0.2420169193652736,0.1267647188719169,0.0821180464278836,0.1058855516945395,0.1858328552683931
starve_series__t01_starve,0.1810740444586402,0.0242874129455409,0.2268627835124418,0.2280318852468345,0.1710031967281296,0.1099403471177974,0.1914559905138848
starve_series__t02_starve,0.0066215567635392,0.010980866520175,0.0195881219864646,0.0076640956849782,0.0059680673452129,0.0051556001232674,0.0032027984589588
starve_series__t03_starve,0.0060593246219216,0.0086828949620622,0.0194462680019907,0.0060860919179018,0.0070762015271138,0.0044204669129165,0.0030156014448727
starve_series__t04_starve,0.0062880407748109,0.0069041664643943,0.0261486627792069,0.0082547817461145,0.0090943295395327,0.0059373936219867,0.0036835578467636
starve_series__t05_starve,0.0039961237093235,0.0066345941926415,0.0203141529718475,0.007206261786331,0.0083720191555137,0.0056776844952851,0.0031525393320447
starve_series__t06_starve,0.0038375222132534,0.008693174287812,0.0120481391757894,0.0055481225245717,0.0054145016854616,0.0031122812709744,0.0021825536943513
starve_series__t07_starve,0.0028747049424829,0.008094893915837,0.0093469331112467,0.0045999101053542,0.00464971954263,0.0024817869420664,0.0014725213485923
starve_series__t08_starve,0.0032378564738936,0.0093801385802303,0.0089247603839511,0.0041809731747051,0.0043078014799301,0.0021452631485509,0.0013434389289193
starve_series__t09_starve,0.0022041250416928,0.0103754611760551,0.0092331803643173,0.0037871656213659,0.0043169322520505,0.0024165284336786,0.0015487388853442
starve_series__t10_starve,0.0024049591163199,0.0125005178079863,0.0089270370602458,0.0042501990566166,0.004100536500379,0.0025284349297694,0.0013788097273088
starve_series__t11_starve,0.0021253995031604,0.01440524315203,0.0086912659082462,0.0045448158742305,0.0041561171905046,0.0022345196505241,0.001565163540929
starve_series__t12_starve,0.0023230503158621,0.0162662331076428,0.006762300110376,0.0042665853114431,0.0029981486446815,0.0016461329616435,0.0014057368431697
starve_series__t14_starve,0.0019460427897051,0.0198441269793899,0.008587904302607,0.0050949065166971,0.0033857528922565,0.0019094908261031,0.001561665639796
starve_series__t16_starve,0.0025700999279666,0.028222927552608,0.0090781081935346,0.0057433763767321,0.0033753934185429,0.0017297501804722,0.0016896511855497
starve_series__t17_starve,0.0022405283958515,0.0416287584319329,0.0162175274911183,0.0100111591886101,0.0038336898130462,0.0022986612617334,0.0027353580872872
starve_series__t18_starve,0.0022175208633021,0.0454343635443452,0.0101725291419591,0.0053462543893267,0.0035347637374293,0.0015924864198136,0.0017096959588825
starve_series__t21_growth2,0.885323115612068,0.8274442628853533,0.6666206530152377,0.553741222376751,0.3378464401158321,0.4013744748693876,0.639178325816113
starve_series__t23_growth2,1.7620641189054564,0.8784918532413287,0.8062909587758275,0.8012641284357364,0.5903724953321521,0.6877759900593008,0.8216272930841183
starve_series__t25_growth2,0.2362038064716016,0.1476872244624349,0.1750176214618907,0.0840131095548644,0.0939754183277195,0.1021570381823559,0.1539658002961014
starve_series__t26_growth2,0.2539381241732535,0.1845787342321542,0.2122207276612678,0.0853062493293499,0.1149400543681329,0.1278994294872722,0.1923133321098331
starve_series__t27_growth2,0.1836316467573464,0.1399788188922908,0.1842526468366319,0.073783631333885,0.0933412840868239,0.1052426576090251,0.1618217154577968
starve_series__t28_growth2,0.1057681972655115,0.1249978310548856,0.2019698185535047,0.0678599676803881,0.07315064891894,0.0718165788964871,0.1179579825226839
p1k_00001,0.1812229541043027,0.2242374419448176,0.2177227866840801,0.0676335233887128,0.0352492762869596,0.0898790797003362,0.1386101645846861
p1k_00002,0.1752889785155759,0.2149792643583211,0.2146342910472038,0.0655546827307188,0.0376366483947653,0.09797690652514,0.1601881928285446
p1k_00003,0.5722308860462448,0.3149166565908934,0.4951251306026655,0.1073182600473136,0.1316237676231146,0.2478859147244778,0.184008365483051
p1k_00004,0.8059987117945284,0.3506800373181666,0.6002978898610388,0.1314688207574215,0.1687261410750231,0.3271120640087586,0.2364493486052571
p1k_00005,0.2149224310415302,0.2339930566025672,0.2496106528534803,0.0823325019188883,0.0564118083256654,0.1035865769493052,0.1930595794469483
p1k_00006,0.2216108060536513,0.2302943316203961,0.2524749942214889,0.0846043088784053,0.0549682379512547,0.1035935473128141,0.1869140904629654
p1k_00007,0.4181818986229703,0.2613106226755708,0.3341594506083239,0.1013730518455033,0.0972044063261816,0.1862806236783615,0.16344031926103
p1k_00008,0.4944451680737356,0.2307521995138538,0.3938093259554869,0.108418647923367,0.0989995132845881,0.2075736301549881,0.1805694244760206
p1k_00009,0.3133423249385433,0.2632567291334893,0.3023837510436027,0.0993282777171385,0.0806302251927487,0.1429522359324937,0.1455313040962589
p1k_00010,0.3145713350747935,0.2617020327781195,0.3005472139984387,0.09940318087302,0.0840053914309537,0.1498498517443882,0.1440756049439244
p1k_00011,0.2721427779891679,0.1722151401460459,0.3613009195724311,0.1009656789801105,0.069673504806709,0.1449781686778412,0.2130280368084384
p1k_00012,0.2847775971358661,0.170831768246026,0.359630773388592,0.0958062347868783,0.074168073326489,0.1440364304183471,0.2202804135847328
p1k_00013,0.2218125651355337,0.1434716332036022,0.3439553072503589,0.0961319797023198,0.0699403682158337,0.1266394164316615,0.2065277078606231
p1k_00014,0.2523700222213321,0.1620278843600736,0.3420014132305439,0.1083122780798774,0.0689839150935883,0.1413486116169025,0.2078286178983896
p1k_00015,0.2851719282810444,0.1684394625818137,0.3640577891877491,0.0971603131855797,0.0770672917421893,0.1582869121935634,0.2150978905346745
p1k_00016,0.2841830608017912,0.1763710634438805,0.3631495133373379,0.1070294082516516,0.0679443056179086,0.1434198114965503,0.2311778850566097
p1k_00017,0.2710760485964059,0.1654185898461811,0.3429805027860549,0.0946648662231022,0.0751822680031313,0.1448748816327514,0.2123353007561952
p1k_00018,0.2592447079174254,0.1619538236219953,0.3541647791665955,0.0945209188071631,0.0774996621647553,0.1538893218306975,0.2215420512959556
p1k_00019,0.0077237808554536,0.0056471908560436,0.0499021780914342,0.0020981591653727,0.00172359951585,0.0012717850405728,0.0011335077641503
p1k_00020,0.0067144446875166,0.0067347773221273,0.0478025910717582,0.0020908264194177,0.0022219302383238,0.0016044960570394,0.0011100667118854
p1k_00021,0.0107013263260294,0.0084063987227235,0.0702439528200187,0.0022952305759589,0.0020498448274087,0.0018086542771456,0.0015364943449231
p1k_00022,0.0143173231168856,0.009028669232062,0.0700727531941206,0.0030750016748453,0.0021037532164607,0.0015353920628568,0.0014643142904438
p1k_00023,0.0094161106038434,0.0103642891572634,0.0504719956501545,0.0026630573377107,0.0022674943285842,0.0013469086160021,0.0009730872369776
p1k_00024,0.0119561274397473,0.008670376322031,0.0488918922125615,0.0016241182985031,0.0020171385701647,0.0016053550461183,0.0011313180191234
p1k_00025,0.0098938505736707,0.0078846334308068,0.049379066932961,0.0027707454184353,0.0029647297180372,0.002077666746238,0.0012336960556758
p1k_00026,0.0072450416911679,0.0068337041477687,0.0530770649372431,0.0026760930883398,0.0027795678870395,0.001552174383416,0.0011793624298882
p1k_00027,0.3066514666140595,0.185278198208853,0.2710807027623121,0.0818327851482988,0.0540917469810053,0.1014637620512677,0.1249788620487644
p1k_00028,0.3015306055302204,0.1798579785946941,0.2510397667012752,0.0825237665575209,0.0565568601782039,0.105763282642941,0.1276688341046482
p1k_00029,0.1686099560670707,0.1300667686665871,0.2303824111750723,0.0495283881371888,0.0326949404237376,0.0670816425251895,0.0841474703177166
p1k_00030,0.1639049040820701,0.127291375713157,0.2204563108659118,0.0489621365289302,0.0333242811885654,0.0703932336420257,0.0767040161684366
p1k_00031,0.1683536500007608,0.1226337466196657,0.2960583505580337,0.057697101283931,0.0340959303802519,0.0807434609076332,0.09262360769578
p1k_00032,0.1462747984141323,0.1210223258775723,0.2846001055028958,0.0547990584553952,0.0373631817252729,0.0784569674785351,0.0885048854724631
p1k_00033,0.5504316988638708,0.1999711357753345,0.3505983962303494,0.1067402033909242,0.1079236434225584,0.1864288360609291,0.2231764520143541
p1k_00034,0.5147997863920466,0.2299465640548229,0.2952150285392111,0.1495868789540352,0.124603127372585,0.1395662288354158,0.2573349004148036
p1k_00035,0.2096571615176107,0.1842169011132907,0.3269947734990718,0.0916536605960134,0.0592070841187779,0.1014578208745418,0.1456932418950632
p1k_00036,0.2029702412020385,0.1821098564823982,0.3079425800873303,0.0855875747511317,0.0622993135302566,0.1030645259756753,0.1481956718393573
p1k_00037,0.202749428933435,0.1426641023694169,0.3613437489511689,0.0829380515905442,0.0581245747218739,0.1141916685755147,0.1399493202234646
p1k_00038,0.2006358517278354,0.1327579863000447,0.36530435846724,0.0827575116732073,0.0549247462863286,0.1117240991822303,0.1412144506872495
p1k_00039,0.1391109003485715,0.2932569380084571,0.2558240834132417,0.0843712561700352,0.0446262011954598,0.0984856047106233,0.1669512647091347
p1k_00040,0.130277393070616,0.2919105645845595,0.252640567443385,0.0831675622494166,0.0469149190321414,0.1001519232185179,0.1696874800520345
p1k_00041,0.124687885861681,0.126599099034824,0.1942254368680327,0.0422999743157179,0.037025902937379,0.0678994834633392,0.0519545930091661
p1k_00042,0.1659782499496135,0.2109639271332369,0.2592604600314099,0.0678646381117463,0.0513780471199254,0.1145559164748412,0.0948311659621482
p1k_00043,0.2102504308570364,0.219323172832426,0.2991764085866864,0.0765610482213535,0.0595599082057784,0.1353316279352746,0.2162233462419394
p1k_00044,0.2252596667548034,0.2237026153943622,0.3124143965492613,0.0742071666858098,0.0554136632307715,0.1325961424513509,0.2176585503848854
p1k_00045,0.2125144337608922,0.2474936699833967,0.3370493765577629,0.0801290959307451,0.0593393567342073,0.1330577955949713,0.2553059927612562
p1k_00046,0.1973315096130771,0.2474377518376594,0.3296712977278045,0.0739275706986603,0.0588837240562337,0.1316478914489506,0.2532716430682616
p1k_00047,0.1712176229496788,0.2377189595380853,0.3012995559425951,0.0708076335601759,0.049276141472997,0.1118353528855368,0.1594292874435306
p1k_00048,0.1596165902009104,0.222616023129641,0.2658135054072473,0.0669871793127815,0.0519978142209137,0.1075262988701356,0.1592811159886448
p1k_00049,0.1908679099237733,0.2172588899742193,0.2905527494462416,0.0895790951457517,0.0552036520656033,0.1180865569303055,0.1450160136628021
p1k_00050,0.361178125320938,0.2900892302620401,0.3511371613240767,0.1256240371253833,0.0477870265764876,0.1104662000267055,0.2244207699503447
p1k_00051,0.3260337091963143,0.2596321067482727,0.3488890446568224,0.1421630267177491,0.0457129446085792,0.1202576544037585,0.2506869502617558
p1k_00052,0.2158111719241909,0.2963799944715895,0.2648484575732502,0.1602706085904724,0.0512605193125487,0.0938152565950597,0.2368108412430367
p1k_00053,0.1998181076355278,0.3005708925426855,0.2839365427937466,0.1505244225057356,0.051926878559971,0.0915673547902146,0.2305080060214836
p1k_00054,0.3529093662594263,0.2260762500112915,0.4713392899465137,0.2102726421895328,0.0738576806024974,0.1890769669878281,0.2767852410036268
p1k_00055,0.3657733190203474,0.2064624051727016,0.4498312055195696,0.2324858979644772,0.0830163694157308,0.1708970753342007,0.2819828358745358
p1k_00056,0.2995884618629705,0.0989122214634876,0.286785403407966,0.1102416249482692,0.0532441776446323,0.1048630017617419,0.1206564813404422
p1k_00057,0.2938987693435279,0.0904529669496295,0.2802789286390306,0.0979943221717031,0.050838655594703,0.1052524798883968,0.1216289779767804
p1k_00058,0.1441419910725523,0.1779038525203228,0.2796241908739715,0.1279997345626007,0.0364623606730739,0.0683985652686533,0.094039792078647
p1k_00059,0.1421949941398668,0.1669812573187645,0.2681399732571171,0.1243496961626235,0.0332605102091116,0.0634811393813654,0.0953340665625236
p1k_00060,0.1441466983852307,0.2259216926321803,0.2090148674919972,0.0928315320561189,0.0336495889237377,0.0688118130549576,0.0911811858512437
