Parameter,Value
act_TF_conc_lo,6.298844028103896e-18
act_TF_conc_up,9.621251442321281e-08
act_Kd_lo,1.0628208262306745e-12
act_Kd_up,0.030076877373884283
inh_TF_conc_lo,6.298844028103896e-18
inh_TF_conc_up,9.621251442321281e-08
inh_Kd_lo,1.0628208262306745e-12
inh_Kd_up,0.030076877373884283
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,6.3557348014106695e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
