Parameter,Value
act_TF_conc_lo,5.000732907378489e-10
act_TF_conc_up,1.231674124640201e-06
act_Kd_lo,3.6618124967251854e-08
act_Kd_up,0.030076877373884283
inh_TF_conc_lo,5.000732907378489e-10
inh_TF_conc_up,1.231674124640201e-06
inh_Kd_lo,3.6618124967251854e-08
inh_Kd_up,0.030076877373884283
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.975954105803631e-07
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
