Parameter,Value
act_TF_conc_lo,2.8706160288822244e-16
act_TF_conc_up,3.459758777079216e-07
act_Kd_lo,3.783642141381202e-12
act_Kd_up,1.3707144660666821
inh_TF_conc_lo,2.8706160288822244e-16
inh_TF_conc_up,3.459758777079216e-07
inh_Kd_lo,3.783642141381202e-12
inh_Kd_up,1.3707144660666821
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.285493669487045e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
