"gene","iM","Val"
"b1588","Fnr-1",-3
"b4122","Fnr-1",-10
"b0896","Fnr-1",-4
"b2730","Fnr-1",-8
"b2729","Fnr-1",-4
"b1589","Fnr-1",-9
"b0895","Fnr-1",-3
"b0903","Fnr-1",-8
"b1590","Fnr-1",-4
