"gene","iM","Val"
"b4254","Arginine",-4.41209773162866
"b3960","Arginine",-4.17987897449564
"b2818","Arginine",-4.17943465234488
"b3359","Arginine",-3.43293955537024
"b3958","Arginine",-4.40236798088029
"b3959","Arginine",-4.16605964094933
"b3957","Arginine",-3.31128005891892
"b3172","Arginine",-3.8430985481765
"b0273","Arginine",-4.21351629211731
