Parameter,Value
act_TF_conc_lo,2.902870141566294e-15
act_TF_conc_up,0.014190659526601637
act_Kd_lo,4.242976297344884e-08
act_Kd_up,0.030076877373884283
inh_TF_conc_lo,2.902870141566294e-15
inh_TF_conc_up,0.014190659526601637
inh_Kd_lo,4.242976297344884e-08
inh_Kd_up,0.030076877373884283
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.3947798581174465e-06
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
