gene_name,gene_id,tu_name,tu_id
thrL,b0001,thrLABC,ECK120009369
thrL,b0001,thrL,ECK125145761
thrA,b0002,thrLABC,ECK120009369
thrB,b0003,thrLABC,ECK120009369
thrC,b0004,thrLABC,ECK120009369
yaaX,b0005,yaaX,ECK120026504
yaaA,b0006,yaaA,ECK120026505
yaaJ,b0007,yaaJ,ECK120026506
talB,b0008,talB,ECK120015352
mog,b0009,mog,ECK120026507
satP,b0010,satP,ECK120026508
yaaW,b0011,yaaW,ECK120026509
yaaI,b0013,yaaI,ECK120020482
dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009450
dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009602
dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009603
dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009450
dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009602
dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009603
mokC,b0018,mokC-hokC,ECK120026511
hokC,b4412,mokC-hokC,ECK120026511
sokC,b4413,sokC,ECK120026512
nhaA,b0019,nhaAR,ECK120009006
nhaA,b0019,nhaAR,ECK120009391
nhaR,b0020,nhaAR,ECK120009006
nhaR,b0020,nhaAR,ECK120009391
nhaR,b0020,nhaR,ECK120030129
rpsT,b0023,rpsT,ECK120015339
rpsT,b0023,rpsT,ECK120015340
ribF,b0025,ribF-ileS-lspA-fkpB-ispH,ECK120009479
ileS,b0026,ribF-ileS-lspA-fkpB-ispH,ECK120009479
ileS,b0026,ileS-lspA-fkpB-ispH,ECK120030634
ileS,b0026,ileS-lspA-fkpB-ispH,ECK120030635
ileS,b0026,ileS-lspA-fkpB-ispH,ECK120033554
lspA,b0027,ribF-ileS-lspA-fkpB-ispH,ECK120009479
lspA,b0027,lspA-fkpB-ispH,ECK120029296
lspA,b0027,ileS-lspA-fkpB-ispH,ECK120030634
lspA,b0027,ileS-lspA-fkpB-ispH,ECK120030635
lspA,b0027,ileS-lspA-fkpB-ispH,ECK120033554
fkpB,b0028,ribF-ileS-lspA-fkpB-ispH,ECK120009479
fkpB,b0028,lspA-fkpB-ispH,ECK120029296
fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120030634
