,gene_name,gene_id,tu_name,tu_id,operon_name,operon_id
0,thrL,b0001,thrLABC,ECK120009369,thrLABC,ECK120014725
1,thrL,b0001,thrL,ECK125145761,thrLABC,ECK120014725
2,thrA,b0002,thrLABC,ECK120009369,thrLABC,ECK120014725
3,thrB,b0003,thrLABC,ECK120009369,thrLABC,ECK120014725
4,thrC,b0004,thrLABC,ECK120009369,thrLABC,ECK120014725
5,yaaX,b0005,yaaX,ECK120026504,yaaX,ECK120029262
6,yaaA,b0006,yaaA,ECK120026505,yaaA,ECK120029263
7,yaaJ,b0007,yaaJ,ECK120026506,yaaJ,ECK120029264
8,talB,b0008,talB,ECK120015352,talB,ECK120015882
9,mog,b0009,mog,ECK120026507,mog,ECK120029265
10,satP,b0010,satP,ECK120026508,satP,ECK125162048
11,yaaW,b0011,yaaW,ECK120026509,yaaW,ECK120029267
12,yaaI,b0013,yaaI,ECK120020482,yaaI,ECK120020994
13,dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009450,dnaK-tpke11-dnaJ,ECK120030529
14,dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009602,dnaK-tpke11-dnaJ,ECK120030529
15,dnaK,b0014,dnaK-tpke11-dnaJ,ECK120009603,dnaK-tpke11-dnaJ,ECK120030529
16,dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009450,dnaK-tpke11-dnaJ,ECK120030529
17,dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009602,dnaK-tpke11-dnaJ,ECK120030529
18,dnaJ,b0015,dnaK-tpke11-dnaJ,ECK120009603,dnaK-tpke11-dnaJ,ECK120030529
19,mokC,b0018,mokC-hokC,ECK120026511,mokC-hokC,ECK120029269
20,hokC,b4412,mokC-hokC,ECK120026511,mokC-hokC,ECK120029269
21,sokC,b4413,sokC,ECK120026512,sokC,ECK120029270
22,nhaA,b0019,nhaAR,ECK120009006,nhaAR,ECK120030765
23,nhaA,b0019,nhaAR,ECK120009391,nhaAR,ECK120030765
24,nhaR,b0020,nhaAR,ECK120009006,nhaAR,ECK120030765
25,nhaR,b0020,nhaAR,ECK120009391,nhaAR,ECK120030765
26,nhaR,b0020,nhaR,ECK120030129,nhaAR,ECK120030765
27,rpsT,b0023,rpsT,ECK120015339,rpsT,ECK120015873
28,rpsT,b0023,rpsT,ECK120015340,rpsT,ECK120015873
29,ribF,b0025,ribF-ileS-lspA-fkpB-ispH,ECK120009479,ribF-ileS-lspA-fkpB-ispH,ECK120014814
30,ileS,b0026,ribF-ileS-lspA-fkpB-ispH,ECK120009479,ribF-ileS-lspA-fkpB-ispH,ECK120014814
31,ileS,b0026,ileS-lspA-fkpB-ispH,ECK120030634,ribF-ileS-lspA-fkpB-ispH,ECK120014814
32,ileS,b0026,ileS-lspA-fkpB-ispH,ECK120030635,ribF-ileS-lspA-fkpB-ispH,ECK120014814
33,ileS,b0026,ileS-lspA-fkpB-ispH,ECK120033554,ribF-ileS-lspA-fkpB-ispH,ECK120014814
34,lspA,b0027,ribF-ileS-lspA-fkpB-ispH,ECK120009479,ribF-ileS-lspA-fkpB-ispH,ECK120014814
35,lspA,b0027,lspA-fkpB-ispH,ECK120029296,ribF-ileS-lspA-fkpB-ispH,ECK120014814
36,lspA,b0027,ileS-lspA-fkpB-ispH,ECK120030634,ribF-ileS-lspA-fkpB-ispH,ECK120014814
37,lspA,b0027,ileS-lspA-fkpB-ispH,ECK120030635,ribF-ileS-lspA-fkpB-ispH,ECK120014814
38,lspA,b0027,ileS-lspA-fkpB-ispH,ECK120033554,ribF-ileS-lspA-fkpB-ispH,ECK120014814
39,fkpB,b0028,ribF-ileS-lspA-fkpB-ispH,ECK120009479,ribF-ileS-lspA-fkpB-ispH,ECK120014814
40,fkpB,b0028,lspA-fkpB-ispH,ECK120029296,ribF-ileS-lspA-fkpB-ispH,ECK120014814
41,fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120030634,ribF-ileS-lspA-fkpB-ispH,ECK120014814
42,fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120030635,ribF-ileS-lspA-fkpB-ispH,ECK120014814
43,fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120033554,ribF-ileS-lspA-fkpB-ispH,ECK120014814
44,ispH,b0029,ribF-ileS-lspA-fkpB-ispH,ECK120009479,ribF-ileS-lspA-fkpB-ispH,ECK120014814
45,ispH,b0029,lspA-fkpB-ispH,ECK120029296,ribF-ileS-lspA-fkpB-ispH,ECK120014814
46,ispH,b0029,ileS-lspA-fkpB-ispH,ECK120030634,ribF-ileS-lspA-fkpB-ispH,ECK120014814
47,ispH,b0029,ileS-lspA-fkpB-ispH,ECK120030635,ribF-ileS-lspA-fkpB-ispH,ECK120014814
48,ispH,b0029,ileS-lspA-fkpB-ispH,ECK120033554,ribF-ileS-lspA-fkpB-ispH,ECK120014814
49,rihC,b0030,rihC,ECK120026514,rihC,ECK120029272
50,dapB,b0031,dapB,ECK120011048,dapB,ECK120014968
51,dapB,b0031,dapB,ECK120030636,dapB,ECK120014968
52,carA,b0032,carAB,ECK120009301,carAB,ECK120014911
53,carA,b0032,carAB,ECK120009302,carAB,ECK120014911
54,carB,b0033,carAB,ECK120009301,carAB,ECK120014911
55,carB,b0033,carAB,ECK120009302,carAB,ECK120014911
56,carB,b0033,carB,ECK120011049,carAB,ECK120014911
57,caiF,b0034,caiF,ECK120009715,caiF,ECK120014565
58,caiE,b0035,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
59,caiE,b0035,caiCDE,ECK120033587,caiTABCDE,ECK120014786
60,caiD,b0036,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
61,caiD,b0036,caiCDE,ECK120033587,caiTABCDE,ECK120014786
62,caiC,b0037,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
63,caiC,b0037,caiCDE,ECK120033587,caiTABCDE,ECK120014786
64,caiB,b0038,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
65,caiA,b0039,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
66,caiT,b0040,caiTABCDE,ECK120009437,caiTABCDE,ECK120014786
67,fixA,b0041,fixABCX,ECK120009716,fixABCX,ECK120014566
68,fixB,b0042,fixABCX,ECK120009716,fixABCX,ECK120014566
69,fixC,b0043,fixABCX,ECK120009716,fixABCX,ECK120014566
70,fixX,b0044,fixABCX,ECK120009716,fixABCX,ECK120014566
71,yaaU,b0045,yaaU,ECK120026516,yaaU,ECK120029273
72,kefF,b0046,kefFC,ECK120026517,kefFC,ECK120029274
73,kefC,b0047,kefFC,ECK120026517,kefFC,ECK120029274
74,folA,b0048,folA,ECK120009121,folA,ECK120014967
75,apaH,b0049,rsmA-apaGH,ECK120009075,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
76,apaH,b0049,pdxA-rsmA-apaGH,ECK120009076,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
77,apaH,b0049,apaGH,ECK120009077,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
78,apaH,b0049,surA-pdxA-rsmA-apaGH,ECK120009550,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
79,apaG,b0050,rsmA-apaGH,ECK120009075,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
80,apaG,b0050,pdxA-rsmA-apaGH,ECK120009076,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
81,apaG,b0050,apaGH,ECK120009077,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
82,apaG,b0050,surA-pdxA-rsmA-apaGH,ECK120009550,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
83,rsmA,b0051,rsmA-apaGH,ECK120009075,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
84,rsmA,b0051,pdxA-rsmA-apaGH,ECK120009076,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
85,rsmA,b0051,pdxA-rsmA,ECK120009078,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
86,rsmA,b0051,surA-pdxA-rsmA-apaGH,ECK120009550,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
87,pdxA,b0052,pdxA-rsmA-apaGH,ECK120009076,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
88,pdxA,b0052,pdxA-rsmA,ECK120009078,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
89,pdxA,b0052,surA-pdxA-rsmA-apaGH,ECK120009550,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
90,pdxA,b0052,lptD-surA-pdxA,ECK120010955,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
91,surA,b0053,surA-pdxA-rsmA-apaGH,ECK120009550,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
92,surA,b0053,lptD-surA-pdxA,ECK120010955,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
93,lptD,b0054,lptD,ECK120010953,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
94,lptD,b0054,lptD,ECK120010954,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
95,lptD,b0054,lptD-surA-pdxA,ECK120010955,lptD-surA-pdxA-rsmA-apaGH,ECK125109837
96,djlA,b0055,djlA,ECK120026518,djlA,ECK120029275
97,yabP,b4659,yabPQ,ECK120026519,yabPQ,ECK120029276
98,rluA,b0058,rapA-rluA,ECK120010940,rapA-rluA,ECK125235990
99,rapA,b0059,rapA-rluA,ECK120010940,rapA-rluA,ECK125235990
100,rapA,b0059,rapA,ECK120033568,rapA-rluA,ECK125235990
101,polB,b0060,polB,ECK120015327,polB,ECK120015928
102,araD,b0061,araBAD,ECK120009405,araBAD,ECK120014758
103,araA,b0062,araBAD,ECK120009405,araBAD,ECK120014758
104,araB,b0063,araBAD,ECK120009405,araBAD,ECK120014758
105,araC,b0064,araC,ECK120009196,araC,ECK120015033
106,yabI,b0065,yabI,ECK120026521,yabI,ECK120029277
107,thiQ,b0066,sgrR-sroA-tbpA-thiPQ,ECK120026522,sgrR-sroA-tbpA-thiPQ,ECK120029278
108,thiP,b0067,sgrR-sroA-tbpA-thiPQ,ECK120026522,sgrR-sroA-tbpA-thiPQ,ECK120029278
109,thiB,b0068,sgrR-sroA-tbpA-thiPQ,ECK120026522,sgrR-sroA-tbpA-thiPQ,ECK120029278
110,sgrR,b0069,sgrR-sroA-tbpA-thiPQ,ECK120026522,sgrR-sroA-tbpA-thiPQ,ECK120029278
111,sgrS,b4577,sgrST-setA,ECK120026523,sgrST-setA,ECK120034101
112,sgrT,b4662,sgrST-setA,ECK120026523,sgrST-setA,ECK120034101
113,setA,b0070,sgrST-setA,ECK120026523,sgrST-setA,ECK120034101
114,leuD,b0071,leuLABCD,ECK120009370,leuLABCD,ECK120014726
115,leuD,b0071,leuLABCD,ECK125141553,leuLABCD,ECK120014726
116,leuC,b0072,leuLABCD,ECK120009370,leuLABCD,ECK120014726
117,leuC,b0072,leuLABCD,ECK125141553,leuLABCD,ECK120014726
118,leuB,b0073,leuLABCD,ECK120009370,leuLABCD,ECK120014726
119,leuB,b0073,leuLABCD,ECK125141553,leuLABCD,ECK120014726
120,leuA,b0074,leuLABCD,ECK120009370,leuLABCD,ECK120014726
121,leuA,b0074,leuLABCD,ECK125141553,leuLABCD,ECK120014726
122,leuL,b0075,leuLABCD,ECK120009370,leuLABCD,ECK120014726
123,leuL,b0075,leuLABCD,ECK125141553,leuLABCD,ECK120014726
124,leuL,b0075,leuL,ECK125158014,leuLABCD,ECK120014726
125,leuO,b0076,leuO,ECK120026524,leuO,ECK120013165
126,leuO,b0076,leuO,ECK125141551,leuO,ECK120013165
127,leuO,b0076,leuO,ECK125141552,leuO,ECK120013165
128,leuO,b0076,leuO,ECK125257179,leuO,ECK120013165
129,ilvI,b0077,ilvIH,ECK120009173,ilvIH,ECK120014892
130,ilvI,b0077,ilvIH,ECK120009174,ilvIH,ECK120014892
131,ilvI,b0077,ilvIH,ECK120009175,ilvIH,ECK120014892
132,ilvI,b0077,ilvIH,ECK120009274,ilvIH,ECK120014892
133,ilvH,b0078,ilvIH,ECK120009173,ilvIH,ECK120014892
134,ilvH,b0078,ilvIH,ECK120009174,ilvIH,ECK120014892
135,ilvH,b0078,ilvIH,ECK120009175,ilvIH,ECK120014892
136,ilvH,b0078,ilvIH,ECK120009274,ilvIH,ECK120014892
137,cra,b0080,cra,ECK120026525,cra,ECK125141409
138,mraZ,b0081,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK125108694
139,rsmH,b0082,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK125108694
140,rsmH,b0082,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK125108694
141,ftsL,b0083,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK125108694
