"sample","iM","Val"
"p1k_00716","Cra",-9.53003324837138
"p1k_00426","Cra",-9.08444027340896
"p1k_00848","Cra",-8.32211649433703
"p1k_01045","Cra",-8.45900881019773
"p1k_00072","Cra",-9.07274703882787
"p1k_00428","Cra",-8.61524278954317
"p1k_00530","Cra",-9.15633109128619
"p1k_00171","Cra",-9.19470460625083
"p1k_01015","Cra",-8.31472250228443
"p1k_00320","Cra",-12.4471938020276
"p1k_00665","Cra",-10.0560884551441
"p1k_00734","Cra",-8.28563781700777
"p1k_00938","Cra",-12.447267781609
"p1k_00977","Cra",-9.01137932861892
"p1k_01017","Cra",-8.37770708730771
"p1k_00418","Cra",-10.0271296583806
"p1k_00819","Cra",-12.4471735553493
"p1k_00790","Cra",-10.0182671135241
"p1k_00381","Cra",-9.99097285532702
"p1k_00703","Cra",-9.20088561592716
"p1k_00048","Cra",-6.49304850924146
"p1k_00082","Cra",-7.80039113798891
"p1k_00174","Cra",-8.51167818208448
"p1k_00569","Cra",-4.78291597785413
"p1k_00355","Cra",-9.50128799150541
"p1k_00455","Cra",-6.05448903222143
"p1k_00830","Cra",-10.2098959729888
"p1k_00095","Cra",-6.33495340732919
"p1k_00111","Cra",-7.38300922256024
"p1k_00397","Cra",-6.14599763640524
"p1k_00862","Cra",-9.63665101194186
"p1k_00214","Cra",-9.19568176482753
"p1k_00637","Cra",-12.4473263445595
"p1k_00145","Cra",-5.48417845666495
"p1k_00302","Cra",-7.02466175528327
"p1k_00988","Cra",-9.59391985316668
"p1k_00184","Cra",-9.86982504742965
"p1k_00755","Cra",-9.99588412285111
"p1k_01026","Cra",-6.28741539182926
"p1k_00445","Cra",-6.04710006820144
"p1k_00545","Cra",-5.48895196957711
"p1k_01053","Cra",-9.04261034728175
"p1k_00778","Cra",-7.57618357250457
"p1k_00083","Cra",-6.99217586605907
"p1k_00107","Cra",-6.71549303279486
"p1k_00678","Cra",-8.81029454729038
"p1k_00417","Cra",-8.84455615074527
"p1k_00559","Cra",-9.0347583377387
"p1k_00666","Cra",-12.4473172460128
"p1k_00042","Cra",-9.99304042436268
"p1k_00200","Cra",-6.18277927026084
"p1k_00254","Cra",-8.74864068578146
"p1k_00667","Cra",-10.741475154256
"p1k_01050","Cra",-10.0074386342586
"p1k_00433","Cra",-10.4382516531347
"p1k_00805","Cra",-12.4472303559771
"p1k_00770","Cra",-5.77019015441326
"p1k_00921","Cra",-12.4472634632699
"p1k_00746","Cra",-9.97311347133306
"p1k_00269","Cra",-8.83100696294888
"p1k_00726","Cra",-12.447257812379
"p1k_00825","Cra",-8.97511428033756
"p1k_00116","Cra",-8.11308486285089
"p1k_00817","Cra",-6.11572774812962
"p1k_00053","Cra",-8.28349444450805
"p1k_00599","Cra",-5.67920030138928
"p1k_00685","Cra",-12.4471656805641
"p1k_00699","Cra",-10.1217870709926
"p1k_00052","Cra",-8.97623724566652
"p1k_00251","Cra",-10.0116589027092
"p1k_00793","Cra",-9.10568446577911
"p1k_01022","Cra",-7.99125052024255
"p1k_00196","Cra",-6.28635837393587
"p1k_00875","Cra",-12.4473502897456
"p1k_00229","Cra",-9.03530516664023
"p1k_00556","Cra",-6.250474712572
"p1k_00514","Cra",-5.85556882565455
"p1k_00170","Cra",-10.289798693543
"p1k_00936","Cra",-8.27114475549369
"p1k_00884","Cra",-5.65050435832388
"p1k_00834","Cra",-9.38078568521523
"p1k_01013","Cra",-6.29447440867849
"p1k_01034","Cra",-9.57112702738765
"p1k_00913","Cra",-12.4472361327415
"p1k_01036","Cra",-9.82830681148929
"starve_series__t27_growth2","Cra",-10.1479023663982
"p1k_00245","Cra",-10.0121120240706
"p1k_00686","Cra",-6.00355217821277
"p1k_00519","Cra",-8.92117415745125
"p1k_00618","Cra",-8.80571450589278
"p1k_00532","Cra",-8.72505209346447
"p1k_00204","Cra",-9.04339280305141
"p1k_00284","Cra",-12.447232490847
"p1k_00564","Cra",-8.74254831008031
"p1k_00700","Cra",-8.93366090665979
"p1k_00010","Cra",-8.46178023177215
"starve_series__t10_starve","Cra",-6.44429653708789
"p1k_00630","Cra",-9.9996599060238
"p1k_00951","Cra",-10.444847112885
"p1k_00255","Cra",-8.22950224776362
"p1k_00782","Cra",-9.81162294239463
"p1k_00528","Cra",-5.22833261856094
"p1k_00034","Cra",-8.76916340620877
"p1k_00439","Cra",-9.92416605215984
"p1k_00379","Cra",-10.0203563651193
"p1k_00163","Cra",-8.45625247803259
"p1k_00451","Cra",-4.74755040889171
"p1k_00960","Cra",-7.25046403531535
"p1k_00130","Cra",-5.94494273795926
"p1k_00328","Cra",-8.85333708155675
"p1k_00887","Cra",-9.10971594708276
"p1k_00506","Cra",-5.95965391902126
"p1k_00673","Cra",-9.03373534851081
"p1k_00710","Cra",-12.4472492924941
"p1k_00942","Cra",-10.0050880477418
"p1k_00897","Cra",-9.99440468435711
"p1k_00468","Cra",-6.67649979177325
"p1k_00407","Cra",-10.0075296437126
"p1k_00148","Cra",-5.12710005259736
"p1k_00335","Cra",-6.54267875422512
"p1k_00984","Cra",-12.4471957321433
"p1k_00363","Cra",-10.6575016262197
"p1k_00740","Cra",-6.40497329581001
"p1k_00128","Cra",-9.13966581339186
"p1k_00539","Cra",-6.24140437110969
"p1k_00585","Cra",-12.4472219504792
"p1k_00759","Cra",-12.4471962682315
"p1k_00843","Cra",-8.5778773479341
"p1k_00648","Cra",-9.95059306183101
"p1k_00524","Cra",-7.62474948290091
"p1k_00056","Cra",-9.10749431172525
"p1k_00588","Cra",-4.4958851427024
"p1k_00293","Cra",-8.86644873662122
"p1k_00240","Cra",-10.0673662645708
"p1k_00460","Cra",-8.53536561155342
"p1k_00268","Cra",-8.88641284068469
"p1k_00370","Cra",-9.58953590800926
"p1k_00127","Cra",-9.04185382593089
"p1k_00002","Cra",-9.99687740860117
"p1k_00292","Cra",-6.42581427707914
"p1k_00197","Cra",-5.3591493863879
"p1k_00774","Cra",-8.81437186688185
"p1k_00450","Cra",-4.78982865323444
"p1k_00653","Cra",-8.90911686386017
"p1k_00104","Cra",-8.63722448368411
"p1k_00608","Cra",-5.85947986254342
"p1k_00622","Cra",-8.66634896522441
"p1k_00682","Cra",-8.89574163426576
"p1k_00970","Cra",-8.60585488535613
"p1k_00575","Cra",-5.16478870946863
"p1k_00415","Cra",-8.73119684776901
