Parameter,Value
act_TF_conc_lo,4.2381142158694324e-13
act_TF_conc_up,2.6383822282029595e-10
act_Kd_lo,6.549719812666536e-14
act_Kd_up,8.044308818937686e-09
inh_TF_conc_lo,4.2381142158694324e-13
inh_TF_conc_up,2.6383822282029595e-10
inh_Kd_lo,6.549719812666536e-14
inh_Kd_up,8.044308818937686e-09
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.862239019990572e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
