,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00783,2.0009369120286538,0,2.681932897176289,73.35419348177055,0
p1k_00479,5.102210278902317,0,17.343953070096735,629.5080014449856,0
p1k_00590,2.9921238336596083,0,6.285834208696915,145.81491236506503,0
p1k_00256,3.6058829704398807,0,12.995664093768397,223.1319965529398,0
p1k_00540,1.0459095953856912,0,1.7983921097280506,37.838427316433766,0
p1k_00597,4.227459641498527,0,17.47067073213441,343.3010044027866,0
p1k_00876,3.529202880013987,0,16.381990838636522,211.5820614551133,0
p1k_00939,7.832134284009325,0,137.56644330720155,4176.286324385936,0
p1k_00774,1.1907993131982193,0,1.305194349696863,41.83591082318069,0
p1k_00231,7.605075432737268,0,203.8291589525175,3568.114160701348,0
p1k_00342,3.893288186043098,0,15.74013629293237,272.3199397167662,0
p1k_00818,3.343679155764087,0,11.608012009506659,186.05041293379486,0
p1k_00029,1.5600939236457647,0,3.4332315301630176,54.04032890165542,0
p1k_00092,7.483419131540082,0,222.11643583990212,3279.5672828936167,0
p1k_01011,1.5314136927510344,0,2.6562618690131425,52.97663557538114,0
p1k_00449,4.982507731079515,0,39.06739177148006,579.3849330920849,0
p1k_00050,3.5590295774938574,0,16.559086912283078,216.00190172376278,0
p1k_00265,0.9859062446591684,0,2.35917519056864,36.29696135486826,0
p1k_00729,2.144626382735174,0,5.384717984370955,81.03633426765963,0
p1k_00488,6.462578489372164,0,80.86032633961558,1616.2662009224678,0
p1k_00703,1.075114174141433,0,1.6659136421188943,38.612198634252195,0
p1k_00026,1.8121563999786703,0,1.9630040658867547,64.357082756517,0
p1k_00483,5.946020326894934,0,56.2403183601649,1129.8307479264772,0
p1k_00979,8.74165608663598,0,277.4981174833766,7844.831330093013,0
p1k_01055,6.999414369274784,0,130.60893321922057,2344.8582478760395,0
p1k_00627,1.4507056602810573,0,2.5631041912958787,50.09436030534714,0
p1k_00228,-0.24030925965635286,0,1.1757021727980026,15.514672808533152,0
p1k_00052,3.8254541203881067,0,19.962414397558415,259.8120883659636,0
p1k_00773,1.3515042231689618,0,1.6320880377939395,46.76556944547117,0
p1k_00387,4.120964074649858,0,20.012469029871237,318.872241049047,0
p1k_00172,1.656507595243365,0,2.559266475072361,57.77519110911945,0
p1k_00938,7.817356385278825,0,146.2772701373231,4133.725893466708,0
p1k_00290,1.1357460622898958,0,1.622911843631556,40.269528875879466,0
p1k_00530,0.09014517357780541,0,0.9578458831851726,19.508295154595604,0
p1k_00425,-0.38919077753979187,0,0.945487685476975,13.993450582239854,0
p1k_00759,0.2636588968421681,0,0.8470022399665882,22.00149302280264,0
p1k_00988,7.764187734703707,0,191.71565911377652,3984.155832013466,0
p1k_00154,4.554828587063939,0,26.70915596443008,430.74767929838555,0
p1k_00171,1.6113171120745928,0,2.6754037376651403,55.99351094143867,0
p1k_01010,4.058785341534923,0,19.602484153400344,305.42110935180597,0
p1k_00544,0.2886759745066927,0,0.9305951820540127,22.386337339647092,0
p1k_01052,3.8212351895964165,0,12.941071465494886,259.05341933158525,0
p1k_00482,6.336016994222302,0,36.69659363859953,1480.5193395072693,0
p1k_00370,1.3367587048457703,0,2.3840946271901293,46.290021620323415,0
p1k_00951,7.364727405874925,0,136.14431491543363,3020.5551915294855,0
p1k_00664,1.0170858293531528,0,1.7460690332072921,37.08995097650584,0
p1k_00913,3.0208744298011316,0,7.635192800058175,148.7499173202085,0
p1k_00870,5.085656401049559,0,78.3853524683522,622.3261364405034,0
p1k_00589,2.6526411075890555,0,8.024369324282127,115.24111660024964,0
p1k_00138,2.713588064240406,0,12.765508226158307,120.21379837937124,0
p1k_00499,3.5787796298891754,0,10.935089687281558,218.97923436197334,0
p1k_00626,1.1917072850216932,0,2.093541098446704,41.862248880089766,0
p1k_00907,0.3955461414501345,0,1.355608872118203,24.10761070377191,0
p1k_00510,9.202280638984217,0,338.99833140114316,10795.566012202216,0
p1k_00207,2.936241104327209,0,8.379876871204036,140.27476939150606,0
starve_series__t01_starve,9.413832028919535,0,330.5775478729642,12500.53876877127,0
p1k_00575,3.322898535901717,0,13.834278185171163,183.38974572830332,0
p1k_00381,2.774814984111491,0,7.083878589643434,125.42538972051557,0
p1k_00070,2.1256889026674943,0,4.512071004562359,79.97956498721427,0
p1k_00255,3.57694048720972,0,14.106177348843937,218.70025824333854,0
p1k_00054,3.6606242843458854,0,46.908576207942254,231.76114560996052,0
p1k_00634,1.0253242653264132,0,1.28682443845309,37.30235712763364,0
