,MA_activator,MA_inhibitor,actual_mRNA_ratio
control__wt_glc__1,0.014821650462076731,0.0063598756173632275,1.0667449295574254
control__wt_glc__2,-0.014821650462076777,-0.006359875617363251,0.9374312193027087
fur__wt_dpd__1,-0.7253134842857262,0.2144822176283209,2.9748747427449658
fur__wt_dpd__2,-0.8408621852401635,0.23733184380200484,3.147172048086101
fur__wt_fe__1,0.03298075037454459,-0.08993385876997073,1.0820884038365883
fur__wt_fe__2,0.0591491979654559,-0.1042642648599736,1.1250156163564564
fur__delfur_dpd__1,-0.4766817369896399,0.220055244526273,3.2737941455263604
fur__delfur_dpd__2,-0.43756790821468194,0.21161638370802274,3.4747835853313176
fur__delfur_fe2__1,-0.11379139703691095,0.059329321044017495,1.227122748021931
fur__delfur_fe2__2,-0.11733100136241117,0.03602580941528613,1.163849239016436
acid__wt_ph5__1,-0.13009099964858892,0.10864308064329685,2.048371404781688
acid__wt_ph5__2,-0.1523458345170334,0.06294752681801294,2.0201453896877064
acid__delgadx_ph5__1,-0.08213713585175417,-0.09038216402896014,1.680292294896081
acid__delgadx_ph5__2,-0.10626587853909812,0.0737384451582833,2.217660704226865
acid__delgadw_ph5__1,-0.07261966943302142,0.0409591917742647,1.9844185457098718
acid__delgadw_ph5__2,-0.08663909702063152,0.03629416200913084,1.7441913104761824
acid__delgade_ph5__1,-0.10238250630680397,0.11127797729828834,2.019666601018947
acid__delgade_ph5__2,-0.10810685918885997,0.06310979781598344,2.310768481895505
oxidative__wt_pq__1,-0.5821746879801986,0.052303167809603916,5.195989937030684
oxidative__wt_pq__2,-0.5756749314903573,0.13346376705703844,4.3029795589052515
oxidative__deloxyr_pq__1,-0.5067695520457169,0.034794955536435086,4.119499517765418
oxidative__deloxyr_pq__2,-0.5075400845633352,-0.003376201297720111,3.927822533863408
oxidative__delsoxr_pq__1,-0.508878230715994,0.1577616888199712,4.930821548440477
oxidative__delsoxr_pq__2,-0.5167042582324816,0.15141739512433094,4.960125557501249
oxidative__delsoxs_pq__1,-0.5529340611704802,0.10733263225853687,5.853617473173872
oxidative__delsoxs_pq__2,-0.5633918451307435,0.1008540214661017,6.333852260934729
nac_ntrc__wt_csn__1,-0.5276306462571959,0.10139740563927817,3.416893480950281
nac_ntrc__wt_csn__2,-0.5055392501496934,0.1375827425665297,3.4488968432912444
nac_ntrc__wt_cytd__1,-0.34844872015744244,-0.11649135262113378,5.998406902787671
nac_ntrc__wt_cytd__2,-0.3576033995242305,-0.05675928031466374,6.370041488367315
nac_ntrc__wt_gln__1,-0.5685640108898566,-0.012913751905350658,2.526960675285314
nac_ntrc__wt_gln__2,-0.5630267620999995,-0.031519558136334606,2.3886108764735945
nac_ntrc__bw_delnac_csn__1,-0.9047684070125948,0.2827468659428877,3.0864818104340253
nac_ntrc__bw_delnac_csn__2,-0.8817202314873016,0.32296875134172626,3.5560030790251003
nac_ntrc__bw_delnac_cytd__1,-0.2865822195379555,0.13994193217030163,7.061327445817046
nac_ntrc__bw_delnac_cytd__2,-0.2832869110859049,0.07609045913007807,7.183912558153845
nac_ntrc__bw_delnac_gln__1,-0.49142182408571994,0.02351534327361723,2.4853696190021046
nac_ntrc__bw_delnac_gln__2,-0.4981039612324618,0.11261460653408673,2.132360132691343
nac_ntrc__bw_delnac_nh4__1,0.053568359442034384,-0.07867608077987703,0.7130765098895265
nac_ntrc__bw_delnac_nh4__2,0.04966728319694685,-0.04414689497497375,1.146213479303834
misc__wt_no_te__1,-0.2576953620563241,0.06848573900334191,2.233789185756731
misc__wt_no_te__2,-0.16170914714176404,-0.06360810132539468,1.5146251940010176
misc__bw_delcbl__1,0.05232088140273113,-0.08938528668200119,1.4405169646015208
misc__bw_delcbl__2,0.06774338084866145,-0.06730463257235154,1.5695371642541955
misc__bw_delfabr__1,0.0976971498091988,-0.12075095050557716,0.9663300481639229
misc__bw_delfabr__2,0.08745820347454195,-0.14724297396100197,1.067085085665454
misc__bw_delfadr__1,-0.06394527029013021,-0.028470179965190884,1.3498192510685971
misc__bw_delfadr__2,-0.05936650005871503,-0.07183667669690869,1.5657336087718328
misc__nitr_031__1,-0.4063541279497231,0.0861613427948804,2.757946344454202
omics__wt_glu__1,-0.030066093157562992,-0.055543535531897274,0.7474813215429081
omics__wt_glu__2,-0.06129315575194397,-0.10686148768234371,0.8535556028413684
omics__wt_gly__1,-0.03703601208266121,-0.07461448466095416,0.9912332824847793
omics__wt_gly__2,-0.03847114023199881,-0.08074687116599923,0.7440653972818158
omics__wt_thr__1,-0.0682614687308007,-0.012373636571021997,1.5073163725863499
omics__wt_thr__2,-0.014908070824020713,0.0332662577568817,1.4954106206531796
omics__bw_ac__1,0.5538059944042988,0.03137095210589437,1.3973653422020025
omics__bw_ac__2,0.5580609691391065,0.024306435172931268,1.5835743796175046
omics__bw_fum__1,0.33196335222940176,-0.16167694881801775,0.9011768136762426
omics__bw_fum__2,0.3455987946270567,-0.050554768901738774,0.9224996516167322
omics__bw_glc__1,-0.22483632134646217,-0.13621727650961518,1.4325125671832337
omics__bw_glc__2,-0.20128650578799773,-0.1495596024009457,1.5761463403832787
omics__bw_pyr__1,0.3532887764314206,0.591248738965651,1.880370630600062
omics__bw_pyr__2,0.3368223679049178,0.6555009111230236,1.9256907514055657
ompr__wt_nacl__1,-0.8594014043049166,-0.005980446014112002,1.8519193984007747
ompr__wt_nacl__2,-0.8410450928979317,-0.08232864372558804,2.078382591344418
ompr__bw_delompr_nacl__1,-0.6243458172234247,-0.11926592788490799,1.3379496581142196
ompr__bw_delompr_nacl__2,-0.6259503243484424,-0.08093138097823509,1.3237891740913743
minspan__wt_ade__1,-0.29875638603440285,-0.10818557883720291,1.6829318102871627
minspan__wt_glc__1,-0.011471403350334674,-0.13375403451509052,1.3495191813474259
minspan__wt_glc__2,-0.04266697757203615,-0.11462637275646026,1.1306583664686958
minspan__wt_glc__3,-0.0008909889133576061,-0.05819907706962692,0.9648405102843475
minspan__wt_glc__4,-0.017279064358861063,-0.04909208279577077,1.198674331154195
minspan__wt_glc_anaero__1,0.04763242384961861,0.3513098444865912,2.3871698900338094
minspan__wt_glc_anaero__2,0.05974875658360348,0.44853292205731926,3.4752001445176735
minspan__wt_trp__1,0.4833803107358709,0.1435297719859631,2.7019462644794205
