,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00646,0,-7.421697233559864,0.010178410567840895,0,0.000815035899805976
p1k_00335,0,-2.7806401944392487,0.08672693718497215,0,0.0203364020297649
p1k_00455,0,-9.323652765300821,0.003158579799971028,0,0.00021808765011617108
p1k_00366,0,-8.332057772812545,0.002237153899801307,0,0.00043364157118607567
p1k_00032,0,-6.673313125310947,0.007159269841636869,0,0.0013691871146084367
p1k_00303,0,-4.295832625213168,0.10000921670976202,0,0.007114686169081983
p1k_00813,0,-3.6278360969263677,0.05506916287558348,0,0.011304275674478807
p1k_00901,0,-4.109957459294026,0.05365109211460198,0,0.008093003875716964
p1k_00023,0,-7.839359362125024,0.007406422182447625,0,0.0006101658675798913
p1k_00685,0,-7.554830886595486,0.012908806501386504,0,0.0007431894149553746
p1k_00305,0,-5.07818539973586,0.04797244406469911,0,0.004136605410557128
p1k_00742,0,-4.002293249491954,0.050866141621326195,0,0.00872006866993484
p1k_01018,0,-3.375130740945898,0.13941169767216036,0,0.013468357393410523
p1k_00310,0,-2.9238398180825054,0.1792222895471079,0,0.018414788566298267
p1k_01046,0,-3.604774878904106,0.12802755231305096,0,0.011486424395256623
p1k_00578,0,-5.038623519311415,0.04477525677628113,0,0.004251609887323414
p1k_00552,0,-5.972765434814485,0.02518521267458921,0,0.0022250955827933096
p1k_00777,0,-3.4876172392937845,0.047263044556091496,0,0.012458128958672224
p1k_00816,0,-3.8081500654517386,0.07266089507691274,0,0.009976146699625875
starve_series__t25_growth2,0,-2.3952555202541435,0.2495699009928258,0,0.02656357148040875
p1k_00678,0,-5.080873700961764,0.04286356650241936,0,0.004128904485092635
p1k_00057,0,-4.31197683163651,0.0942222158572012,0,0.007035514421432149
p1k_00291,0,-5.15940132676156,0.0274622111584176,0,0.003910170235419025
starve_series__t14_starve,0,-9.26981708152452,0.002007258567682126,0,0.00022637956896260793
p1k_00829,0,-4.18087638599356,0.06790553765152883,0,0.00770479386741504
p1k_00844,0,-6.797441892389166,0.0002932010438108032,0,0.001256308566467562
p1k_00555,0,-7.312433581254507,0.010283143634987495,0,0.0008791609209175021
p1k_00837,0,-8.64925003910263,0.0002932010438108032,0,0.0003480539146612544
p1k_00229,0,-4.732815996439457,0.04752593331353697,0,0.005255458919071002
p1k_00959,0,-2.997770308211777,0.1751389549167961,0,0.017494899082463634
p1k_00232,0,-4.3687877479382715,0.05337481198448435,0,0.006763851555890345
p1k_00018,0,-3.746943450728704,0.12159785771281242,0,0.010408492983904468
p1k_00587,0,-6.125947411596754,0.02066016741458461,0,0.0020009503004464997
p1k_00847,0,-7.459379462559346,0.0002932010438108032,0,0.0007940233193896412
p1k_00667,0,-7.9117415043574395,0.005336438365752483,0,0.000580308208554159
p1k_01025,0,-3.3452690281228707,0.1617855401765816,0,0.01375003816140972
p1k_00791,0,-4.336381385401908,0.0655991969935579,0,0.006917502979637341
p1k_00217,0,-3.5210149608941546,0.12310966923364801,0,0.01217304159839202
p1k_00572,0,-4.769161130492493,0.06584631018537355,0,0.005124714434143404
p1k_00580,0,-3.30608026636576,0.0589210728581942,0,0.014128657466636989
p1k_00763,0,-4.7091018794436525,0.05670268303979703,0,0.005342558744448379
p1k_00798,0,-3.434160427936127,0.09780444816898883,0,0.01292840432368752
p1k_00044,0,-3.010398731469153,0.1759368709427658,0,0.017342428292127076
p1k_00755,0,-3.024547552306628,0.08127169423364032,0,0.017173178654899306
p1k_00121,0,-4.049928685085742,0.0942296014512936,0,0.008436847712025493
p1k_00004,0,-6.489587037612258,0.01838933725870236,0,0.001555141341603786
p1k_00080,0,-6.508110532267817,0.008516631886439242,0,0.0015353017297393798
p1k_00072,0,-3.366978155288209,0.11498373511223783,0,0.013544681745811615
p1k_00285,0,-4.589437122358654,0.05380215152807126,0,0.005804595856454559
p1k_00421,0,-2.975258899470233,0.07724918706170587,0,0.017770025495909975
p1k_00887,0,-3.538328478664545,0.22710446407724022,0,0.012027828247812657
p1k_00301,0,-5.214482428518606,0.03974190439306156,0,0.003763696556337618
p1k_00591,0,-6.495728228198726,0.020196492977597395,0,0.0015485355648871008
p1k_00109,0,-5.273374908160894,0.03814846420756717,0,0.003613151722988003
p1k_00994,0,-4.632345668467205,0.06589552677526883,0,0.005634497986536985
p1k_00069,0,-3.387835066399193,0.10435590969368468,0,0.013350276150528206
p1k_00210,0,-5.882450926527631,0.021114127865193313,0,0.002368841743910374
p1k_00483,0,-8.286829822626958,0.0049821586697173575,0,0.00044745140793101516
starve_series__t07_starve,0,-8.588787355496967,0.0018639197156397668,0,0.00036295067142237556
p1k_00081,0,-5.530135794321957,0.03304385873019107,0,0.0030240813535789527
p1k_00033,0,-4.525708170823804,0.10146727375217424,0,0.006066752998881391
p1k_00242,0,-4.652469392919897,0.059983771407518705,0,0.005556449650305794
p1k_00497,0,-8.824532662161268,0.005833014112595713,0,0.00030823446364931843
p1k_00905,0,-3.51013069075615,0.12091242823011271,0,0.012265227212907997
p1k_00274,0,-3.4970811307086866,0.1070609903238795,0,0.012376672719859016
p1k_00550,0,-6.902919333109152,0.012825990865093027,0,0.0011677354041088833
p1k_00148,0,-3.507624233277811,0.1582729575078217,0,0.01228655465219334
p1k_00437,0,-2.572918765809806,0.0783206204970908,0,0.0234857535689921
p1k_00374,0,-7.80024153072752,0.0026624803017564675,0,0.0006269364932457114
p1k_00444,0,-4.775851710540881,0.04466307727059166,0,0.005101003303751788
p1k_00782,0,-4.112489047189909,0.03206575060838666,0,0.008078815024533352
p1k_00254,0,-4.258413774984046,0.08834782461399383,0,0.0073016320579897985
p1k_00209,0,-4.006248668597223,0.07352013505213373,0,0.008696193709581548
p1k_00316,0,-4.872956563148319,0.05591561985577839,0,0.004768964959846061
p1k_00163,0,-3.5898236890810318,0.08183221165659606,0,0.011606081474169474
p1k_00065,0,-6.89813519557892,0.012796136069745955,0,0.0011716141725015999
p1k_00447,0,-7.476884703448702,0.0056886468935876166,0,0.0007844470870897926
p1k_00115,0,-6.0737728646545515,0.02975387449536071,0,0.002074638368068312
p1k_00556,0,-8.217985314724993,0.004158867527912861,0,0.0004693211658786398
p1k_00817,0,-2.794795586682641,0.1356902675893733,0,0.020137841633336307
p1k_00835,0,-7.0518927749431715,0.0002932010438108032,0,0.00105317119678403
p1k_00738,0,-4.662829494754926,0.03853469181138454,0,0.005516691291277757
p1k_00902,0,-4.193936588672591,0.08445904568283005,0,0.007635359876461661
p1k_00480,0,-4.75616587530172,0.036064765215284456,0,0.0051710844658048255
p1k_00557,0,-8.226482068942563,0.004308728093567683,0,0.0004665652218290554
p1k_00392,0,-4.947406442831054,0.020866977179958154,0,0.004529105993587281
p1k_00505,0,-5.40224433362646,0.028296500332128962,0,0.003304400172775592
p1k_00459,0,-8.204281647553886,0.005701650187999359,0,0.00047380032657985406
p1k_00638,0,-4.583084642745148,0.07159992815090839,0,0.005830211025292707
p1k_00321,0,-4.540538408770332,0.06721836310823792,0,0.006004709021243494
p1k_00473,0,-7.301977423946107,0.008615849979430587,0,0.0008855559231987473
p1k_00656,0,-4.322809414955684,0.051437344522769275,0,0.006982885567747449
p1k_01019,0,-3.368934139508202,0.13118470527410087,0,0.013526330513158094
p1k_00071,0,-3.5385317459148724,0.08083536354530199,0,0.012026133716896077
p1k_00885,0,-3.0107867615501496,0.19344791723802351,0,0.017337764465905195
p1k_00470,0,-7.528372051600192,0.011505897018256108,0,0.0007569451636296252
p1k_01049,0,-5.164382376149203,0.04099218056043713,0,0.00389669325903185
p1k_00182,0,-3.7039656630099036,0.06198125464698281,0,0.010723225947760966
p1k_00308,0,-4.011670616378107,0.058361645148939795,0,0.008663572942605731
p1k_00821,0,-7.565278303611625,0.0002932010438108032,0,0.000737826975982265
p1k_00087,0,-5.680609052119029,0.03410802078219061,0,0.002724560814682506
p1k_00341,0,-3.112713291066459,0.12748443380724195,0,0.016155118798995227
p1k_00345,0,-6.111101460591996,0.02380355198621866,0,0.0020216472451922434
p1k_00992,0,-4.382550693674354,0.10057611152209811,0,0.006699632924851531
p1k_00340,0,-2.8331292945426694,0.15145315698463324,0,0.019609807267191193
p1k_00609,0,-5.561256033732644,0.013687673119209978,0,0.0029595477052736336
p1k_00823,0,-8.052621390397887,0.0002932010438108032,0,0.0005263197199321764
p1k_00343,0,-3.022356577333864,0.1062599722298431,0,0.01719927882766213
p1k_00040,0,-3.2934796842699434,0.12686697796469223,0,0.014252598445708083
p1k_00687,0,-6.992254250041377,0.014739745909154224,0,0.001097619863861723
p1k_00098,0,-7.736650391441987,0.009811148067671435,0,0.0006551886881870109
p1k_00714,0,-3.1886447367737594,0.07253393142339143,0,0.015326836100422379
p1k_01017,0,-3.5552289665658443,0.39477219215699966,0,0.011887750023503361
p1k_00151,0,-5.68030945022093,0.03354229352933001,0,0.0027251266781064248
p1k_00041,0,-6.682516424664617,0.01323399690047433,0,0.0013604805402259096
p1k_00630,0,-5.780387968264391,0.037148023708285446,0,0.0025424947188673404
p1k_00482,0,-8.85475793187903,0.005087582057142806,0,0.0003018439549886992
p1k_00930,0,-4.825286618252048,0.04591873432865751,0,0.004929174745924577
p1k_00300,0,-5.114023558937928,0.03610441465079352,0,0.004035113310947778
p1k_00929,0,-5.2360680311411,0.04000577498796333,0,0.0037078033100286403
p1k_00266,0,-4.867303571117699,0.027930456525513136,0,0.004787688117906431
p1k_00236,0,-4.269863068975035,0.04529298046426338,0,0.007243915295560099
p1k_00199,0,-4.999090195069625,0.05006588503583098,0,0.004369725185271462
p1k_00679,0,-5.051655954563601,0.045867279772529065,0,0.0042133763619106104
p1k_00188,0,-3.68549004315699,0.05421140838033797,0,0.010861434132055729
p1k_00356,0,-3.4514328171429374,0.0865317781334586,0,0.012774544353991663
p1k_00834,0,-7.073538160910743,0.0002932010438108032,0,0.001037487953243145
p1k_01004,0,-3.1130443570745108,0.1324254552871547,0,0.016151411988535723
p1k_00220,0,-3.3309761601263137,0.09458048925820092,0,0.013886937646408293
p1k_00983,0,-3.5042684512780875,0.1161196654991739,0,0.012315167066925472
p1k_00669,0,-3.700274301257186,0.09847420820981848,0,0.01075069813576695
p1k_00208,0,-3.6601411161294326,0.08426125313069119,0,0.01105396181992731
p1k_00147,0,-3.9164718900836637,0.13018496129403237,0,0.009254537263073584
p1k_00809,0,-2.8746535629341374,0.11903730471279798,0,0.019053434657588974
p1k_00665,0,-5.007206632956917,0.04655053690905571,0,0.004345210632062391
p1k_00261,0,-6.717756384319183,0.011431966427622665,0,0.0013276513740674593
p1k_00597,0,-5.536798722142519,0.02132376997815511,0,0.003010147169119917
p1k_00838,0,-7.050089283804155,0.0002932010438108032,0,0.0010544885733316455
p1k_00793,0,-4.74018644568041,0.032829258477544886,0,0.0052286782652616395
p1k_00947,0,-3.467033677273706,0.13317045624813573,0,0.01263714857985334
p1k_00230,0,-4.540982145949987,0.05498553701377328,0,0.006002862405816627
p1k_00806,0,-3.2054957714091006,0.08418605219486915,0,0.01514885631418319
p1k_00045,0,-2.603040882569805,0.20202494813062807,0,0.023000476794417003
p1k_00196,0,-4.586371880777765,0.04540521564551833,0,0.005816941780571772
p1k_00706,0,-5.318241624026159,0.043776001469772854,0,0.0035025147388401635
starve_series__t05_starve,0,-8.454707885785874,0.001884520185776758,0,0.0003982993029142645
p1k_00330,0,-3.37980037176234,0.07293836254593587,0,0.013424834277512062
