,b1072,b1080,b1081,b1878,b1879,b1880,b1904,b1937,b1939,b1940,b1946,b1947,b1948,b1949,b1950
starve_series__t00_growth1,0.087872671080589,0.0932109591270377,0.0722993509995298,0.1870346034894091,0.269143560793805,0.0967621668728893,0.0946827563215103,0.0402262654821736,0.0810001737879206,0.1052140014402763,0.0661710425727452,0.0937983472895856,0.0961672921131168,0.1080642855369174,0.1458241766102584
starve_series__t01_starve,0.0759876394748283,0.0258243416937628,0.028468138833489,0.1592890824365204,0.2072509517859579,0.0626396222198703,0.0401029272044808,0.0194031425410731,0.0452839217093602,0.0530867211576428,0.0130893727837011,0.0328231334808442,0.0378952844156702,0.0578030851555302,0.081933759152348
starve_series__t02_starve,0.0874968245263085,0.0395094631091882,0.0433387357782845,0.0633398299401195,0.2436309746526269,0.0693787432602064,0.0254191067642533,0.0168195970057752,0.0395250502077025,0.0489426499236239,0.0205322967387954,0.0377341889679114,0.0492289333730782,0.054767535038451,0.0823622078319194
starve_series__t03_starve,0.0976869844474893,0.042226756037009,0.0469814177266493,0.1312356264680695,0.2195679414616572,0.0551687904779169,0.0289183079785212,0.0229307064905721,0.035328010685236,0.0379678013695156,0.0187632870751487,0.0595203312861557,0.0416279765282848,0.048691002431187,0.0763826974573256
starve_series__t04_starve,0.071840215375127,0.0328659835670354,0.0368211707959525,0.0638134164325286,0.1812877169311785,0.0620473229472319,0.0256370390421986,0.0375444168135917,0.0317188413869308,0.0598593298610726,0.0253272926551501,0.0381961718914178,0.0497423083529386,0.0614630030491528,0.0938631006267279
starve_series__t05_starve,0.0831318108318557,0.033760119686736,0.0485175582310564,0.0972723585929674,0.2092029019527507,0.0511677473388952,0.0211400451178328,0.0264908951408495,0.0306104387646429,0.0594416526645457,0.0246996758861411,0.0458276928080623,0.0438774194767662,0.0486485352073277,0.0764731315978259
starve_series__t06_starve,0.0974000669560903,0.0419590737096775,0.0453843833584147,0.0919139455974385,0.191726229782228,0.0870744273486462,0.0321582851188515,0.0317646413148202,0.0316203063430227,0.0476372280936119,0.0154863985641973,0.0335021593650474,0.079981687476799,0.0608295204808936,0.0954407056028166
starve_series__t07_starve,0.0873069059499626,0.0377814612515751,0.0393025840525926,0.1162288809317174,0.1933973108648828,0.076190515636251,0.0309617019288914,0.0198459468457927,0.0203084724724557,0.0632650592331222,0.0219096964316715,0.0343045878170952,0.0421500187820935,0.0625847506364771,0.097421003261926
starve_series__t08_starve,0.0902292476860642,0.0368987515159673,0.038414255486879,0.0854558956618627,0.2070869049032783,0.0928401144234201,0.0349284282957948,0.0121477460293189,0.0277692295923514,0.0502822676988821,0.0239544433142327,0.0404449230058747,0.0500545886822852,0.0340445664469207,0.08466862658087
starve_series__t09_starve,0.0922033852086359,0.0309331999924034,0.0480600721203692,0.1136474933537281,0.1705978980336758,0.061298780569621,0.0288508879870595,0.0170985874254422,0.0351785396189483,0.0513529439671669,0.016240285705228,0.0450351236028677,0.048702422284329,0.0426898858993778,0.1199064390498598
starve_series__t10_starve,0.0716194057253498,0.0337806417262072,0.0554579231594128,0.105144556763335,0.2083473306195075,0.0605230258322558,0.0211400451178328,0.0168737940781032,0.0262411466073526,0.0437825675542003,0.0211915622642785,0.0391370344141622,0.0383121065082418,0.0422780965181646,0.0879317264020095
starve_series__t11_starve,0.0860015098392514,0.0398214411649931,0.0454244445956978,0.071821427891759,0.2089644796772992,0.0583362981826986,0.0252282891952546,0.0169462679002651,0.0263613411726594,0.0512418360056675,0.0193655661933162,0.0420439421667311,0.0349979498520561,0.0418209704915474,0.1262741878522914
starve_series__t12_starve,0.0787349877046754,0.0269038784830706,0.0464912805261062,0.1530456937901108,0.2051943888798408,0.0753687010249141,0.0575762511376194,0.0121477460293189,0.0301211773532439,0.0496991322447592,0.0160348487320448,0.0424897636452749,0.0482336069040513,0.0427021043435971,0.109037010995385
starve_series__t14_starve,0.0671855509954449,0.0501414497259726,0.0507840324841976,0.1270141953285115,0.2665151135120064,0.0891074434697762,0.0349124307242619,0.0258146432587529,0.033240845220369,0.0353019969803624,0.0189375557861931,0.0332141761057769,0.060825300510424,0.0521374482805339,0.1218603239772105
starve_series__t16_starve,0.0901356128236727,0.0450300575743972,0.0338723590410417,0.1817917669559475,0.2750676152974924,0.0789517734722316,0.0321485744835775,0.0241639507513037,0.0435123890845949,0.0464540528443578,0.0168655945534109,0.0338671300642267,0.0419647750053732,0.0653276417821327,0.2290972137235014
starve_series__t17_starve,0.0968762296804719,0.0485317003146016,0.0388152477009938,0.162169569880813,0.2181028359200848,0.0936190921603079,0.0289107877701265,0.0185933030415336,0.0211211005486216,0.0501437313191579,0.0255877241989245,0.0464789316336603,0.0798917743728316,0.064692363687975,0.1911134249419894
starve_series__t18_starve,0.0872913123584768,0.0329148987462706,0.0412439383165101,0.0919702031355525,0.2461912030717073,0.081442395275218,0.0309428234207673,0.0181543118804136,0.0293436165725739,0.0435290512509926,0.0223142880344727,0.0432300292707784,0.0539063167119319,0.0524211639811915,0.2689002792402148
starve_series__t21_growth2,0.0557620856708451,0.0819014706928113,0.0954279214701789,0.1704997747273498,0.2139196428216697,0.0727280541569209,0.0541315779100702,0.0163255534352929,0.069713956950281,0.0608880906483748,0.0556957924640806,0.0857167603030191,0.0905197905239218,0.0528589900630386,0.1244263446132503
starve_series__t22_growth2,0.1023964994604045,0.0826622209811115,0.1165415156356383,0.1622458298235725,0.2923215436850834,0.1031959540493014,0.1089524316302394,0.0171926320803987,0.0601498904191804,0.0465949436259887,0.0438855883127554,0.0886510797206936,0.0801468751829952,0.1407679424968063,0.1184513291186814
starve_series__t23_growth2,0.0935233714683626,0.0988064777565698,0.0943277578362606,0.2484726039857621,0.3124037510199617,0.1155540831073131,0.1291234675327716,0.0382776913157875,0.0772225559300497,0.0682763156389568,0.0558754161488669,0.1084003333516936,0.1159768776939833,0.0859318020554173,0.2179199090817047
starve_series__t25_growth2,0.0954913111836241,0.0750068529622063,0.0680124703961237,0.1974259565199075,0.2683419709347179,0.0991400258264999,0.0421988893130618,0.0319943268810138,0.069756937527234,0.0654915636859254,0.0427386368856416,0.0584621382957768,0.0582797236379175,0.0544296750425694,0.1934157919580359
