Parameter,Value
act_TF_conc_lo,2.123205852169852e-18
act_TF_conc_up,1.0379276331237648e-05
act_Kd_lo,1.2413524085896336e-12
act_Kd_up,41.12143398200047
inh_TF_conc_lo,2.123205852169852e-18
inh_TF_conc_up,1.0379276331237648e-05
inh_Kd_lo,1.2413524085896336e-12
inh_Kd_up,41.12143398200047
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,2.742592403384454e-08
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
