"sample","iM","Val"
"p1k_00564","DNA Damage",-9.96735010766188
"p1k_00189","DNA Damage",-9.97750323598084
"p1k_00100","DNA Damage",-9.80071358922298
"p1k_00347","DNA Damage",-9.95534280689849
"p1k_00628","DNA Damage",-9.79550769176545
"starve_series__t05_starve","DNA Damage",-9.89372906122001
"p1k_01023","DNA Damage",-9.91520252254281
"p1k_00665","DNA Damage",-9.74254399133214
"p1k_00523","DNA Damage",-9.15368900158305
"p1k_00905","DNA Damage",-9.91120787124542
"p1k_00729","DNA Damage",-9.85835648581298
"p1k_00898","DNA Damage",-9.92717645289746
"p1k_00355","DNA Damage",-9.92010436861416
"p1k_00537","DNA Damage",-9.0273961342533
"p1k_00161","DNA Damage",-10.0287410789551
"p1k_00099","DNA Damage",-9.70041116307468
"p1k_00132","DNA Damage",-9.75695366747982
"p1k_00688","DNA Damage",-9.65884844638073
"p1k_00025","DNA Damage",-9.64007269954561
"p1k_00054","DNA Damage",-9.74776803689289
"p1k_00658","DNA Damage",-9.75456938651288
"p1k_00120","DNA Damage",-9.70875079805426
"p1k_00131","DNA Damage",-9.78228734578459
"p1k_00633","DNA Damage",-9.80809018117209
"starve_series__t17_starve","DNA Damage",-9.81019232299276
"p1k_00943","DNA Damage",-9.94926899293571
"p1k_00462","DNA Damage",-10.0201188119092
"p1k_00112","DNA Damage",-9.78691691868757
"p1k_00686","DNA Damage",-9.65180347192449
"p1k_00154","DNA Damage",-9.93582244308624
"p1k_00059","DNA Damage",-9.93506034269453
"p1k_00484","DNA Damage",-9.9120507181228
"p1k_00863","DNA Damage",-9.51771277750517
"p1k_00469","DNA Damage",-9.91370049541219
"p1k_00237","DNA Damage",-9.90345223483501
"p1k_00638","DNA Damage",-9.78833157435737
"p1k_00649","DNA Damage",-9.768718969697
"p1k_00828","DNA Damage",-9.7722156364187
"p1k_00007","DNA Damage",-9.50741640022826
"p1k_00977","DNA Damage",-9.85396143808192
"p1k_00391","DNA Damage",-9.7677253239027
"p1k_01024","DNA Damage",-9.90559465440478
"p1k_01025","DNA Damage",-9.91385870257078
"p1k_00608","DNA Damage",-9.42322911669679
"p1k_00749","DNA Damage",-9.2514891227177
"p1k_00675","DNA Damage",-9.72038346781462
