Parameter,Value
act_TF_conc_lo,2.011830893884411e-17
act_TF_conc_up,9.432765672863865e-05
act_Kd_lo,6.339452815852841e-09
act_Kd_up,6.744974145644254
inh_TF_conc_lo,2.011830893884411e-17
inh_TF_conc_up,9.432765672863865e-05
inh_Kd_lo,6.339452815852841e-09
inh_Kd_up,6.744974145644254
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,4.498557822902206e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
