,locus_tag,cog,essential,y-ome,tpm,tpm_ctrl,tpm_all,reg_effect
0,b0002,E,,well-annotated,911.8712070356552,1272.4814856617184,663.4510387045627,unknown
1,b3940,E,,well-annotated,95.75316013830583,137.65141580935676,94.2963946176673,dual
2,b4024,E,,well-annotated,494.61191926294697,1006.024757633608,484.52421784817295,activated
3,b0003,E,,well-annotated,771.7059030783881,1010.4789603166981,576.6117508443897,unknown
4,b0004,E,,well-annotated,693.7438654736732,1004.4782339778955,530.762368084173,repressed
5,b0006,P,,y-ome,69.70655622580077,89.19284835189984,79.2931567235498,
6,b0007,E,,y-ome,9.578944002272625,6.936785823735442,11.229236902477469,
7,b0008,G,,well-annotated,1205.7566210837508,1643.7067726971325,1379.751726801125,
8,b0825,G,,well-annotated,8.74791302455866,9.858969801683248,11.37897104519519,
9,b2464,G,,well-annotated,214.90473009085792,254.01539201149293,107.46032304723087,dual
10,b3946,G,,well-annotated,4.356533088977748,6.043812744479781,4.757712679500036,
11,b0009,H,,well-annotated,56.43014998112645,61.43210825371384,67.56232670383218,
12,b0782,H,,well-annotated,231.8928549299386,246.7154105972992,261.2230192472198,dual
13,b0010,C,,well-annotated,22.86660326944076,25.29736343453288,20.590270285858836,activated
14,b0011,S,,y-ome,3.076929589809442,2.7406031840679597,3.2761152563687563,
15,b0014,O,,well-annotated,729.2548818393454,759.3812886118669,952.8361220674122,activated
16,b0650,O,,y-ome,3.0456313907431767,2.995217003638242,3.323470796393278,
17,b2069,O,,y-ome,15.523857778484551,20.424536526849213,14.458202749947587,unknown
18,b2526,O,,well-annotated,128.16634626649997,154.798264176118,154.28799258457025,unknown
19,b0015,O,,well-annotated,168.4191943345793,190.01385251337769,224.4406561372596,activated
20,b1000,O,,well-annotated,152.45034556625683,160.01875479266943,107.87402580776983,repressed
21,b1559,O,,y-ome,5.0057980972652585,5.978546096207602,6.047302562595505,unknown
22,b0016,X,,well-annotated,46.45321419225046,58.47051609077086,51.385069701222896,activated
23,b0582,X,,well-annotated,40.59134536623709,55.90166508889692,44.13901139405343,activated
24,b2394,X,,well-annotated,46.19003365525348,65.19604760971117,48.294152679164476,activated
25,b4278,X,,well-annotated,18.54553553981801,23.70514720567446,18.959219561383502,
26,b0019,C,,well-annotated,68.30228696516717,50.854834528480566,61.20564551941863,dual
27,b0020,K,,well-annotated,44.076156104462015,55.35521081623254,40.498352983228145,dual
28,b0076,K,,well-annotated,6.05743685560031,5.4746309616295035,6.192172885044155,dual
29,b0208,K,,y-ome,28.686444467874992,31.637003111565996,30.776701529646058,repressed
30,b0254,K,,y-ome,5.20658145537453,6.412218555143647,5.230650807401409,
31,b0316,K,,y-ome,14.209533908902197,15.443123144927501,13.480346030226851,
32,b0338,K,,well-annotated,12.189469441936863,17.112907914892787,12.082847368334889,repressed
33,b0504,K,,well-annotated,1.8419117149529876,1.8029114368826442,1.856574925259003,repressed
34,b0603,K,,y-ome,2.468608408714029,2.25668299191992,2.9125291620679,unknown
35,b0629,K,,y-ome,3.040638283124257,3.8046574595317866,3.426263100463135,
