,b0522,b0523,b1131,b2312,b2499,b2500,b2551,b2557,b4005,b4006
p1k_00723,0.5149012148055677,0.4174560100755959,0.4669172211152263,0.45523142827503,0.4936220917619884,0.5721467711644492,0.833861716954786,0.5943053308801991,0.3844301766417029,0.311288812195572
p1k_00929,0.0878201164901875,0.1245893226069788,0.1372467549138175,0.080238058979366,0.0802857515575501,0.1119121105979685,0.4958717131933436,0.0946449284733243,0.0924259256801729,0.0894529995958105
p1k_00805,0.4977833632625889,0.5464004773053178,0.5342856642695177,0.5170801453740386,0.5763958758159089,0.558412708787002,0.8402491947240124,0.6002561932883953,0.530901038998636,0.5498663773454372
p1k_00412,0.4919137349878166,0.3590244060054424,0.4491757509165529,0.6459645225556254,0.6621286584685501,0.7143716177995276,0.8098780213680914,0.5129104901418393,0.3154243123680218,0.3194666472868674
p1k_00143,0.5781342056930778,0.5433618476985529,0.5337589096841255,0.3412211929312259,0.6324537488814526,0.5867295305890855,0.994699971213837,0.5853228255679797,0.3826831388812016,0.4401240316431001
p1k_00470,0.0112952699117002,0.0089050855406472,0.0748217282390764,0.0266798676124119,0.0108088496857976,0.0675526721064755,0.2956573774906477,0.0256200770378784,0.0275205510318366,0.0162827301164595
p1k_00545,0.0194345151073642,0.0100532233711855,0.0786648754027562,0.0358893414761547,0.0140110788648302,0.078218524618392,0.1273386678666681,0.0533090730636946,0.0767630845849588,0.0329021310808387
p1k_00974,0.1450800007423766,0.1998182388994598,0.192262306563486,0.1597093195226167,0.2588037775398012,0.2634855680286225,0.3225285676714484,0.18605045389798,0.1466883975877184,0.122125898120658
p1k_00928,0.0570108927615971,0.067767658014339,0.1293912473872118,0.0713523406389398,0.0490971056141403,0.1019084475891768,0.4684578265365103,0.0785436619803733,0.097295366254263,0.0653327395562168
p1k_00938,0.1282280269428201,0.1735388510280059,0.2805620010701162,0.1686531481394263,0.1514538568313695,0.1960997604953293,0.3286949086287132,0.1726365883165465,0.1312746542251086,0.0935267208192014
p1k_00056,0.4455985703244856,0.441288795718937,0.3727230199480774,0.3724142068598615,0.5051916668005396,0.3734992453021186,0.5009403262746935,0.5766392608112724,0.2079928290976234,0.2293339028433174
p1k_00242,0.4100188974327419,0.4242263614741884,0.359149643603685,0.3911830818220879,0.5016790990780358,0.4175058214756728,0.6521060862945065,0.5323344236758293,0.3502350602563626,0.3317391483697762
p1k_00658,0.2802689274097231,0.183493882500897,0.2403991954722887,0.2753430338444112,0.2756288464516444,0.2641668611909865,0.5808609141558126,0.4109054899386666,0.2935464805834763,0.2033988492309782
p1k_00248,0.3147090282901516,0.2984652421611761,0.3163473594836418,0.3043101169672149,0.2235487090909041,0.1843735041858001,0.4516062069506915,0.3028027078563738,0.1923840857987253,0.1536672395995695
p1k_01023,0.2060559375953408,0.2391901616295423,0.2426570838782187,0.1938784950678382,0.2895756977726989,0.2646444318290719,0.4450512623040499,0.2791952846543071,0.1968018792138835,0.1490795047552575
starve_series__t08_starve,0.0029725301065521,0.0016160743204595,0.0066138549246349,0.0319901859054814,0.0030203962455251,0.0134070684679213,0.0098646291919853,0.0101290281760426,0.024911509032152,0.0110377687745153
p1k_00235,0.3472230337029907,0.3875058603742519,0.2732697038683687,0.3567702553468991,0.4388426951632062,0.3614578154671994,0.4808703003729617,0.5363598747780214,0.2396456840865781,0.2125051707574466
