"sample","iM","Val"
"p1k_00711","FlhDC-1",-8
"p1k_00711","FlhDC-2",-7
"p1k_00740","FlhDC-1",-7
"p1k_00740","FlhDC-2",-6
"p1k_00571","FlhDC-1",-9
"p1k_00571","FlhDC-2",-7
"p1k_00169","FlhDC-1",-9
"p1k_00169","FlhDC-2",-7
"p1k_00985","FlhDC-1",-9
"p1k_00985","FlhDC-2",-3
"p1k_00738","FlhDC-1",-10
"p1k_00738","FlhDC-2",-9
"p1k_00157","FlhDC-1",-8
"p1k_00157","FlhDC-2",-9
"p1k_00660","FlhDC-1",-10
"p1k_00660","FlhDC-2",-6
"p1k_00573","FlhDC-1",-9
"p1k_00573","FlhDC-2",-9
"p1k_00940","FlhDC-1",-9
"p1k_00940","FlhDC-2",-5
"p1k_00550","FlhDC-1",-7
"p1k_00550","FlhDC-2",-7
"p1k_00708","FlhDC-1",-9
"p1k_00708","FlhDC-2",-7
"p1k_00052","FlhDC-1",-7
"p1k_00052","FlhDC-2",-3
"p1k_00245","FlhDC-1",-8
"p1k_00245","FlhDC-2",-4
"p1k_00658","FlhDC-1",-4
"p1k_00658","FlhDC-2",-5
"p1k_00104","FlhDC-1",-6
"p1k_00104","FlhDC-2",-3
"p1k_00254","FlhDC-1",-6
"p1k_00254","FlhDC-2",-9
"p1k_00798","FlhDC-1",-3
"p1k_00798","FlhDC-2",-10
"p1k_00222","FlhDC-1",-7
"p1k_00222","FlhDC-2",-3
"p1k_00593","FlhDC-1",-5
"p1k_00593","FlhDC-2",-3
"p1k_00981","FlhDC-1",-7
"p1k_00981","FlhDC-2",-8
"p1k_00454","FlhDC-1",-5
"p1k_00454","FlhDC-2",-6
"p1k_00046","FlhDC-1",-4
"p1k_00046","FlhDC-2",-9
"p1k_00074","FlhDC-1",-3
"p1k_00074","FlhDC-2",-6
"p1k_00464","FlhDC-1",-8
"p1k_00464","FlhDC-2",-6
"p1k_00624","FlhDC-1",-7
"p1k_00624","FlhDC-2",-3
"p1k_00499","FlhDC-1",-10
"p1k_00499","FlhDC-2",-8
"p1k_00586","FlhDC-1",-7
"p1k_00586","FlhDC-2",-3
"p1k_00676","FlhDC-1",-3
