"sample","iM","Val"
"p1k_00711","FlhDC-1",-6
"p1k_00711","FlhDC-2",-9.96232109794142
"p1k_00740","FlhDC-1",-9
"p1k_00740","FlhDC-2",-10.2168607636409
"p1k_00571","FlhDC-1",-10
"p1k_00571","FlhDC-2",-9.47026211540737
"p1k_00169","FlhDC-1",-9
"p1k_00169","FlhDC-2",-10.2937021337152
"p1k_00985","FlhDC-1",-4
"p1k_00985","FlhDC-2",-9.94938949629992
"p1k_00738","FlhDC-1",-7
"p1k_00738","FlhDC-2",-10.3609891375496
"p1k_00157","FlhDC-1",-6
"p1k_00157","FlhDC-2",-10.3142335958626
"p1k_00660","FlhDC-1",-10
"p1k_00660","FlhDC-2",-10.4430095575701
"p1k_00573","FlhDC-1",-7
"p1k_00573","FlhDC-2",-9.44410103725007
"p1k_00940","FlhDC-1",-9
"p1k_00940","FlhDC-2",-10.1394542447875
"p1k_00550","FlhDC-1",-7
"p1k_00550","FlhDC-2",-9.2791895360195
"p1k_00708","FlhDC-1",-8
"p1k_00708","FlhDC-2",-10.4363373472384
"p1k_00052","FlhDC-1",-6
"p1k_00052","FlhDC-2",-10.0069505809348
"p1k_00245","FlhDC-1",-5
"p1k_00245","FlhDC-2",-10.1889245186771
"p1k_00658","FlhDC-1",-9
"p1k_00658","FlhDC-2",-10.4659872696062
"p1k_00104","FlhDC-1",-5
"p1k_00104","FlhDC-2",-10.2412055780785
"p1k_00254","FlhDC-1",-7
"p1k_00254","FlhDC-2",-9.8632142050312
"p1k_00798","FlhDC-1",-10
"p1k_00798","FlhDC-2",-10.0825020656064
"p1k_00222","FlhDC-1",-10
"p1k_00222","FlhDC-2",-9.89396199100464
"p1k_00593","FlhDC-1",-6
"p1k_00593","FlhDC-2",-9.96810285630511
"p1k_00981","FlhDC-1",-5
"p1k_00981","FlhDC-2",-13.9256693120231
"p1k_00454","FlhDC-1",-5
"p1k_00454","FlhDC-2",-10.1634920802732
"p1k_00046","FlhDC-1",-4
"p1k_00046","FlhDC-2",-9.3195114786846
"p1k_00074","FlhDC-1",-9
"p1k_00074","FlhDC-2",-9.36618099129696
"p1k_00464","FlhDC-1",-7
"p1k_00464","FlhDC-2",-13.9256693120231
"p1k_00624","FlhDC-1",-7
"p1k_00624","FlhDC-2",-10.4958083227334
"p1k_00499","FlhDC-1",-3
"p1k_00499","FlhDC-2",-9.41865407685735
"p1k_00586","FlhDC-1",-9
"p1k_00586","FlhDC-2",-9.8857279069259
"p1k_00676","FlhDC-1",-3
"p1k_00676","FlhDC-2",-10.3276147805278
"p1k_00089","FlhDC-1",-7
"p1k_00089","FlhDC-2",-10.4428535734707
"p1k_00772","FlhDC-1",-10
"p1k_00772","FlhDC-2",-9.89914630585438
"p1k_00401","FlhDC-1",-10
"p1k_00401","FlhDC-2",-9.20732328027281
"p1k_00346","FlhDC-1",-8
"p1k_00346","FlhDC-2",-10.4619300224959
"p1k_00632","FlhDC-1",-8
"p1k_00632","FlhDC-2",-10.2742970009164
"p1k_00379","FlhDC-1",-6
"p1k_00379","FlhDC-2",-10.0858560680523
"p1k_00461","FlhDC-1",-9
"p1k_00461","FlhDC-2",-9.5517552870674
"p1k_00792","FlhDC-1",-6
"p1k_00792","FlhDC-2",-10.6151854362877
"p1k_00869","FlhDC-1",-5
"p1k_00869","FlhDC-2",-8.79307100542577
"p1k_00503","FlhDC-1",-3
"p1k_00503","FlhDC-2",-9.47236435973457
"p1k_00592","FlhDC-1",-7
"p1k_00592","FlhDC-2",-9.88483736228232
"p1k_00165","FlhDC-1",-8
"p1k_00165","FlhDC-2",-9.11620178911716
"p1k_01052","FlhDC-1",-6
"p1k_01052","FlhDC-2",-9.89850659136611
"p1k_00299","FlhDC-1",-6
"p1k_00299","FlhDC-2",-10.0503477173532
"p1k_00847","FlhDC-1",-3
"p1k_00847","FlhDC-2",-13.9256693120231
"p1k_00797","FlhDC-1",-9
"p1k_00797","FlhDC-2",-10.0812576777739
"p1k_00106","FlhDC-1",-4
"p1k_00106","FlhDC-2",-9.41303809283266
"p1k_00918","FlhDC-1",-9
