"gene","iM","Val"
"b0523","Purine",-6.21057579656516
"b2313","Purine",-7.24546357541308
"b4005","Purine",-7.72446747627833
"b1849","Purine",-7.53802151603786
"b0522","Purine",-7.52542928784426
"b2312","Purine",-7.48305725250068
"b4006","Purine",-7.72322487243338
"b2499","Purine",-6.323738544021
"b2500","Purine",-7.11290195492277
"b2557","Purine",-7.67604853133611
