Parameter,Value
act_TF_conc_lo,6.000879488854186e-10
act_TF_conc_up,4.105580415467336e-08
act_Kd_lo,1.220604165575062e-09
act_Kd_up,0.0010025625791294601
inh_TF_conc_lo,6.000879488854186e-10
inh_TF_conc_up,4.105580415467336e-08
inh_Kd_lo,1.220604165575062e-09
inh_Kd_up,0.0010025625791294601
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,9.919847019345436e-09
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
