"sample","Val"
"42c__42c_ale10__1",-3.5624193806572
"42c__42c_ale1__1",-7
"42c__42c_ale2__1",-4.77486607092386
"42c__42c_ale3__1",-4.11314071271433
"42c__42c_ale4__1",-4.15995866492358
"42c__42c_ale5__1",-4.26363352624275
"42c__42c_ale6__1",-3.8157907515158
"42c__42c_ale8__1",-3.98313332484299
"42c__42c_ale9__1",-4.65976557807225
"42c__wt_42c__1",-4.36947388910714
"acid__delgade_ph5__1",-4.26906115284195
"acid__delgade_ph5__2",-4.3086749144226
"acid__delgadw_ph5__1",-4.24478982986669
"acid__delgadw_ph5__2",-4.22675059919094
"acid__delgadx_ph5__1",-3.98590264970802
"acid__delgadx_ph5__2",-3.98274826354403
"acid__wt_ph5__1",-4.21023757731627
"acid__wt_ph5__2",-4.24351275837953
"control__wt_glc__1",-4.50656924249293
"control__wt_glc__2",-4.80366267530549
"cra_crp__delcra_ac__1",-3.29992942879251
"cra_crp__delcra_ac__2",-3.31433903296015
"cra_crp__delcra_fru__1",-3.96998491949161
"cra_crp__delcra_fru__2",-3.923320784068
"cra_crp__delcra_glc__1",-4.38563660115037
"cra_crp__delcra_glc__2",-4.4358618381997
"cra_crp__wt_ac__1",-3.82851019510783
"cra_crp__wt_ac__2",-3.78550353007354
"cra_crp__wt_fru__1",-3.86516381195713
"cra_crp__wt_fru__2",-3.82354093458848
"crp__delar1_glyc__1",-4.04739585302349
"crp__delar1_glyc__2",-3.65434528078101
"crp__delar1ar2_glyc__1",-4.80482739500291
"crp__delar1ar2_glyc__2",-4.54719045892116
"crp__delar1ar2_glyc__3",-4.50121701520764
"crp__delar2_glyc__1",-3.51315742390974
"crp__delar2_glyc__2",-3.40226836377646
"crp__delar2_glyc__3",-3.36867764330079
"crp__delcrp_fru__1",-4.06415290264265
"crp__delcrp_fru__2",-4.00930375603416
"crp__delcrp_fru__3",-4.03600706108961
"crp__delcrp_glc__1",-4.11309857566873
"crp__delcrp_glc__2",-4.1027456352352
"crp__delcrp_glc__3",-4.1261908334454
"crp__delcrp_glyc__1",-3.88027218791441
"crp__delcrp_glyc__2",-3.80559133416291
"crp__delcrp_glyc__3",-3.79029473413259
"crp__wt_fru__1",-4.30793476121696
"crp__wt_glyc__1",-7
"crp__wt_glyc__2",-7
"efeU__delmenFentC__1",-3.71256271165313
"efeU__delmenFentC__2",-3.81651619632594
"efeU__delmenFentC_citr__1",-4.38541956968031
"efeU__delmenFentC_citr__2",-4.35115807495654
"efeU__menFentC_ale29__1",-3.27663542385157
"efeU__menFentC_ale29__2",-3.2994584519969
"efeU__menFentC_ale30__1",-4.37300853178151
"efeU__menFentC_ale30__2",-4.24172849747672
"efeU__menFentC_ale39__1",-3.65610658083978
"efeU__menFentC_ale39__2",-3.60234795814187
"efeU__menFentCubiC_ale36__1",-3.73166673712441
"efeU__menFentCubiC_ale36__2",-3.71943923233356
"efeU__menFentCubiC_ale37__1",-3.89721966915929
"efeU__menFentCubiC_ale37__2",-3.8789145140216
"efeU__menFentCubiC_ale38__1",-3.71968412687492
"efeU__menFentCubiC_ale38__2",-3.58548238840023
"fps__bw_glc__1",-4.60075695116241
"fps__bw_glc__2",-4.59707484675249
"fps__fps_serB_ale1__1",-4.36945004374163
"fps__fps_serB_ale1__2",-4.93897525888515
"fps__fps_serB_ale4__1",-3.59018419014719
"fps__fps_serB_ale4__2",-3.68520606664939
"fps__fps_thrA_ale1__1",-3.80494244477096
"fps__fps_thrA_ale1__2",-3.90069796431407
"fps__fps_thrA_ale2__1",-3.75030158539874
"fps__fps_thrA_ale2__2",-3.79094240564373
"fur__delfur_dpd__1",-3.63451141964016
"fur__delfur_dpd__2",-3.7075634231342
"fur__delfur_fe2__1",-4.32784565378029
"fur__delfur_fe2__2",-4.29974668871032
"fur__wt_dpd__1",-3.53794011965861
"fur__wt_dpd__2",-3.3528141628747
"fur__wt_fe__1",-7
"fur__wt_fe__2",-5.30272587945266
"glu__glu_ale10__1",-4.0980233136304
"glu__glu_ale3__1",-3.79951204102948
"glu__glu_ale4__1",-4.60191559504012
"glu__glu_ale5__1",-4.48414608803275
"glu__glu_ale6__1",-7
"glu__glu_ale8__1",-3.49234203851528
"glu__glu_ale9__1",-4.27453993007755
"ica__ade_glc__1",-4.35695379078984
"ica__ade_glc__2",-4.29944103564765
"ica__arg_sbt__1",-3.66431419317907
"ica__arg_sbt__2",-3.73731550738354
"ica__bw_delpurR_cytd__1",-7
"ica__bw_delpurR_cytd__2",-7
"ica__cytd_rib__1",-3.1110128134843
"ica__cytd_rib__2",-3.07345767342034
"ica__gth__1",-3.32661288339225
"ica__gth__2",-3.30817770001816
"ica__leu_glcr__1",-2.9205090177631
"ica__leu_glcr__2",-2.88301976782966
"ica__met_glc__1",-4.78838154554766
"ica__met_glc__2",-5.05760425794585
"ica__no3_anaero__1",-4.80593232176569
"ica__no3_anaero__2",-4.86359724180771
"ica__phe_acgam__1",-3.96882264548561
"ica__phe_acgam__2",-3.91209273194311
"ica__thm_gal__1",-3.76929461055935
"ica__thm_gal__2",-3.78204069413673
"ica__tyr_glcn__1",-3.97430300421138
"ica__tyr_glcn__2",-4.08019991762953
