"gene","iM","Val"
"b2257","BasR",-6.05684991870347
"b4544","BasR",-7.43750041307306
"b2256","BasR",-6.05971367702132
"b4114","BasR",-6.26515975862773
"b2255","BasR",-5.62039517280907
