"sample","gene","Val"
"p1k_00639","b3008",22.2114378167465
"p1k_00639","b0199",145.745807489645
"p1k_00639","b0198",65.6025978028478
"starve_series__t10_starve","b3008",1.2543637983586
"starve_series__t10_starve","b0199",2.78831155644983
"starve_series__t10_starve","b0198",1.74722189816367
"p1k_00707","b3008",26.1493052706113
"p1k_00707","b0199",171.675311481808
"p1k_00707","b0198",78.1289648569961
"p1k_00824","b3008",13.2074168488337
"p1k_00824","b0199",85.367875031165
"p1k_00824","b0198",37.6011683997002
"p1k_00841","b3008",4.98182881805596
"p1k_00841","b0199",28.8444329329411
"p1k_00841","b0198",12.7713329256111
"p1k_00521","b3008",7.80746579291095
"p1k_00521","b0199",48.4112828894894
"p1k_00521","b0198",21.2219907572513
"p1k_00405","b3008",11.346769488133
"p1k_00405","b0199",72.6980034240755
"p1k_00405","b0198",31.9230388893435
"p1k_00101","b3008",4.72187665271715
"p1k_00101","b0199",27.0363440507505
"p1k_00101","b0198",11.9979760589899
"p1k_00204","b3008",9.52537872179243
"p1k_00204","b0199",60.2302590670076
"p1k_00204","b0198",26.3998421257569
"p1k_00305","b3008",1.95656666161744
"p1k_00305","b0199",7.71835317509505
"p1k_00305","b0198",3.81336468509181
"p1k_00490","b3008",4.84298781762763
"p1k_00490","b0199",27.8788969154571
"p1k_00490","b0198",12.3581961976704
"p1k_00609","b3008",2.48361947216317
"p1k_00609","b0199",11.4121385232643
"p1k_00609","b0198",5.36738411879211
"p1k_00450","b3008",1.904239077823
"p1k_00450","b0199",7.35131505285222
"p1k_00450","b0198",3.65922786025352
"p1k_01051","b3008",8.12763023776985
"p1k_01051","b0199",50.6183684868477
"p1k_01051","b0198",22.1846679790002
"p1k_00810","b3008",10.1889161614133
"p1k_00810","b0199",64.7797908594344
"p1k_00810","b0198",28.4079532407442
"p1k_00061","b3008",17.5262538748293
"p1k_00061","b0199",114.520037543191
"p1k_00061","b0198",50.9227055200573
"p1k_00812","b3008",9.88638026875027
"p1k_00812","b0199",62.7065276491285
"p1k_00812","b0198",27.4917993291866
"p1k_00452","b3008",1.82479030614054
"p1k_00452","b0199",6.79393647710278
"p1k_00452","b0198",3.42525475469263
"p1k_01015","b3008",8.79150447746386
"p1k_01015","b0199",55.1884168067144
"p1k_01015","b0198",24.1841868950014
"p1k_00776","b3008",13.203427217283
"p1k_00776","b0199",85.3407797014419
"p1k_00776","b0198",37.5889542060639
"p1k_00141","b3008",2.32504615205655
"p1k_00141","b0199",10.3013873613272
"p1k_00141","b0198",4.89953726814691
"p1k_00320","b3008",11.5006965429688
"p1k_00320","b0199",73.748698965412
"p1k_00320","b0198",32.3913964502927
"starve_series__t28_growth2","b3008",6.98048672329246
"starve_series__t28_growth2","b0199",42.7010509928591
"starve_series__t28_growth2","b0198",18.7402880743454
"p1k_00931","b3008",18.2648374675943
"p1k_00931","b0199",119.46993183691
"p1k_00931","b0198",53.2209613633457
"p1k_00582","b3008",20.1939531689685
"p1k_00582","b0199",132.35012901194
"p1k_00582","b0198",59.2518078993156
"p1k_00981","b3008",6.06548750989345
"p1k_00981","b0199",36.367258177518
"p1k_00981","b0198",16.002606235049
"p1k_00540","b3008",1.5782063082365
"p1k_00540","b0199",5.06319436378688
"p1k_00540","b0198",2.69947679558291
"p1k_00199","b3008",9.30356049875295
"p1k_00199","b0199",58.7074439617563
"p1k_00199","b0198",25.7295575802257
"p1k_00046","b3008",18.754592019784
"p1k_00046","b0199",122.746525002118
"p1k_00046","b0198",54.7481993846011
"p1k_00444","b3008",7.44677027721311
"p1k_00444","b0199",45.9223685368016
"p1k_00444","b0198",20.1387069870042
"p1k_00065","b3008",9.19980175288765
"p1k_00065","b0199",57.9947935364391
"p1k_00065","b0198",25.4161972374902
"p1k_00453","b3008",1.7945811052674
"p1k_00453","b0199",6.58196810997604
"p1k_00453","b0198",3.33630652729379
"p1k_00272","b3008",44.449183095784
"p1k_00272","b0199",288.530374848037
"p1k_00272","b0198",138.70490176077
"p1k_00930","b3008",18.8329722282391
"p1k_00930","b0199",123.270490548653
"p1k_00930","b0198",54.9928604682308
"p1k_00938","b3008",5.86028737549605
"p1k_00938","b0199",34.9445418806862
"p1k_00938","b0198",15.3898197705547
"p1k_00770","b3008",22.2696685768754
"p1k_00770","b0199",146.131322500502
"p1k_00770","b0198",65.7865687503381
"p1k_00314","b3008",14.9247067015708
"p1k_00314","b0199",97.0023035501818
"p1k_00314","b0198",42.8743045466483
"p1k_00018","b3008",14.744989040403
"p1k_00018","b0199",95.7873909243629
"p1k_00018","b0198",42.3209910101555
