"sample","iM","Val"
"p1k_00513","SoxS",-8.43625006683715
"p1k_00721","SoxS",-8.80807919236029
"p1k_00039","SoxS",-9.00357412964818
"p1k_00532","SoxS",-8.18965798555978
"p1k_00284","SoxS",-9.0352728903246
"p1k_00596","SoxS",-8.43944506609634
"p1k_00222","SoxS",-9.03937770874259
"p1k_00348","SoxS",-9.05379031078839
"p1k_00032","SoxS",-8.82704102468666
"p1k_00303","SoxS",-9.04648638183212
"p1k_00653","SoxS",-9.04618477451171
"p1k_00128","SoxS",-9.03231349179583
"p1k_00549","SoxS",-8.55167835806058
"p1k_00320","SoxS",-9.03465213845857
"p1k_00241","SoxS",-8.82960355797289
"p1k_00387","SoxS",-9.04812735745992
"p1k_01045","SoxS",-9.03564575544601
"p1k_00391","SoxS",-9.03168483226869
"p1k_00612","SoxS",-8.99269870286401
"p1k_00845","SoxS",-8.64285921662364
"p1k_00702","SoxS",-8.9876582905746
"p1k_00569","SoxS",-9.04960160797209
"p1k_00114","SoxS",-9.05761438168378
"p1k_00502","SoxS",-9.05325382694872
"p1k_00913","SoxS",-9.19450696210149
"p1k_00347","SoxS",-9.07567335112664
"p1k_00131","SoxS",-8.97215951181353
"p1k_00475","SoxS",-8.94323481150849
"p1k_00173","SoxS",-9.07086169809944
"p1k_00260","SoxS",-9.04631675917371
"starve_series__t22_growth2","SoxS",-8.95038331202709
"p1k_00204","SoxS",-8.9771464481767
"p1k_00209","SoxS",-9.00985138119895
"p1k_00530","SoxS",-8.25967131614414
"p1k_00858","SoxS",-9.14796490283579
"p1k_00785","SoxS",-8.99169016687932
"p1k_00392","SoxS",-9.02231792340828
"p1k_00826","SoxS",-8.80680249540845
"p1k_01023","SoxS",-8.97314248387595
"p1k_01032","SoxS",-8.95704302079082
"p1k_00014","SoxS",-8.92048189901361
"p1k_00346","SoxS",-9.06535163758053
"p1k_00575","SoxS",-8.68223149706057
"p1k_00244","SoxS",-8.8793544713736
"p1k_00176","SoxS",-9.0586505294296
"p1k_00063","SoxS",-9.00258972210944
