,b2255,b2256,b2257,b4114,b4544
starve_series__t00_growth1,5.5698251314086695,5.659070900861635,3.035229576513809,2.330186011455485,7.67441439919608
starve_series__t01_starve,2.878356888060395,2.668805301616631,3.240724712857359,6.12898448774621,17.733200264907016
starve_series__t02_starve,4.217068300108378,3.4302362783332536,6.706602581559297,7.090903343469722,39.21404105515404
starve_series__t03_starve,7.741637726475815,5.721773829088867,8.147135861508325,13.947346596417256,51.34289971298711
starve_series__t04_starve,13.217528645909264,10.031629893788985,9.269279821995656,13.420523620780113,51.39723574210999
starve_series__t05_starve,10.76924406787704,8.724082684124841,8.774153377276027,13.566085318010352,57.49506476870023
starve_series__t06_starve,9.71826126332293,8.332843545564607,10.901312930183895,14.474094576266475,57.95179012925615
starve_series__t07_starve,5.817164760607684,5.341103260046782,10.993805242723884,13.735559649606296,64.56658297079352
starve_series__t08_starve,5.178328439936777,5.190296513737499,8.84505634768697,13.671710232913746,63.61965746879967
starve_series__t09_starve,3.736303833805395,3.6882246434810666,7.819810014676226,13.12356955039551,60.341456162440245
starve_series__t10_starve,2.9747653899551563,3.309430403252245,9.829954071428237,12.266273777952788,76.99763192133386
starve_series__t11_starve,2.3143633758372317,2.740150609403919,7.216002397054721,10.319901207889576,74.75937736978139
starve_series__t12_starve,2.2841019346623144,2.497253534793088,9.21272415318648,13.941197801104662,72.95299994547476
starve_series__t14_starve,2.2044553565179617,2.6243590616003507,7.50315131782422,9.248519166524224,78.63853813403314
starve_series__t16_starve,2.38480355330114,3.302702182879847,7.544591921199363,8.313510094739085,65.05465603026008
starve_series__t17_starve,2.651894516705348,2.8975228533851425,6.394095797368364,7.183916784403288,54.16261275211134
starve_series__t18_starve,2.024178924213015,2.890684669836145,7.281478571647558,8.354651301166992,53.60915488073919
starve_series__t21_growth2,5.835925782570149,6.163734251184686,2.8148123741882696,5.229774202565446,3.629901338767181
starve_series__t22_growth2,3.833600607374144,5.006753152857451,1.690086111687623,7.242172058530627,4.417080921412788
starve_series__t23_growth2,8.669042116331411,9.010940673678112,4.360730512252706,5.909122276006661,9.85330642701823
starve_series__t25_growth2,4.32910174357525,4.375716172572505,2.7472445103844096,2.976148316765619,6.588376083113358
starve_series__t26_growth2,2.705467012350937,2.884451898856294,1.6395258951134313,2.363513037909901,7.58700756016371
starve_series__t27_growth2,2.3772368991996915,2.0691676536797527,1.6110200148224658,2.8760528837165014,4.1827230182315125
starve_series__t28_growth2,3.9684617225589904,3.579294931370164,2.418661020959989,2.1471994010996163,8.720856131997598
p1k_00001,3.001505033801848,2.07393700782233,2.0985314055164523,3.191505954542321,2.6287796268533303
p1k_00002,2.46766646592006,2.647808980858632,3.060707297061915,4.358180991260014,2.52222200987504
p1k_00003,4.310441140164759,3.7182006375025023,4.189961390809579,6.297410077692161,7.632468236588632
p1k_00004,4.276231265652844,3.363218507592401,3.499321239965128,4.5041459999074975,7.980162932352984
p1k_00005,2.5950768331816647,2.127641503169781,2.2711180192136653,3.226597843509837,2.688644380357351
p1k_00006,2.8684265862345315,2.6410152947123597,2.337228443906417,3.744815832068932,2.187310519071534
p1k_00007,5.01791800094965,4.113398710179201,4.089161546131429,4.532192500378904,6.765735861371882
p1k_00008,4.561495128979635,3.838189854176229,2.8677097625473422,4.286158299037487,4.799378721929808
p1k_00009,2.767496709171247,2.240981794354925,2.392782415038992,4.584960721261683,2.49910466032382
p1k_00010,2.62290369549675,2.407950779462538,2.2822883660882365,4.659469038498291,3.2521264449605294
p1k_00011,4.5490419773585575,4.422376429362849,3.1736295351639376,5.288271286485672,4.576041006967654
p1k_00012,4.602703281233768,4.093751203024127,3.133193789866981,5.404938646587802,4.51507868029634
p1k_00014,5.336572360835515,4.420844233613477,2.4349584391187022,6.924226882458914,4.408931353346069
p1k_00015,5.77613961695894,5.470816349394188,2.5660807087517616,9.008034622835703,3.9695602989910856
p1k_00016,5.9115005175319615,4.281580244751804,3.6240381082622113,9.771198240447982,5.277133391949827
p1k_00017,4.710660599932059,4.40500795802355,2.681559531463699,4.503585869655661,4.157747144114001
p1k_00018,4.701290043326172,4.177292438878196,3.170720757075466,4.407570309255124,2.9365810735173103
p1k_00019,2.7848905841765013,3.1670095340493765,3.499441408361519,9.5601020371401,5.405178744863389
p1k_00020,2.7067350460614423,4.374324951374074,3.3318328661751093,9.179102535348257,7.645239740347144
p1k_00021,3.0957603844822854,4.594951718621864,3.074532077585653,10.928348630729106,7.490475654404228
p1k_00022,2.9938903463627997,4.1688810209523455,2.879880782259721,8.928619236641815,5.139911626376482
p1k_00023,2.7936059028934697,3.887690829548039,2.647587047504704,7.413349613617328,8.738805027979318
p1k_00024,2.877035401823102,2.709835471383717,2.952239394467844,6.322232544675809,6.37646560834037
p1k_00025,3.309998252803389,3.1316303131448624,4.478584417463475,11.753457716537085,8.479616868580248
p1k_00026,3.2239343084190626,3.806627665043276,3.61688047285464,11.817110396320617,11.70090397031096
p1k_00027,3.99808549920838,3.622334015842462,4.566492592395616,6.358540725988397,6.897911530203696
p1k_00028,4.084595879471523,3.708836368607892,3.787717247849809,5.999220878765892,5.926506919672597
p1k_00029,4.485040682589724,3.4284913195244364,3.0676755743674997,8.947694041146969,3.713021102252263
p1k_00030,4.021557095081581,3.165718183425316,3.4547134554120387,8.768061493732127,4.425599812566917
p1k_00031,9.415702480553248,5.7783013467826025,5.1593457287423945,13.37244509850813,7.058084956004482
p1k_00032,7.958847833878248,4.849307997344478,4.315232400316676,12.85083087697294,4.417634731286197
p1k_00033,5.603353381306872,5.526204851254918,6.560620133352467,4.050293871785139,7.051613206769946
p1k_00034,5.086797821956867,5.5172745615233,5.340279260195943,3.2975215766862687,10.286295693434408
p1k_00035,5.288680040468512,4.723154630853311,2.595020454040646,6.0257406513954495,3.9364818012055713
p1k_00036,5.3474948741749095,4.932233170430812,2.798046171316348,6.613083457109809,3.970627990224598
p1k_00037,7.974642575221855,6.837772357510692,3.694679545444096,7.20613954527057,5.8819200091257375
p1k_00038,7.848764124753035,6.247252343699928,3.6596719948949095,6.916646491813382,4.562751347300569
p1k_00039,2.225752452491513,2.057657437121744,1.4813627232007314,2.1439612199346545,1.6438710183393117
p1k_00040,2.298180372928734,2.568000393451279,1.7923861913036268,2.745607230951558,4.363702732099835
p1k_00041,4.262842951264624,3.518695038051007,2.819146769534354,4.464239353796611,4.83687658243566
