"sample","gene","Val"
"p1k_00486","b1818",0.0916455896600373
"p1k_00486","b1101",0.257969015034151
"p1k_00486","b1817",0.0614451154697529
"p1k_00486","b1819",0.135467334702457
"p1k_00331","b1818",0.0446208054384888
"p1k_00331","b1101",0.125601082078222
"p1k_00331","b1817",0.0299166665050863
"p1k_00331","b1819",0.0659569282870225
"p1k_00954","b1818",0.966512535878223
"p1k_00954","b1101",2.72059231462817
"p1k_00954","b1817",0.648012354880373
"p1k_00954","b1819",1.42866533651678
"p1k_00567","b1818",1.95015280315587E-11
"p1k_00567","b1101",5.48939670378463E-11
"p1k_00567","b1817",1.30750824582043E-11
"p1k_00567","b1819",2.88264829203504E-11
"p1k_00435","b1818",2.1934153111211
"p1k_00435","b1101",6.174145307698
"p1k_00435","b1817",1.47060712430256
"p1k_00435","b1819",3.24223050116621
"p1k_00154","b1818",1.45245532952928E-9
"p1k_00154","b1101",4.08845065135914E-9
"p1k_00154","b1817",9.73819752468691E-10
"p1k_00154","b1819",2.14696913398234E-9
"p1k_00054","b1818",1.41279454816485
"p1k_00054","b1101",3.97681131615467
"p1k_00054","b1817",0.947228606079669
"p1k_00054","b1819",2.08834394139438
"p1k_00885","b1818",0.173661655702736
"p1k_00885","b1101",0.488832320649791
"p1k_00885","b1817",0.116433977094875
"p1k_00885","b1819",0.256700641300187
"p1k_00084","b1818",20.6190721035017
"p1k_00084","b1101",58.039691175427
"p1k_00084","b1817",13.8243560980794
"p1k_00084","b1819",30.4783978395543
"p1k_00377","b1818",1.51666478892219
"p1k_00377","b1101",4.26919094728509
"p1k_00377","b1817",1.01686991627126
"p1k_00377","b1819",2.24188133170957
"p1k_00649","b1818",5.217059479438
"p1k_00649","b1101",14.6852641821352
"p1k_00649","b1817",3.49785323348103
"p1k_00649","b1819",7.71167652786497
"p1k_00201","b1818",0.0596140551148315
"p1k_00201","b1101",0.167804900783683
"p1k_00201","b1817",0.0399691083197679
"p1k_00201","b1819",0.0881194303748704
"starve_series__t16_starve","b1818",1.98055747672304E-11
"starve_series__t16_starve","b1101",5.5749814408315E-11
"starve_series__t16_starve","b1817",1.32789350042009E-11
"starve_series__t16_starve","b1819",2.92759142684297E-11
"p1k_00694","b1818",6.94482935737459
"p1k_00694","b1101",19.5486852727775
"p1k_00694","b1817",4.65626162005795
"p1k_00694","b1819",10.2656060864122
"p1k_01031","b1818",25.0103068845202
"p1k_01031","b1101",70.4003788576737
"p1k_01031","b1817",16.7685231788455
"p1k_01031","b1819",36.9693689167659
"p1k_00452","b1818",0.163804272717161
"p1k_00452","b1101",0.461085220227
"p1k_00452","b1817",0.10982495163031
"p1k_00452","b1819",0.242129799373689
"p1k_00558","b1818",0.0137620023979708
"p1k_00558","b1101",0.0387380365675167
"p1k_00558","b1817",0.00922693421009289
"p1k_00558","b1819",0.0203425150292297
"p1k_00809","b1818",1.95015280315587E-11
"p1k_00809","b1101",5.48939670378463E-11
"p1k_00809","b1817",1.30750824582043E-11
"p1k_00809","b1819",2.88264829203504E-11
"p1k_00409","b1818",1.08931455819979
"p1k_00409","b1101",3.0662621592984
"p1k_00409","b1817",0.730346752743472
"p1k_00409","b1819",1.6101870302686
"p1k_00442","b1818",1.95015280315587E-11
"p1k_00442","b1101",5.48939670378463E-11
"p1k_00442","b1817",1.30750824582043E-11
"p1k_00442","b1819",2.88264829203504E-11
"p1k_00515","b1818",1.95015280315587E-11
"p1k_00515","b1101",5.48939670378463E-11
"p1k_00515","b1817",1.30750824582043E-11
"p1k_00515","b1819",2.88264829203504E-11
"p1k_00374","b1818",3.57386584920167
"p1k_00374","b1101",10.0599129363752
"p1k_00374","b1817",2.3961502194727
"p1k_00374","b1819",5.28276464771983
"starve_series__t08_starve","b1818",0.273691095805809
"starve_series__t08_starve","b1101",0.770400656164138
"starve_series__t08_starve","b1817",0.183500166753407
"starve_series__t08_starve","b1819",0.404560693189311
"p1k_00389","b1818",1.24569575196871
"p1k_00389","b1101",3.5064524911636
"p1k_00389","b1817",0.835194793375582
"p1k_00389","b1819",1.84134429158417
"p1k_00453","b1818",9.72194577592511E-10
"p1k_00453","b1101",2.73658643622044E-9
"p1k_00453","b1817",6.51821962200633E-10
"p1k_00453","b1819",1.43706433367047E-9
"p1k_00179","b1818",29.9485418939246
"p1k_00179","b1101",84.3007926812829
"p1k_00179","b1817",20.079434500331
"p1k_00179","b1819",44.2688967755525
"p1k_00006","b1818",3.2525272073611E-9
"p1k_00006","b1101",9.15539136326378E-9
"p1k_00006","b1817",2.18070406405997E-9
"p1k_00006","b1819",4.80777300318431E-9
"p1k_00491","b1818",19.2813538958898
"p1k_00491","b1101",54.2742088462606
"p1k_00491","b1817",12.9274635139669
"p1k_00491","b1819",28.5010291430314
"p1k_00715","b1818",0.052990666735963
"p1k_00715","b1101",0.149161025146857
"p1k_00715","b1817",0.0355283614682251
"p1k_00715","b1819",0.0783289672035063
"p1k_00267","b1818",1.04817527140534
"p1k_00267","b1101",2.95046104619584
"p1k_00267","b1817",0.702764320934091
"p1k_00267","b1819",1.54937636219087
"p1k_00536","b1818",2.33346519355111
"p1k_00536","b1101",6.5683653717528
"p1k_00536","b1817",1.56450560026152
"p1k_00536","b1819",3.4492473840142
"p1k_00623","b1818",3.97466195800488
"p1k_00623","b1101",11.1880957305612
"p1k_00623","b1817",2.66486978662913
"p1k_00623","b1819",5.87520756635995
"p1k_00194","b1818",0.606957625548152
"p1k_00194","b1101",1.70849750010829
