"sample","iM","Val"
"p1k_00639","Maltose",-9
"starve_series__t10_starve","Maltose",-8
"p1k_00707","Maltose",-7
"p1k_00824","Maltose",-5
"p1k_00841","Maltose",-7
"p1k_00521","Maltose",-6
"p1k_00405","Maltose",-3
"p1k_00101","Maltose",-10
"p1k_00204","Maltose",-4
"p1k_00305","Maltose",-8
"p1k_00490","Maltose",-5
"p1k_00609","Maltose",-3
"p1k_00450","Maltose",-6
"p1k_01051","Maltose",-10
"p1k_00810","Maltose",-8
"p1k_00061","Maltose",-3
"p1k_00812","Maltose",-3
"p1k_00452","Maltose",-8
"p1k_01015","Maltose",-5
"p1k_00776","Maltose",-8
"p1k_00141","Maltose",-6
"p1k_00320","Maltose",-9
"starve_series__t28_growth2","Maltose",-4
"p1k_00931","Maltose",-10
"p1k_00582","Maltose",-10
"p1k_00981","Maltose",-7
"p1k_00540","Maltose",-5
"p1k_00199","Maltose",-10
"p1k_00046","Maltose",-3
"p1k_00444","Maltose",-4
"p1k_00065","Maltose",-7
"p1k_00453","Maltose",-8
"p1k_00272","Maltose",-4
"p1k_00930","Maltose",-10
"p1k_00938","Maltose",-4
"p1k_00770","Maltose",-4
"p1k_00314","Maltose",-5
"p1k_00018","Maltose",-10
"p1k_00840","Maltose",-5
"p1k_00942","Maltose",-3
"p1k_00063","Maltose",-8
"p1k_00919","Maltose",-4
"p1k_00738","Maltose",-6
"p1k_00231","Maltose",-8
"p1k_00531","Maltose",-5
"p1k_00486","Maltose",-4
"p1k_00579","Maltose",-9
"p1k_00117","Maltose",-10
"p1k_00089","Maltose",-10
"p1k_01040","Maltose",-8
"p1k_00894","Maltose",-6
"p1k_00792","Maltose",-6
"p1k_00696","Maltose",-5
"p1k_00152","Maltose",-9
"p1k_00974","Maltose",-4
"p1k_00100","Maltose",-10
"p1k_00366","Maltose",-6
"p1k_00352","Maltose",-9
"starve_series__t01_starve","Maltose",-10
"p1k_00876","Maltose",-4
"p1k_00676","Maltose",-6
"p1k_00457","Maltose",-5
"p1k_00401","Maltose",-5
"p1k_00884","Maltose",-6
"p1k_00878","Maltose",-10
"p1k_00105","Maltose",-4
