,b0150,b0151,b0152,b1252,b3005,b3006
starve_series__t00_growth1,20.28350431542644,31.74415179993265,10.991711342265514,17.220243870019292,33.41687479078525,67.08607649763464
starve_series__t01_starve,18.782639071695144,28.30901692379947,5.167032989022876,6.730195266201585,6.286298521070395,12.701629155592094
starve_series__t02_starve,11.594662106815772,12.960691790172032,2.533887817479686,3.178906077381276,4.120510421177202,7.192362416004472
starve_series__t03_starve,10.09880894694097,13.508743091905645,2.756176261770264,3.4072127103685035,2.9504558882972822,5.8371442826057
starve_series__t04_starve,8.035220370086188,11.95058572391978,2.164723697394014,2.648981663580225,1.9644154253728097,3.6277672856010983
starve_series__t05_starve,6.251776900119464,9.38773820964026,1.9302269238212943,1.6405776220890924,1.2833826908918606,2.2545123672295864
starve_series__t06_starve,8.141578332055277,12.654417557960898,2.313793577681952,1.8273248579667372,1.7772153865341844,3.039328778589633
starve_series__t07_starve,10.06213306527581,14.02664684695388,2.3091994824588173,2.015008097784482,1.397835060584391,3.362117802898014
starve_series__t08_starve,13.058916240137089,18.1300145867546,2.9718019566865475,2.3675226761149464,2.457773810875778,3.932399571239693
starve_series__t09_starve,14.015177313600764,20.969802916748108,2.3971218728942034,2.5711630613646,2.314011702031733,4.3949561140839535
starve_series__t10_starve,16.10323576023936,24.397413483467343,3.066940929093413,2.558958385325695,2.912982668832664,4.661461394648832
starve_series__t11_starve,17.951844476998918,28.90898488855452,3.2017189116528098,2.731511658483271,3.2655519315345325,4.7883924931695
starve_series__t12_starve,17.614110916035315,31.99309913213484,2.798391880109407,3.01444348664842,4.482564992010345,6.341896857851715
starve_series__t14_starve,18.598925412596465,37.347989397681495,2.6218613288961827,3.1356427387859718,7.276065861380463,8.402919859189087
starve_series__t16_starve,19.86112263085504,38.2276299132722,3.5177364138865386,4.750757468518706,10.808734225019586,15.51337353667924
starve_series__t17_starve,18.215849358525077,29.374985273700844,2.990365203518249,7.674969805681551,16.75223432966445,25.48478061058441
starve_series__t18_starve,17.34789260609801,25.39406633402092,2.384109537857134,5.9418502179876524,18.051239056292424,25.427064866033856
starve_series__t21_growth2,34.714926085844304,62.38123895388772,25.73314042652651,35.89817604403157,63.08878500752414,90.14319511215812
starve_series__t22_growth2,43.752819383195394,47.82744260150933,12.406618039677989,29.328004807585906,45.38191043793988,55.82177011811407
starve_series__t23_growth2,39.103078812533134,72.54865140100159,27.459718325790195,36.64250110432909,67.6998064454224,105.4846161711477
starve_series__t25_growth2,38.81044112466427,78.6803219543473,23.091957560054155,27.82144283169088,55.22904505996324,102.2265111062764
starve_series__t26_growth2,23.643844189210583,44.56587729933272,11.876265683115856,17.722379869673656,37.81892052767671,74.07189241527705
starve_series__t27_growth2,18.452568578554544,31.879534760716545,8.60357647332393,16.24638228128592,29.554111308625387,59.251318038842285
starve_series__t28_growth2,25.275811834199786,41.68164474287182,11.433552936610733,18.082782224846568,31.31238611281507,57.89212789168884
p1k_00001,28.57087283683037,22.347802833859237,11.999264917296438,16.726133848777593,25.27962302860845,41.56758876393948
p1k_00002,28.458738986356668,27.133426003956583,14.221906593655756,18.856451278095086,25.138706475969737,46.15003081289732
p1k_00003,46.28922470112471,38.6706598582802,20.261677524760984,66.07085123829074,63.11959480867683,136.49606125902312
p1k_00004,44.30288435814071,42.12460636716951,20.480171722351557,56.41624488685252,69.85783989007133,147.01408795991978
p1k_00005,16.126831919924452,13.73008656254954,7.279594160519549,16.95023626798853,19.460150560742107,35.00310349747945
p1k_00006,11.898759221924724,9.972259061778956,5.62330992402137,15.359010449839774,17.76015129938401,29.38389146071302
p1k_00007,36.37123165186806,29.874005526199745,16.955397194542122,60.622977467424,67.24843515531524,138.83655678982186
p1k_00008,30.866049451809616,25.37567500379548,15.648801824235663,53.75379831705335,88.23252715013275,167.5750043419123
p1k_00009,34.902000583346634,24.453469828442994,15.52283712094091,57.03830757289922,78.53155118881645,135.89119695674557
p1k_00010,33.49296268579688,26.903652192874645,13.781827279491408,57.82395955062989,77.9519496828325,132.8156553543985
p1k_00011,23.34123880382878,19.928528527249608,10.284161306922163,23.903316089468355,25.19990671404322,56.47543011245256
p1k_00012,23.41553295315716,18.946597525774266,10.636981564166598,24.161314219829023,23.89490480624124,53.51475719794053
p1k_00013,16.016706109957628,17.90726855817824,7.850895782310419,19.14205035737243,28.93381773050408,47.9125047187632
p1k_00014,14.638234629126154,13.42275152241429,6.243196373334711,19.25111778660469,26.496212567616844,51.399191779582985
p1k_00015,3.92563444411361,5.695452971087856,2.887975405428071,10.12900524511537,9.829857087965404,21.6601833339521
p1k_00016,4.197849897173492,6.630072484703031,3.534888913529989,10.128056879417668,10.370452073264302,19.93697555549556
p1k_00017,22.311288948377904,22.48978694773673,10.126156729464643,22.90901873964139,25.040250191093307,52.16725377889607
p1k_00018,21.92259240790732,20.496089734547827,9.579476164007843,22.32196783265025,26.347192034885545,51.29185901540967
p1k_00019,32.846814501042225,21.04036861623111,5.563671028445633,33.192284914361466,29.810610461102645,80.64660762405518
p1k_00020,34.73058301429764,22.27567927691196,5.98002861553259,33.91305124270881,31.0304441990596,87.40490256233423
p1k_00021,39.63438501641154,27.02157097272313,6.9195901163900695,36.28450491083721,28.860718966568143,79.00726109891579
p1k_00022,40.019810312403536,28.78900197672477,8.044888049879475,34.6727618136938,31.5018194583636,87.07411061975496
p1k_00023,37.203723597074486,23.37014543359309,7.67124441490242,37.663698798434,42.48770439430263,122.57944103730092
p1k_00024,36.08846841930417,22.970388958150963,8.029377710930554,40.48025735653403,42.56964623853816,117.4306420920352
p1k_00025,39.41487335858236,21.704624824879783,5.532933710093815,40.07521707724561,43.01930478164921,117.14918855127084
p1k_00026,38.35663773321228,22.513804087921223,6.721043163418548,38.28960876493033,44.37317048490102,117.31726239466916
p1k_00027,33.452741395180816,26.631899237252764,11.788697543336555,29.419611945978467,24.481377369391037,46.55175453975064
p1k_00028,33.640138005192675,26.03342279063163,13.910416152899716,28.923915169319947,24.58773857603637,48.34036679992278
p1k_00029,43.33085590437294,30.21709406230096,17.80231251622652,27.510529068778705,25.0369489617972,41.76827704568745
p1k_00030,42.30647862444068,30.693227434315304,15.683409982637684,24.3765576804812,24.071948464219677,42.728302500178486
p1k_00031,14.847070690880948,12.052588323626855,6.728800449688238,17.87909293975912,13.242638819149375,22.093641593817797
p1k_00032,15.148887182696091,11.126618418914514,5.668574310392523,14.498123415506017,12.224780116756357,21.354222606772414
p1k_00033,39.89361346540494,32.309383780355844,13.340852983810969,46.21192703641595,32.66564249431276,70.80224775100241
p1k_00034,37.52706307439444,38.65423572519056,17.736411495584385,51.85144256966012,51.20958260436472,80.45944135593238
p1k_00035,31.89084372798072,29.003699449672087,12.979387727153824,28.158608955195398,25.954726568666405,48.05230291650672
p1k_00036,31.117608194252988,28.80710964185681,13.721220808529916,26.655650283989697,25.08307052058606,44.92516309032818
p1k_00037,35.90760998192254,31.833158945710444,14.04044252560943,33.62541644040275,32.21753569390815,66.56304368258444
p1k_00038,37.528252013563566,34.79431849555941,14.489752919165284,36.34442525432787,31.89798702270572,66.75260733572472
p1k_00039,29.891288513436557,25.14813643285505,11.01671692883168,23.16748661406523,29.10478642875796,56.16115414217583
p1k_00040,30.111521719433814,26.350671650947184,9.949390866777504,23.236529427580948,28.832920752279577,56.46384579242865
p1k_00041,40.78327158089521,34.61803132396375,16.451125854901427,52.14820303734315,64.45251701304494,131.94525332270928
p1k_00042,41.13549585449726,35.8463640864603,17.6023755066501,49.52557142901128,71.80999729217463,141.74186739443107
p1k_00043,38.09435644873884,26.53168760333318,17.066488176276057,32.27584393751529,41.93605419215087,82.22683922077987
p1k_00044,38.583255119747896,25.75469991045176,16.545372643123343,33.196773956666654,44.870448395827445,83.43429623007701
p1k_00045,22.224725266318263,16.61725511217016,11.16268803055502,20.042581435739216,27.47430822628334,49.87809472050273
p1k_00046,23.033393734377974,17.127215848906637,9.243303460509354,20.108159378950877,26.660485302087203,50.830268414693535
p1k_00047,37.74128738165861,28.68801413414092,16.831256946088523,39.37395352048184,54.812592458459214,108.22953492901374
p1k_00048,41.23143760400903,31.28237788302442,17.289814218637694,44.54162640709982,53.79025555469934,102.82596478152456
p1k_00049,32.90461161032668,31.611649125103007,14.961370098242115,30.68528663891721,31.85951924765731,67.08849333145542
p1k_00050,4.721754696641635,7.467522606361959,2.3204582249464747,12.924466861401188,7.392391522028463,12.189809661713086
p1k_00051,4.636450823312434,8.090751068613743,3.3482456832805494,13.237622988490038,9.133171132546748,14.965974220321629
p1k_00052,15.811001295876151,26.93340460809404,7.769152255210473,14.348581538955376,17.368810974378366,33.49759186185597
p1k_00053,15.978625730584412,26.318243927116736,7.003706248003893,13.413179189510403,18.814568181899837,33.522026465145395
p1k_00054,6.746791312534739,11.77564551284746,4.538391144258181,13.781693970327607,11.79249367537725,23.00704545998429
p1k_00055,6.157291023738709,10.214584567575606,3.665853444050463,12.248738437864768,11.697964184457184,21.38480819034929
p1k_00056,23.369484914525323,19.57446805435131,10.956273452175084,28.887531284799024,20.35307959510249,37.49636316823347
p1k_00057,24.090803108590794,17.054196244908873,11.37661529454908,28.0921161662082,19.551736432312484,39.776462047978455
p1k_00058,23.82752230217912,22.735803692680754,10.648377782464712,24.299988921737803,30.802702598727127,44.11921583781383
p1k_00059,23.75565446116705,20.657226219182583,9.85382600273885,23.690110142377318,30.28957883420689,45.95677080081031
p1k_00060,24.23489285332231,24.44146450001199,15.96896224430914,25.72492188146447,35.43259402232212,60.96983729965788
p1k_00061,24.196396936969208,25.69901825459712,14.213263933900311,25.52699084710645,34.41717800321136,57.60100578421793
p1k_00062,25.479835016983326,18.22878223578887,14.167025180163169,26.366502277213616,26.682334246557783,46.12570302284252
p1k_00063,23.26235191179691,20.761831079856467,10.202758362240258,26.16585417726636,30.043061370152472,49.38336043136094
p1k_00064,25.46137057691347,18.71922661392856,10.129362390116752,26.832981054757024,41.70247440454728,87.91129120998927
p1k_00065,27.87716011050526,21.166966761265364,10.641896652282776,22.484703833969053,38.35385988591139,83.35505801436817
