"gene","iM","Val"
"b1878","FlhDC-1",-10.7592175765864
"b1878","FlhDC-2",-3
"b1880","FlhDC-1",-10.6298051909804
"b1880","FlhDC-2",-7
"b1879","FlhDC-1",-10.2078371240818
"b1879","FlhDC-2",-6
"b1081","FlhDC-1",-10.8446162661832
"b1081","FlhDC-2",-3
"b1940","FlhDC-1",-10.8092522662679
"b1940","FlhDC-2",-8
"b1904","FlhDC-1",-11.2243322573301
"b1904","FlhDC-2",-7
"b1946","FlhDC-1",-11.2180730647176
"b1946","FlhDC-2",-10
"b1937","FlhDC-1",-11.0581635404869
"b1937","FlhDC-2",-6
"b1939","FlhDC-1",-10.9822492490298
"b1939","FlhDC-2",-3
"b1948","FlhDC-1",-10.8213936520951
"b1948","FlhDC-2",-3
"b1072","FlhDC-1",-10.5478124925358
"b1072","FlhDC-2",-7
"b1950","FlhDC-1",-10.5813404396246
"b1950","FlhDC-2",-4
"b1080","FlhDC-1",-10.8612639039818
"b1080","FlhDC-2",-3
"b1949","FlhDC-1",-10.7476811847301
"b1949","FlhDC-2",-9
"b1947","FlhDC-1",-10.9013458359051
"b1947","FlhDC-2",-6
