"sample","gene","Val"
"starve_series__t23_growth2","b1612",0.411225561178092
"starve_series__t23_growth2","b0312",4.68215954937708
"starve_series__t23_growth2","b0118",0.203425798083742
"starve_series__t23_growth2","b1778",0.414369642516639
"starve_series__t23_growth2","b3605",1.44552846296318
"starve_series__t23_growth2","b2587",0.0899360265538102
"starve_series__t23_growth2","b0720",0.417249503744214
"starve_series__t23_growth2","b2288",0.504456475836142
"starve_series__t23_growth2","b3397",0.328558533934318
"p1k_00077","b1612",1.41186586384604
"p1k_00077","b0312",16.0753169572146
"p1k_00077","b0118",0.698424337527232
"p1k_00077","b1778",1.42266047763983
"p1k_00077","b3605",4.96295095623128
"p1k_00077","b2587",0.308778485115337
"p1k_00077","b0720",1.43254794122107
"p1k_00077","b2288",1.73195672951049
"p1k_00077","b3397",1.12804412500095
"p1k_00679","b1612",1.9510701838372E-8
"p1k_00679","b0312",2.22146256341346E-7
"p1k_00679","b0118",9.65158897534068E-9
"p1k_00679","b1778",1.96598735809462E-8
"p1k_00679","b3605",6.85834673286291E-8
"p1k_00679","b2587",4.2670377629064E-9
"p1k_00679","b0720",1.97965093328341E-8
"p1k_00679","b2288",2.39340664093894E-8
"p1k_00679","b3397",1.55885436053157E-8
"p1k_00467","b1612",0.599821597396571
"p1k_00467","b0312",6.82948893577335
"p1k_00467","b0118",0.296720823503038
"p1k_00467","b1778",0.604407615555144
"p1k_00467","b3605",2.10847591587646
"p1k_00467","b2587",0.13118243660842
"p1k_00467","b0720",0.608608237123646
"p1k_00467","b2288",0.735810021843554
"p1k_00467","b3397",0.479241864484705
"p1k_00579","b1612",0.552639542301795
"p1k_00579","b0312",6.29228033135597
"p1k_00579","b0118",0.273380719873806
"p1k_00579","b1778",0.556864823597337
"p1k_00579","b3605",1.94262289014234
"p1k_00579","b2587",0.120863606845721
"p1k_00579","b0720",0.56073502365528
"p1k_00579","b2288",0.677931097275659
"p1k_00579","b3397",0.441544628920027
"p1k_00215","b1612",1.9510701838372E-8
"p1k_00215","b0312",2.22146256341346E-7
"p1k_00215","b0118",9.65158897534068E-9
"p1k_00215","b1778",1.96598735809462E-8
"p1k_00215","b3605",6.85834673286291E-8
"p1k_00215","b2587",4.2670377629064E-9
"p1k_00215","b0720",1.97965093328341E-8
"p1k_00215","b2288",2.39340664093894E-8
"p1k_00215","b3397",1.55885436053157E-8
