,b0399,b3724,b3725,b3726,b3727,b3728
starve_series__t00_growth1,4.05364081760828,6.426848134561286,6.701119147783101,10.51249069304168,10.057699210810002,4.2454744613218
starve_series__t01_starve,5.078797503679816,10.913492255504888,6.9936289424257945,5.505527878227468,3.526424817392702,1.3225756975762346
starve_series__t02_starve,7.370805265387219,11.074557529723752,5.409758943616668,3.4293848264246725,4.061827252407746,1.835332334586127
starve_series__t03_starve,12.920688284531662,7.300899810324608,4.631824062831945,4.182143762903356,3.549752317266262,2.3508713691149508
starve_series__t04_starve,11.844485072644405,6.234928626167648,4.189863372735129,3.4996195079905363,3.771038372239942,1.5160761392711473
starve_series__t05_starve,9.219883854760702,3.717038763783828,2.825715716787535,2.583517514352538,2.9368313508694466,1.1618545211233042
starve_series__t06_starve,9.396115601628354,3.036922186151682,2.3706724159110717,3.73800892337671,3.3250458502233182,1.2022329497437767
starve_series__t07_starve,7.465724298479541,2.260233175409745,2.306207454607557,2.64934373391206,2.6502834052007507,1.083565167144676
starve_series__t08_starve,7.392997154510866,1.910677411986481,1.4758673876464492,3.1483220788788264,3.0053095629267133,0.9612599745878698
starve_series__t09_starve,6.520779765330245,1.884904777116078,1.6184958927768536,3.237629603830149,3.3407778708997826,0.9033088871713404
starve_series__t10_starve,6.751976984398443,1.6769121816074242,1.6804438840661768,3.112569319317507,2.7836364707403125,1.112151343074657
starve_series__t11_starve,5.350567407603597,2.2127813977335906,1.7318896083152304,3.411580953005725,2.5723374490443445,0.8978316333568827
starve_series__t12_starve,5.023995982123488,1.4621254224323006,1.5907187856181255,2.846979128189583,3.05222952552196,0.9993063307148452
starve_series__t14_starve,5.191587093784706,1.9446182388212412,1.644351487501874,3.9095231056029394,4.062349163442399,1.2136543134961328
starve_series__t16_starve,5.113344729223928,1.7550898433529392,1.597721119280542,3.166766631951759,3.614562141628644,0.863603305703717
starve_series__t17_starve,6.039691873935892,1.5840914475563972,1.7977770163732305,3.671655073103756,4.826576417385575,1.1323018538910397
starve_series__t18_starve,5.48259008146585,1.2903684429325069,1.2260869372177476,3.372833865295069,3.677442093931838,1.1334485984418656
starve_series__t21_growth2,6.251899339034385,72.37393655358268,83.49843864355721,116.67906036588349,97.28435590734482,37.322793374855465
starve_series__t22_growth2,5.017691442089818,6.784192527748273,6.415639447827726,11.26998403300764,11.26836164334041,5.134773047195976
starve_series__t23_growth2,4.37493575815177,4.25969157594123,4.424386955276575,6.909552565767496,5.800821709174727,2.075980180832813
starve_series__t25_growth2,4.652250670926168,3.1283121382348846,2.947849456767337,3.4730693088423057,3.47790744523866,1.3989354622372443
starve_series__t26_growth2,3.7723541850838265,3.2980707911988496,2.5738552379989232,3.5105178460188826,3.819703110341629,1.3963943227394164
starve_series__t27_growth2,3.2986727513005096,3.766696185316495,2.946461217217132,4.2108410922852455,4.12592539848045,1.900338512469618
starve_series__t28_growth2,4.569001629241778,6.376784697528239,5.872745590309856,9.639307149310444,7.921121036258536,3.647330268516628
