"gene","iM","Val"
"b1947","FlhDC-1",-11.523142271979
"b1947","FlhDC-2",-3
"b1072","FlhDC-1",-11.169607033914
"b1072","FlhDC-2",-7
"b1081","FlhDC-1",-11.4664081907641
"b1081","FlhDC-2",-6
"b1904","FlhDC-1",-11.8460709306954
"b1904","FlhDC-2",-3
"b1946","FlhDC-1",-11.8398535522232
"b1946","FlhDC-2",-8
"b1949","FlhDC-1",-11.3694941865612
"b1949","FlhDC-2",-7
"b1937","FlhDC-1",-11.6799510250998
"b1937","FlhDC-2",-10
"b1080","FlhDC-1",-11.4830583804271
"b1080","FlhDC-2",-6
"b1939","FlhDC-1",-11.6040441028223
"b1939","FlhDC-2",-3
"b1948","FlhDC-1",-11.4432017735861
"b1948","FlhDC-2",-3
"b1880","FlhDC-1",-11.2516109707118
"b1880","FlhDC-2",-7
"b1950","FlhDC-1",-11.2031354309214
"b1950","FlhDC-2",-4
"b1940","FlhDC-1",-11.4310439850385
"b1940","FlhDC-2",-3
"b1879","FlhDC-1",-10.8296183368479
"b1879","FlhDC-2",-9
"b1878","FlhDC-1",-11.3810201169578
"b1878","FlhDC-2",-6
