,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00783,6.852826764694493,0,539.413276181294,163027.75489166757,0
p1k_00479,7.672750302795179,0,849.0463443493288,287794.92209483735,0
p1k_00590,8.357703749748607,0,1249.806985738752,462673.5366707357,0
p1k_00256,7.79402143837951,0,1052.3233469990741,313032.4615369969,0
p1k_00540,7.247493497985979,0,610.0845479653339,214322.6511389372,0
p1k_00597,7.765235498780597,0,925.5129289752741,306848.4579094078,0
p1k_00876,7.400310055357555,0,1456.8540464014054,238270.59010039843,0
p1k_00939,11.310020398569295,0,17371.706516620994,3581051.1809207904,0
p1k_00774,7.296138518867385,0,1129.6857358511431,221672.43057298497,0
p1k_00231,10.47219832707152,0,4078.670689478758,2003553.5452644445,0
p1k_00342,7.752878993393071,0,1420.2482143537168,304231.56134511775,0
p1k_00818,7.916532222250108,0,1296.119419812064,340775.8400504452,0
p1k_00029,5.330284890762344,0,420.79074852791257,56745.414680749476,0
p1k_00092,9.936384859012037,0,4376.5680998065645,1381990.4042019194,0
p1k_01011,6.337420027506659,0,782.7504997395024,114053.511227778,0
p1k_00449,9.012550627666926,0,2841.8631812799135,728455.8123460807,0
p1k_00050,6.960378524808944,0,881.5025628541639,175645.83403475035,0
p1k_00265,6.493545646628318,0,585.3467291987902,127088.76352333167,0
p1k_00729,7.697369738104327,0,937.1641546591346,292748.2552513439,0
p1k_00488,10.155957878975338,0,5452.613436573206,1609174.3182234266,0
p1k_00703,8.05806060507176,0,1471.1866455631348,375900.65764640627,0
p1k_00026,4.36047649801768,0,68.78872635283517,28972.72590465753,0
p1k_00483,11.055102043960872,0,8836.383658878796,3001044.649331493,0
p1k_00979,10.826967082432192,0,10099.933757870645,2562105.3917115866,0
p1k_01055,11.103316527946404,0,11118.523514409344,3103033.489833084,0
p1k_00627,8.169761844330214,0,1413.6598338878664,406161.27067817823,0
p1k_00228,5.513226757729814,0,342.5338906871663,64417.18812269115,0
p1k_00052,6.920584053974299,0,682.1100518974084,170867.12979889513,0
p1k_00773,7.107416590039481,0,908.1536607507157,194491.54299305414,0
p1k_00387,7.4487641913015565,0,730.7571216520685,246409.0127632613,0
p1k_00172,9.148852350284296,0,3741.4966648670793,800634.1673805676,0
p1k_00938,11.417690477692382,0,16485.13203042131,3858535.0667004124,0
p1k_00290,6.660023279291621,0,559.8629565543989,142633.62354350448,0
p1k_00530,5.147268088019653,0,124.92444044115541,49984.71575034359,0
p1k_00425,5.633140408853124,0,300.1668571639918,70000.21426699006,0
p1k_00759,6.525208015669312,0,481.655553436908,129908.77190519655,0
p1k_00988,11.180626920349697,0,13710.333869057968,3273853.261654968,0
p1k_00154,8.551467012993625,0,1952.2186692164703,529179.7470430492,0
p1k_00171,9.22121960801543,0,3638.2323442655074,841819.2161481554,0
p1k_01010,6.813075427309704,0,971.7784093298059,158597.08576573958,0
p1k_00544,6.805551420554434,0,478.8676366189332,157772.116333166,0
p1k_01052,7.488307043793683,0,1444.0674192095807,253256.25088248617,0
p1k_00482,10.947334187031819,0,4341.200962083833,2785037.834298334,0
p1k_00370,5.279096224851742,0,252.2387928879409,54767.31503622275,0
p1k_00951,11.601528737355375,0,19569.34907453995,4382917.359187367,0
p1k_00664,7.401907864062875,0,891.3563441602657,238534.62491851114,0
p1k_00913,8.63904854246671,0,2658.3982342704076,562299.7388341941,0
p1k_00870,5.510319681166832,0,433.8246212259457,64287.516122700545,0
p1k_00589,7.906620159857921,0,1075.4329643355143,338442.5580794628,0
p1k_00138,7.2918897830534135,0,634.0360920134298,221020.56577292387,0
p1k_00499,10.33506461528092,0,5525.298546010185,1821879.2638388982,0
p1k_00626,7.938196280197039,0,1365.4956982073445,345931.6738921134,0
p1k_00907,8.786419297493186,0,2520.3040375067417,622774.6115908838,0
p1k_00510,10.226754205667312,0,4278.220316193795,1690109.7638719794,0
p1k_00207,7.030866516941746,0,752.9929324995878,184440.73899350688,0
starve_series__t01_starve,10.801049917680825,0,3376.6584182306174,2516489.637623212,0
p1k_00575,8.562971172373087,0,1703.5208546174415,533416.3353613184,0
p1k_00381,6.07807341676068,0,448.17179502479837,95287.85500915127,0
p1k_00070,6.884963182919641,0,1230.8383062135065,166699.98993963253,0
p1k_00255,7.750216540175871,0,1099.074284733724,303670.6282874371,0
p1k_00054,6.2712401902275925,0,635.3136568588297,108939.79251544592,0
p1k_00634,7.913141156935852,0,1369.3470658663102,339975.78456623125,0
p1k_00757,6.460350157070018,0,440.7106837534448,124197.91820319637,0
p1k_00536,4.043191892544848,0,57.71658606178017,23252.902703132382,0
p1k_00281,5.698528200891344,0,239.79699868512793,73245.85554426456,0
p1k_00522,4.069568790103233,0,95.60760510295478,23681.9473775384,0
p1k_00880,6.611409071057025,0,688.2419721043797,137907.40311739605,0
p1k_00701,7.780158568733372,0,1070.1667491025557,310038.93523776863,0
p1k_00306,7.639847438548814,0,1066.709021366649,281305.5999930855,0
p1k_00341,8.020781707586533,0,1563.9172612060984,366311.89308317367,0
starve_series__t10_starve,8.1276146575648,0,991.983810963007,394467.2401825951,0
p1k_00781,6.434467635793058,0,385.2214649702234,121989.6263330475,0
p1k_00196,8.319324839109495,0,1940.074762630721,450527.65715633414,0
p1k_00652,7.75159435821652,0,1185.3722172332496,303960.7815877636,0
p1k_00742,5.959821320443987,0,354.7140033718268,87789.00419274945,0
p1k_00641,7.640511784919162,0,1122.240613198325,281435.1681864956,0
p1k_00252,9.071945736939998,0,2803.900062197389,759071.9135439675,0
p1k_01015,11.415486675237943,0,17213.682232364663,3852645.4245005837,0
p1k_00258,5.226268535921746,0,303.28701659618525,52798.153126208024,0
p1k_00180,9.897530459017212,0,4528.700931368735,1345267.6157756697,0
p1k_00276,5.8648636260010445,0,369.8395924784259,82196.81855790745,0
p1k_00417,6.856107411332939,0,560.5653004983744,163398.89709661505,0
p1k_00448,6.711947457850175,0,438.84601962142267,147860.66348674984,0
p1k_00770,7.861484352301994,0,1207.23312651068,328018.0458549221,0
p1k_00344,7.82315867924394,0,1064.0427234575993,319418.86327238183,0
p1k_00772,5.611932095634,0,205.69666480645085,68978.70408358265,0
p1k_00297,7.285658772434387,0,1017.6069148023113,220068.03477929925,0
p1k_01044,11.374448530749268,0,19935.284887129197,3744599.0984945833,0
p1k_00305,8.316326861047415,0,1434.4943333895744,449592.41471730557,0
p1k_00465,11.06658490529819,0,5814.047947177356,3025026.214692751,0
p1k_00978,6.694506734297914,0,1079.3194804745976,146083.93868810954,0
p1k_00811,7.7285146651248064,0,1218.2435372680507,299136.820075871,0
p1k_00372,1.5083025776283907,0,10.461159182248768,4012.355960115449,0
p1k_00933,5.279560997366475,0,235.48897694112827,54784.96148442202,0
p1k_00166,10.133321550189343,0,4307.253692144279,1584122.9243630606,0
p1k_00948,7.18155014079695,0,1434.0125248479374,204746.8100847422,0
p1k_00814,6.999655329005134,0,899.2939630875954,180493.4099435038,0
p1k_00747,6.300037667036631,0,346.21480278590326,111136.17566982088,0
p1k_00365,7.007964665820838,0,267.87265140265646,181535.97809588764,0
p1k_00412,7.1071161719889515,0,584.9858535207533,194451.04747215015,0
p1k_00614,4.256417237330513,0,85.90639363987134,26956.55560029653,0
p1k_00667,7.368509084749797,0,623.5048827341062,233075.9131310768,0
p1k_00653,7.878172737248464,0,1147.2073712961549,331834.4273427463,0
starve_series__t23_growth2,3.5093427637535726,0,57.27839361789406,16060.999681033507,0
p1k_00668,7.792338650793198,0,1074.0146996573585,312667.5472417688,0
p1k_00798,7.109219104195056,0,532.9177167416632,194734.69407172344,0
p1k_00128,6.527661284342618,0,381.6473950000802,130129.86661819332,0
p1k_00941,10.783946835371028,0,7627.155422405649,2486832.9074388905,0
p1k_00165,9.916949758938811,0,4372.246224390944,1363497.9190064229,0
p1k_00259,8.059536840231216,0,993.7486077099226,376285.49419031857,0
p1k_00393,5.672930758963575,0,326.9409507189981,71957.73062692485,0
p1k_00532,5.302431436485647,0,149.53804685886107,55660.36485926054,0
