,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00723,-0.05244857089820348,0,2.3552456966466444,3.6750754234986496,0
p1k_00929,-0.0571627712223025,0,4.115067685631238,3.663086218493548,0
p1k_00805,0.03834794132893672,0,2.950112495083236,3.9138009129414764,0
p1k_00412,-0.07222524475340275,0,3.2117972585199848,3.625040679343756,0
p1k_00143,0.022652665059480805,0,3.696235334130304,3.8714529111203175,0
p1k_00470,0.03951649045155872,0,2.518000356042079,3.9169722840175276,0
p1k_00545,0.014928768717721816,0,3.0015614311807033,3.85078132336464,0
p1k_00974,0.6305883656548276,0,6.984989093005655,5.900391960247117,0
p1k_00928,-0.062057445985631475,0,4.3474010028279615,3.6506794143129464,0
p1k_00938,0.5656671546085876,0,4.7783391205120145,5.6407601130700264,0
p1k_00056,0.2697667405122551,0,5.919612300800891,4.594758928201331,0
p1k_00242,0.2372101540461769,0,5.714734345553938,4.492232455778971,0
p1k_00658,0.10429789570726383,0,4.898811807040529,4.096864918732031,0
p1k_00248,0.47139090905125974,0,5.214416372521229,5.283937267604551,0
p1k_01023,0.43317126580115267,0,6.038248907799173,5.145793971806989,0
starve_series__t08_starve,0.9699460277348473,0,2.3686329534724444,7.465135553136185,0
p1k_00235,0.3409431742332714,0,4.339286163958523,4.827129742671526,0
p1k_00388,0.00887885821762991,0,4.636870390160162,3.8346669662585997,0
p1k_00095,0.5870208707152801,0,1.891594939128563,5.724871457580224,0
p1k_00657,0.08881551958298727,0,5.128618371263218,4.053134214238619,0
p1k_00693,0.07678366783425808,0,4.136633625014117,4.019472269501519,0
p1k_00005,0.1721965688850817,0,4.044898264418752,4.294288144220662,0
p1k_00698,0.086728200028203,0,5.395324703126144,4.047274300097016,0
p1k_00009,0.11578874063408288,0,4.1907689488737585,4.129626115782694,0
p1k_00386,-0.15285884994278984,0,1.85875949901348,3.4279916127249406,0
p1k_00727,0.02504942783441698,0,3.1937490281731207,3.8778899375436793,0
p1k_00622,0.12254691600194256,0,3.8464871402041143,4.149016358958437,0
p1k_00751,-0.08430305771764243,0,2.9173431319247687,3.5948195964802316,0
p1k_00174,0.0867806556368588,0,3.2057132775247057,4.047421459469189,0
p1k_00007,0.1058735867531902,0,4.085723810365479,4.101341900848154,0
p1k_00102,0.09588300117829358,0,1.423771240642084,4.0730384418142735,0
p1k_00911,0.03186206909703405,0,5.653381224143479,3.8962452705775417,0
p1k_00112,0.04351413110436243,0,3.476102122813258,3.927841082992598,0
p1k_00639,0.1799245578522433,0,4.88056180173647,4.317352792372324,0
p1k_00171,0.17641593293463684,0,3.0625800991390846,4.306865775923317,0
p1k_00981,0.5301845315836227,0,4.159931608008425,5.503719564641301,0
p1k_00361,0.0321842119319427,0,3.9871208992892084,3.897115369665889,0
p1k_00615,0.08208471195567346,0,4.4564090331480655,4.034268600829976,0
p1k_00991,0.5208209974312721,0,3.5673739069356483,5.468114402593684,0
p1k_00071,0.10565852012647366,0,2.678803139649973,4.1007305477900395,0
p1k_00877,0.7054670631938432,0,4.356661851814281,6.214720429272146,0
p1k_00976,0.4327461429422678,0,4.701070708948631,5.1442778701347915,0
p1k_00016,0.07065764206760453,0,3.80625344833618,4.002440821045964,0
p1k_00371,-0.09382549928820028,0,2.7636024367887106,3.571170290727365,0
p1k_00075,0.19326881361690806,0,4.414194385045734,4.3574715444604095,0
p1k_00884,-0.12890607272675284,0,3.9012658372218483,3.485380965535551,0
p1k_00691,0.24972971499500315,0,5.150204625996178,4.531385228690006,0
p1k_01055,0.4651689731455235,0,6.458036468425914,5.261198208587891,0
p1k_00932,0.07536835340582085,0,20.67770420012607,4.015531015512467,0
p1k_00954,0.12130545685230056,0,4.503954181356491,4.145447608371389,0
p1k_00198,0.1496507055878697,0,6.383675848826588,4.227700378754252,0
p1k_01040,0.07019176799229442,0,3.2247310926719726,4.001148564309098,0
p1k_00968,0.4704479269286283,0,3.90510925903803,5.280484680468686,0
p1k_00637,0.17457611768579925,0,4.797609773938512,4.3013768910484345,0
p1k_00729,0.015863684902991265,0,4.637872042638609,3.853277571323049,0
p1k_00817,0.12568417174122826,0,3.8602430131267447,4.158048543874336,0
p1k_00909,0.16501570855656034,0,5.022813152966701,4.272966890231744,0
