,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00783,-0.23979115418258312,0,1.7754417116847683,1.5472573221823125,0
p1k_00479,0.6830722984328521,0,1.2753001796132195,2.9334056743820143,0
p1k_00590,0.6731054007388069,0,1.9499274725412232,2.9132100034679698,0
p1k_00256,-0.3434950607816993,0,1.1204791459076948,1.4399405435565724,0
p1k_00540,1.2185727527956207,0,2.1907739958306727,4.251809786287463,0
p1k_00597,0.9543767697881513,0,1.177622747063734,3.5403232042949706,0
p1k_00876,0.5603013827445091,0,1.8275141428745323,2.6941042656926824,0
p1k_00939,-0.004552133077363134,0,1.5813254673420614,1.8212792854261903,0
p1k_00774,-0.02808610217162402,0,1.2197300985085942,1.7918106661535065,0
p1k_00231,-0.5562640099028658,0,1.5983297964049192,1.2424952130990221,0
p1k_00342,-0.5446320987407389,0,1.266509106143369,1.2525534813816384,0
p1k_00818,-0.3336737754238877,0,1.7064004993829707,1.4497765190978003,0
p1k_00029,-0.21677216241863875,0,2.230400709118902,1.5721426642854168,0
p1k_00092,-0.1399891058348084,0,3.19114850011075,1.658081817229299,0
p1k_01011,0.24350167005492587,0,2.1721511213866265,2.162958482792399,0
p1k_00449,-0.23867897920210654,0,1.3317913823303218,1.5484505642015929,0
p1k_00050,0.3721039707129719,0,2.335126589554353,2.3646198631579116,0
p1k_00265,-0.07890232135570913,0,1.8714059765946396,1.729796090618613,0
p1k_00729,-0.3108617215101855,0,2.522746616552405,1.4728827438014767,0
p1k_00488,-0.8578131411982585,0,1.3996429708746585,1.0081366200076551,0
p1k_00703,-0.38551320077397466,0,1.2795622026335345,1.3986074573313247,0
p1k_00026,0.2525791983292787,0,2.640144201494131,2.1766108598810647,0
p1k_00483,-0.40419807941483615,0,1.7923246034894402,1.3806103683924085,0
p1k_00979,0.1086917441203013,0,2.2331242994548064,1.970000570695287,0
p1k_01055,-0.46173657190842354,0,1.789052090273235,1.326631540776419,0
p1k_00627,-0.2315424678099528,0,1.3693547207486636,1.5561291875280356,0
p1k_00228,0.1455664806254484,0,1.5080579489782673,2.021002048615667,0
p1k_00052,0.22097812523346017,0,2.2359529924411277,2.1294523221906574,0
p1k_00773,0.055574936060150244,0,1.187852438637173,1.8987885293850446,0
p1k_00387,-0.3804845649148552,0,1.1821535955282447,1.403490928112201,0
p1k_00172,-0.2865336323821718,0,1.72718188224342,1.4979304823383748,0
p1k_00938,-0.41209428734524317,0,1.173239400606478,1.3730746057279448,0
p1k_00290,-0.7637503471832163,0,0.9508735888433737,1.0760565936161988,0
p1k_00530,0.5738625039511556,0,0.7030536711396944,2.719547845176409,0
p1k_00425,-0.2008781961791997,0,1.921240810009829,1.5895584943098453,0
p1k_00759,-0.16690616040531955,0,1.5094220032217656,1.6274329920813373,0
p1k_00988,-0.4363939269107422,0,1.2597671227358325,1.3501412767293277,0
p1k_00154,-0.4413356563825896,0,0.9899303012562053,1.3455244874735157,0
p1k_00171,-0.35324637669893066,0,1.6963059659089905,1.43024066369799,0
p1k_01010,0.2534952635534909,0,1.9687629484281717,2.1779933770657727,0
p1k_00544,1.5373863551752494,0,3.147343839287418,5.303301090730398,0
p1k_01052,-0.08063468982349582,0,0.9368490436494903,1.7277202217250158,0
p1k_00482,-0.2382950252097361,0,2.3326261255685203,1.5488627184544916,0
p1k_00370,0.5129875922507979,0,1.4108423307683615,2.6071830823132394,0
p1k_00951,-0.7719469435633011,0,1.7271159249754546,1.0699603684787928,0
p1k_00664,-0.19347101776649822,0,1.7344078193255812,1.5977406954063003,0
p1k_00913,-0.5386514133137746,0,0.8543250113556482,1.2577567134137486,0
p1k_00870,0.629706560679977,0,2.724423943042692,2.8268804341670206,0
p1k_00589,0.7584071371496447,0,2.0856725024036753,3.090652474105225,0
p1k_00138,0.6376519972920863,0,2.90134407464399,2.8424920237135485,0
p1k_00499,-0.5155403184613183,0,1.904878354263776,1.2780674575519757,0
p1k_00626,-0.31339991073986273,0,1.4855319137605527,1.4702937223282095,0
p1k_00907,-0.501614419582628,0,0.4888241414403135,1.2904639898965744,0
p1k_00510,-0.7762219187218038,0,1.5556247355996766,1.0667945685927893,0
p1k_00207,-0.33916476211798896,0,1.3712835897090911,1.4442690673586716,0
starve_series__t01_starve,-0.4379366097779316,0,1.3533894698366093,1.3486983337948428,0
p1k_00575,0.9228722566815059,0,2.5836919593826684,3.463850249291054,0
p1k_00381,3.7074218484940586,0,18.40888689827383,23.866682719088285,0
p1k_00070,-0.29767101611327923,0,1.6812797428055755,1.4864112102109435,0
p1k_00255,-0.40203738096912583,0,1.2086106802390564,1.3826796329027833,0
p1k_00054,-0.32548354849603073,0,2.9218596911049604,1.4580303542876658,0
p1k_00634,-0.1252324561774279,0,1.5518251652917217,1.6751285901041542,0
p1k_00757,0.014401630013888276,0,1.5660534942888138,1.8453646600666616,0
p1k_00536,3.042972450546234,0,3.818377549314043,15.058193039459937,0
p1k_00281,-0.41274444821410294,0,1.798822774649383,1.3724559592168029,0
p1k_00522,3.4637167938401716,0,8.158014707136592,20.157168588976845,0
p1k_00880,0.5841221525180416,0,1.7182208910913832,2.738956694822198,0
p1k_00701,-0.1912040224646942,0,1.2946194403128104,1.6002532970507442,0
p1k_00306,-0.40535593181943846,0,1.3694153186407576,1.3795027873055583,0
p1k_00341,-0.5885901036088458,0,1.1560207590285143,1.2149645332598333,0
starve_series__t10_starve,-0.29228692274979173,0,0.8871952541692689,1.4919688149233186,0
p1k_00781,-0.22693123494810544,0,1.3156082050808926,1.5611109430215453,0
p1k_00196,-0.7208331407427467,0,1.3374003435226545,1.1085479405817067,0
p1k_00652,-0.3198823313082964,0,1.3077501785588466,1.4637021134243613,0
p1k_00742,-0.27082363785943897,0,1.6794172216575012,1.5143310880864957,0
p1k_00641,-0.27308074235796526,0,1.5261126567356935,1.5119637609207766,0
p1k_00252,0.08151730853434119,0,2.000758093150481,1.9332411544854544,0
p1k_01015,0.4334116416509835,0,3.000949558751006,2.4672705863708972,0
p1k_00258,-0.1800266333524113,0,0.9173330469994793,1.6126995325065736,0
p1k_00180,-0.7047506151572455,0,1.401689612451547,1.1209746774246878,0
p1k_00276,-0.470600746540416,0,1.3508031661523192,1.3185054704819101,0
p1k_00417,-0.675572307390557,0,1.029048248657057,1.143877053337788,0
p1k_00448,-0.5550940336668906,0,1.7616268852234167,1.2435032428191837,0
p1k_00770,0.2032538002737538,0,3.7021453397399635,2.103450843893747,0
p1k_00344,-0.6333777344068343,0,1.1066514671380445,1.1778261169373396,0
p1k_00772,-0.1556686319588644,0,1.7550745439895528,1.6401589913985144,0
p1k_00297,-0.41160376104149604,0,1.3815002612761123,1.373541539977596,0
p1k_01044,0.01034423484094392,0,1.6696109970916102,1.8401820991821587,0
p1k_00305,-0.5437289190787872,0,1.132154577951919,1.2533378710019218,0
p1k_00465,-0.1568921498156125,0,1.9454950478297186,1.6387685983830385,0
p1k_00978,-0.35234461842020587,0,0.9507911591150656,1.4311349168010772,0
p1k_00841,2.6960793885275036,0,6.210955606629153,11.839889340603666,0
p1k_00811,-0.4916420598238733,0,1.7914430773407497,1.2994149813625642,0
p1k_00372,1.1026486640758693,0,1.6321425278022068,3.923532002247532,0
p1k_00933,-0.14702936335669398,0,1.5757261577392199,1.6500101968220546,0
p1k_00166,-0.44953787593171124,0,1.2012443014052896,1.3378964207227313,0
p1k_00948,-0.28360022228321863,0,0.9721965611871664,1.5009793003360334,0
p1k_00814,-0.27774079426400367,0,2.257761130360026,1.5070878430897228,0
p1k_00747,0.32305802389743365,0,2.432966306640436,2.285583184772632,0
p1k_00365,0.6196883884574024,0,1.5977674291303463,2.8073183833942563,0
p1k_00412,-0.21024373412487782,0,1.5515953743559974,1.579272984761331,0
p1k_00614,0.08032775814783388,0,3.090082536042794,1.9316477893784119,0
p1k_00667,0.26265903957666387,0,2.131908278372955,2.191871684297536,0
p1k_00653,-0.14735290613918603,0,1.0933984450818799,1.6496402024584846,0
starve_series__t23_growth2,0.18943783249257165,0,1.065202361933368,2.0834032946312924,0
p1k_00668,-0.1250358466809599,0,1.9417480767383022,1.6753568910422192,0
p1k_00798,-0.3082711656454342,0,1.7521403252606824,1.4755298817447209,0
p1k_00128,-0.005584457427154109,0,2.0809065348126934,1.8199765302439064,0
p1k_00941,-0.6705642544579258,0,1.095183351028824,1.1478547139478648,0
p1k_00165,-0.6422125442786971,0,1.3657608203985288,1.1706353575632007,0
p1k_00259,-0.2770667927578662,0,1.4491461192411765,1.5077920922632142,0
p1k_00393,-0.6226964962116255,0,1.4054533720344737,1.1865787136782606,0
p1k_00532,0.46242479771350864,0,0.8451340797991083,2.5173906311020375,0
p1k_00424,-0.30377599320193477,0,1.2338068336361137,1.4801345314096883,0
p1k_00807,-0.19684591647421393,0,1.6180958654717061,1.5940074664392554,0
p1k_00404,-0.27837968451687906,0,3.240041646077903,1.5064205845647556,0
starve_series__t02_starve,-0.42796759694193287,0,1.6432367126030207,1.358050103149998,0
p1k_00316,-0.24983585407584114,0,1.1415360864293562,1.536522027440187,0
p1k_00760,-0.15551098907576796,0,1.687906667869734,1.640338220904185,0
p1k_00775,-0.08363812939738342,0,1.7663145759049403,1.7241271507836817,0
p1k_00433,-0.09810150738556438,0,2.7652427966628843,1.7069286990586947,0
p1k_00035,-0.17571904426612728,0,2.3279164190483197,1.6175219155897962,0
p1k_00126,0.0649484193395476,0,2.2879877359232696,1.911165509216101,0
p1k_00629,-0.24752463142319944,0,1.5109406329136734,1.5389855353284598,0
p1k_00755,-0.2529473983662832,0,1.639156759421227,1.5332116921111647,0
p1k_00884,-0.42521169002475173,0,1.767455851381709,1.3606467965262197,0
