,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00783,0,0.2073847356989117,1.4904276777710574,0,1.8700996003405532
p1k_00479,0,0.1754623670361234,0.5306535665002166,0,1.8291745359300369
p1k_00590,0,-0.07715759661437624,2.18588384026559,0,1.5353555398475074
p1k_00256,0,0.11955688919196983,1.8549518994917247,0,1.7596484899458673
p1k_00540,0,0.8590328923370777,2.432731958400439,0,2.9378551495983394
p1k_00597,0,0.7104849185406502,2.453730386863477,0,2.650409522731261
p1k_00876,0,0.36721762388103985,1.7183133947207287,0,2.089196218314303
p1k_00939,0,0.6198790822285166,2.0182996178030366,0,2.4890745754668444
p1k_00774,0,-0.4318336147930547,2.4059440630609656,0,1.2007174993719727
p1k_00231,0,0.5416872294576324,2.4956961736090073,0,2.3577611951504727
p1k_00342,0,0.4817459981973087,1.9678998170274347,0,2.2618078501850487
p1k_00818,0,0.48392655992702255,1.9284083436859019,0,2.2652290449779713
p1k_00029,0,0.41019849686829746,1.281392215303316,0,2.152374127796309
p1k_00092,0,0.6573499649008416,2.959980209516046,0,2.55456976906062
p1k_01011,0,0.37913997799615184,1.7522937405309853,0,2.106532758794539
p1k_00449,0,-0.4276384221835305,1.6039523321673148,0,1.2042141303314202
p1k_00050,0,0.4919362547091448,3.044526480112668,0,2.277840340036203
p1k_00265,0,0.31336747594873954,1.421256423966884,0,2.0126521486257
p1k_00729,0,0.45915871683369824,1.6102024141553866,0,2.2266720506280366
p1k_00488,0,0.18974229903994688,3.851520211180201,0,1.8473697791064287
p1k_00703,0,0.3877510361639875,1.5977059160016447,0,2.11914368369065
p1k_00026,0,0.4725597076013074,0.6810637476017521,0,2.247451653261679
p1k_00483,0,-0.20492072702050368,1.621785382000076,0,1.4052332772715603
p1k_00979,0,0.6235007209820635,2.3387043700481813,0,2.495330820117528
p1k_01055,0,0.6919254353934716,2.2120795392342423,0,2.6165318291102557
p1k_00627,0,0.2679698356344121,0.9038726159373468,0,1.9503056090126554
p1k_00228,0,0.350004210599561,1.1192895502736124,0,2.0644172404754872
p1k_00052,0,0.4159457133495195,2.0094832403941454,0,2.160965570727203
p1k_00773,0,-0.3492419674687235,2.3093514928859196,0,1.271462053738737
p1k_00387,0,0.1786477430755379,1.0844728129439727,0,1.8332176952222248
p1k_00172,0,0.598247448240876,1.8416017735917238,0,2.4520320252241015
p1k_00938,0,0.6312780515955453,2.1705250407855976,0,2.508819060079094
p1k_00290,0,0.2352266285198461,1.1286936367054565,0,1.9065402673393306
p1k_00530,0,0.29731675262494467,0.8542294579317237,0,1.99038445916464
p1k_00425,0,-0.13559888943764756,1.4631047753996849,0,1.4744035850775543
p1k_00759,0,0.3728345021892385,1.4585505200876687,0,2.097345989313122
p1k_00988,0,0.6414458315210647,2.2700729825558854,0,2.5265630891914377
p1k_00154,0,-0.5424603267280946,1.9416052694072363,0,1.1120873009376355
p1k_00171,0,0.6047818535460686,1.8919670928843206,0,2.463163214433457
p1k_01010,0,0.3809129243610418,1.6918399542315667,0,2.109123095133605
p1k_00544,0,0.9102796861479994,2.1195658275488416,0,3.0440879874721167
p1k_01052,0,0.46640832399871585,1.8895481012982391,0,2.2378893374431432
p1k_00482,0,0.3216884542684988,1.1825233793662209,0,2.0242939881030013
p1k_00370,0,0.36493414417085274,1.5638018936597944,0,2.085892080171007
p1k_00951,0,0.6535543729002817,2.5644211210871193,0,2.5478577746859323
p1k_00664,0,0.3453094443043845,1.0575338467087418,0,2.057710206979695
p1k_00913,0,0.056493838881343524,4.949317381357245,0,1.6843876612347803
p1k_00870,0,0.29343822098436545,1.9350040694696766,0,1.9850407092463018
p1k_00589,0,-0.1404410866567221,2.2457939942638445,0,1.4694632581007687
p1k_00138,0,-0.970719277763884,0.7266237934529408,0,0.8264566743900402
