"gene","iM","Val"
"b0779","DNA Damage",-4
"b1061","DNA Damage",-9
"b0060","DNA Damage",-3
"b1183","DNA Damage",-8
"b4044","DNA Damage",-4
"b4058","DNA Damage",-10
"b2699","DNA Damage",-5
"b0231","DNA Damage",-7
"b1728","DNA Damage",-5
"b2616","DNA Damage",-6
"b1184","DNA Damage",-4
"b1741","DNA Damage",-8
"b4043","DNA Damage",-8
