"gene","iM","Val"
"b0779","DNA Damage",-6.80894074544192
"b1061","DNA Damage",-6.39410263383121
"b0060","DNA Damage",-6.46522144944297
"b1183","DNA Damage",-5.48383537496003
"b4044","DNA Damage",-5.37605623889799
"b4058","DNA Damage",-6.10198753460542
"b2699","DNA Damage",-6.36662643584243
"b0231","DNA Damage",-6.26910966744832
"b1728","DNA Damage",-5.35692793617145
"b2616","DNA Damage",-6.10516462464951
"b1184","DNA Damage",-5.88584246514137
"b1741","DNA Damage",-6.38806003871766
"b4043","DNA Damage",-6.30018561546731
