,b3212,b3213
starve_series__t00_growth1,3.754049300206233,3.049258775902945
starve_series__t01_starve,1.605982034120992,1.2846488800471336
starve_series__t02_starve,0.1740472798652995,0.3313959584218061
starve_series__t03_starve,0.0464574566048529,0.0449017668394155
starve_series__t04_starve,0.0394356579573781,0.0385411852418442
starve_series__t05_starve,0.0214220610849312,0.0217503466547372
starve_series__t06_starve,0.0140955022892507,0.0160072052943101
starve_series__t07_starve,0.0126867994056251,0.0129089571871265
starve_series__t08_starve,0.0106289528427797,0.0134053155129359
starve_series__t09_starve,0.0096079477934719,0.009254477136775
starve_series__t10_starve,0.0098065508800299,0.0109180250431067
starve_series__t11_starve,0.00952176381995,0.0150798297031186
starve_series__t12_starve,0.0114933431046409,0.0105836653442369
starve_series__t14_starve,0.0179443328600218,0.0204748979149326
starve_series__t16_starve,0.0220203936964548,0.0245085737008375
starve_series__t17_starve,0.028606844402619,0.0288439367104234
starve_series__t18_starve,0.0222397576861878,0.0267157135632393
starve_series__t21_growth2,6.239291813081413,4.62077897142976
starve_series__t22_growth2,3.521403743571031,2.4113050147952704
starve_series__t23_growth2,4.952614985757278,3.914271663568592
starve_series__t25_growth2,8.034769105066035,6.31328210096324
starve_series__t26_growth2,5.467835790556975,4.234417748720075
starve_series__t27_growth2,4.792356348308929,3.6755815519314297
starve_series__t28_growth2,5.111034249579608,4.453991203803075
p1k_00001,3.773302045899996,2.8452010244606565
p1k_00002,4.180909803498815,3.044430541082735
p1k_00003,0.886399707763875,0.7933348792636984
p1k_00004,0.8764155833206885,0.7764801263686278
p1k_00005,4.051479946898688,3.442016654781003
p1k_00006,3.806980604678389,3.3371945353723973
p1k_00007,0.7673124187589103,0.6474547635873404
p1k_00008,0.8256028223942524,0.7187720706094287
p1k_00009,1.8004261333758969,1.5762922324177302
p1k_00010,1.7363927028927673,1.4905535543766586
p1k_00011,4.983420522072174,4.466800242705308
p1k_00012,5.022778412949337,4.530750002587341
p1k_00013,4.8782166761437145,4.599226371384965
p1k_00014,5.038538045073036,4.51383608038342
p1k_00015,4.899652322843246,4.213037823617217
p1k_00016,4.779812545834925,4.39873569769338
p1k_00017,5.2775887688682666,4.851559170443145
p1k_00018,5.423634017544682,4.957539880443111
p1k_00019,1.4013669031811606,1.3950657922334713
p1k_00020,1.41824810845455,1.4524006653145314
p1k_00021,2.57638870080814,2.220160857581544
p1k_00022,2.549814739632163,2.223420418483947
p1k_00023,1.4085712277502007,1.3987686859822162
p1k_00024,1.393417462778249,1.3879147993099412
p1k_00025,1.4135337313981051,1.421080397385062
p1k_00026,1.4704569247649426,1.4076078853403675
p1k_00027,1.2537865677345148,0.9352488099341556
p1k_00028,1.262178521060565,0.959777522326409
p1k_00029,1.325796713643414,1.0661604062153276
p1k_00030,1.2538895762701736,1.0915193765317566
p1k_00031,0.5748148278078069,0.4440722138802977
p1k_00032,0.5730012013570577,0.4363146770858992
p1k_00033,5.953910107570761,4.861427776138433
p1k_00034,6.434280539062587,5.8622353473087205
p1k_00035,5.591337226454541,4.793596275986423
p1k_00036,5.992695749669142,5.037686966275096
p1k_00037,5.245298513376308,4.553217821461263
p1k_00038,5.291418002598178,4.748961492942239
p1k_00039,3.33011945637866,2.9122945313575483
p1k_00040,3.5236078435121065,3.030649009689002
p1k_00041,2.2267133519693934,2.0465291528095744
p1k_00042,2.5251333019854085,2.069891301861709
p1k_00043,4.050129533632841,3.5139730044754827
p1k_00044,3.9609759177495207,3.419459276968631
p1k_00045,3.71502139632948,3.2977781725792537
p1k_00046,3.6821393846224018,3.346426825734743
p1k_00047,3.2533379850133914,2.9365713024411795
p1k_00048,3.24231902357824,2.886113822879776
p1k_00049,2.10694160530004,1.804554860079324
p1k_00050,4.361142072918923,2.0914064665289023
p1k_00051,4.173933484099196,2.254042875471292
p1k_00052,4.050238993137411,2.718813945909181
p1k_00053,3.940371816353377,2.66221206665606
p1k_00054,3.49382662749886,2.446162316878264
p1k_00055,3.354711610780608,2.5744369326830525
p1k_00056,1.305934491377826,1.095503042532142
p1k_00057,1.2635054663313416,1.0865002753352349
p1k_00058,0.7992606782369918,0.762565662216853
p1k_00059,0.792271554893546,0.775586586637016
p1k_00060,1.7623923646434825,1.93598126067751
p1k_00061,1.7959577759645229,1.995740976491082
p1k_00062,0.8446056913603274,0.7910752243927343
p1k_00063,0.8005335244971918,0.8168873555182298
p1k_00064,0.843623460412999,0.6346610371542247
p1k_00065,0.910970028836886,0.715780127418744
p1k_00066,0.657763018560866,0.6060677457667193
p1k_00067,0.6519063172992,0.5474120702569117
p1k_00068,0.9784005363562798,0.8545249099531708
p1k_00069,2.989993337791009,2.606942709038943
p1k_00070,2.9275358339262665,2.402944401244412
p1k_00071,2.543374468430568,2.2237975563172405
p1k_00072,2.9593683523719267,2.481142486052004
p1k_00073,1.5553348590886076,1.347644736459216
p1k_00074,1.8573237095413788,1.6099540806004016
p1k_00075,1.180664008168304,1.115614235032306
p1k_00076,1.5865534668096413,1.751113108844932
p1k_00077,1.630977356695629,1.7979081344968768
p1k_00078,1.37376565604134,1.249459735115106
p1k_00079,2.013487875416644,2.5670770491533315
p1k_00080,0.9656001001636874,0.8097029181685548
p1k_00081,2.078868223718232,1.866867527809375
p1k_00082,1.5021812437363082,0.754205667663898
p1k_00083,1.5854002245655148,0.7956667358381
p1k_00084,3.0419390355688467,1.4274349880480892
p1k_00085,2.602277598144788,1.3782040920808536
p1k_00086,0.4806114268020223,0.3902719457436834
p1k_00087,0.476899050962517,0.3973768282725193
p1k_00088,2.6967639557214125,2.316726516882176
p1k_00089,2.6847229367694374,2.3428450289849763
p1k_00090,4.332971687726649,3.7408373982998127
p1k_00091,4.279153909966476,3.807466354598668
p1k_00092,1.8254930002610188,1.6315404332627066
p1k_00093,3.733594196418476,3.2004693849103054
p1k_00094,0.1342710649827916,0.1166513223756477
p1k_00095,0.1282492294430806,0.1269255492406681
p1k_00096,1.3049719590901017,1.2414325874728176
p1k_00097,1.4994246760040828,1.427196364226737
p1k_00098,0.1770313942826208,0.1358357964210391
p1k_00099,0.168212250763847,0.1515359790356668
p1k_00100,1.9676863050306388,1.5440763229810424
p1k_00101,1.944950361840796,1.7283719734776108
p1k_00102,1.9564603381451453,1.6857054495854082
p1k_00103,0.161686414556058,0.1380251581335439
p1k_00104,0.1631823392134875,0.1283939975773472
p1k_00105,1.8255958356940531,1.4843558481410892
p1k_00106,1.727918357161032,1.3770320719243616
p1k_00107,1.5688486669060635,1.3306553681061222
p1k_00108,5.350306200047218,4.58642217065557
p1k_00109,4.463850839005791,5.02534296060872
p1k_00110,5.173281941338818,3.73090353325536
p1k_00111,5.403519758510806,3.8099776327796655
p1k_00112,5.272883273189538,3.7673923486391687
p1k_00113,1.7595429201430788,1.4579221422208195
p1k_00114,1.98887869963238,1.5087129996515805
p1k_00115,2.0422523028049047,1.3855513764142784
p1k_00116,6.245944239780062,5.02359179172763
p1k_00117,6.7422026915134605,5.3359701950051095
p1k_00118,5.878162693359168,4.791013564600585
p1k_00119,5.695145537008844,4.790694638136788
p1k_00120,5.616943300366879,4.629674253186843
p1k_00121,5.235172590082255,4.397471745354356
p1k_00122,3.705902948008138,3.0719216666680773
p1k_00123,3.5114330530854696,2.889667279178691
p1k_00124,3.478988137815682,2.8479303982612523
p1k_00125,1.6213826168501624,1.777854928349477
p1k_00126,2.4583621329557843,2.039969819265808
p1k_00127,2.693680254174025,2.153281174254462
p1k_00128,3.901163029633493,2.971297410281104
p1k_00129,1.547793422487382,1.9426207112614997
p1k_00130,2.110853039641211,1.8064880910839367
p1k_00131,1.7333021706633005,1.6516232940123126
p1k_00132,4.035175300104216,3.3465549378347665
p1k_00133,2.31090582847122,1.9197659818316777
p1k_00134,3.102486794957516,2.5400103542883605
p1k_00135,3.633745878105667,3.2401222971978982
p1k_00136,3.434166600193732,3.231103710057864
p1k_00137,3.2314057870298103,2.649968881253882
p1k_00138,2.495995736458956,2.871982400027329
p1k_00139,3.337009236734418,3.475353662022897
p1k_00140,3.87009845761417,3.1462364282400306
