"sample","gene","Val"
"p1k_00964","b0523",16.6332139547705
"p1k_00964","b2500",8.25269189727231
"p1k_00964","b0522",522.916663059265
"p1k_00964","b2312",17.5923870237042
"p1k_00964","b2499",18.037607472044
"p1k_00964","b4005",608.259850824115
"p1k_00964","b1849",33.7284488173282
"p1k_00964","b2557",490.648702334241
"p1k_00964","b4006",494.642459939925
"p1k_00964","b2313",9.20680997166105
"p1k_00745","b0523",14.1231748392392
"p1k_00745","b2500",7.007317459902
"p1k_00745","b0522",444.005799409523
"p1k_00745","b2312",14.9376036676349
"p1k_00745","b2499",15.3156380181222
"p1k_00745","b4005",516.470253087478
"p1k_00745","b1849",28.6386492110764
"p1k_00745","b2557",416.607242987147
"p1k_00745","b4006",419.998321649635
"p1k_00745","b2313",7.81745411890924
"p1k_00383","b0523",34.8676162097699
"p1k_00383","b2500",17.2998251903709
"p1k_00383","b0522",1096.17164589016
"p1k_00383","b2312",36.8782966794175
"p1k_00383","b2499",37.8115965073199
"p1k_00383","b4005",1275.07354213191
"p1k_00383","b1849",70.7037504544436
"p1k_00383","b2557",1028.52946480048
"p1k_00383","b4006",1036.90143715702
"p1k_00383","b2313",19.2999090543225
"p1k_00907","b0523",6.24020072909472
"p1k_00907","b2500",3.09612165961363
"p1k_00907","b0522",196.180061829982
"p1k_00907","b2312",6.60004895207578
"p1k_00907","b2499",6.76708010876578
"p1k_00907","b4005",228.1978440795
"p1k_00907","b1849",12.653735560274
"p1k_00907","b2557",184.074250374046
"p1k_00907","b4006",185.572568690072
"p1k_00907","b2313",3.45407342525754
"p1k_00443","b0523",15.5366105667444
"p1k_00443","b2500",7.70860403070043
"p1k_00443","b0522",488.441534805315
"p1k_00443","b2312",16.4325467627589
"p1k_00443","b2499",16.8484144802677
"p1k_00443","b4005",568.158171435647
"p1k_00443","b1849",31.504781680807
"p1k_00443","b2557",458.300953380044
"p1k_00443","b4006",462.03140840733
"p1k_00443","b2313",8.59981850054247
"p1k_00045","b0523",13.1485139054681
"p1k_00045","b2500",6.52373224224096
"p1k_00045","b0522",413.364310369119
"p1k_00045","b2312",13.906737810296
"p1k_00045","b2499",14.2586834578367
"p1k_00045","b4005",480.827886206864
"p1k_00045","b1849",26.6622541795246
"p1k_00045","b2557",387.856568362806
"p1k_00045","b4006",391.013623731432
"p1k_00045","b2313",7.27796018656201
"p1k_00544","b0523",26.4028887273581
"p1k_00544","b2500",13.0999881596759
"p1k_00544","b0522",830.056686938448
"p1k_00544","b2312",27.9254411263231
"p1k_00544","b2499",28.632165995529
"p1k_00544","b4005",965.526999309864
"p1k_00544","b1849",53.5391706913562
"p1k_00544","b2557",778.835835766914
"p1k_00544","b4006",785.17536449261
"p1k_00544","b2313",14.6145164654711
"p1k_00694","b0523",9.8654498225037
"p1k_00694","b2500",4.89481576047256
"p1k_00694","b0522",310.151009587818
"p1k_00694","b2312",10.4343521289607
"p1k_00694","b2499",10.6984201560415
"p1k_00694","b4005",360.769545420765
"p1k_00694","b1849",20.0049323181345
"p1k_00694","b2557",291.012318275791
"p1k_00694","b4006",293.381085693156
"p1k_00694","b2313",5.46071986134095
"p1k_00933","b0523",9.69355681309661
"p1k_00933","b2500",4.80952977486634
"p1k_00933","b0522",304.747019768003
"p1k_00933","b2312",10.2525467150232
"p1k_00933","b2499",10.512013690081
"p1k_00933","b4005",354.483591512881
"p1k_00933","b1849",19.656371625919
"p1k_00933","b2557",285.941795992169
"p1k_00933","b4006",288.269290627524
"p1k_00933","b2313",5.36557371115185
"p1k_00945","b0523",14.2801775511542
"p1k_00945","b2500",7.0852155144809
"p1k_00945","b0522",448.941666550361
"p1k_00945","b2312",15.1036601182579
"p1k_00945","b2499",15.4858969528819
"p1k_00945","b4005",522.211683840916
"p1k_00945","b1849",28.9570157004037
"p1k_00945","b2557",421.238529344285
"p1k_00945","b4006",424.667305518302
"p1k_00945","b2313",7.90435819755382
"p1k_00358","b0523",15.3547814238081
"p1k_00358","b2500",7.61838815909086
"p1k_00358","b0522",482.725171814392
"p1k_00358","b2312",16.2402322369299
"p1k_00358","b2499",16.6512329424012
"p1k_00358","b4005",561.508863150511
"p1k_00358","b1849",31.1360727254781
"p1k_00358","b2557",452.937333741
"p1k_00358","b4006",456.624130247178
"p1k_00358","b2313",8.49917250567482
"p1k_00991","b0523",18.0230805266735
"p1k_00991","b2500",8.94228445752092
"p1k_00991","b0522",566.611428956789
"p1k_00991","b2312",19.0624018212481
"p1k_00991","b2499",19.5448247621402
"p1k_00991","b4005",659.085868934022
"p1k_00991","b1849",36.5467882952436
"p1k_00991","b2557",531.647166718591
"p1k_00991","b4006",535.974641560614
"p1k_00991","b2313",9.97612836366096
"p1k_00047","b0523",10.6940861189662
"p1k_00047","b2500",5.30594977631561
"p1k_00047","b0522",336.201761307492
"p1k_00047","b2312",11.3107726733544
"p1k_00047","b2499",11.5970207688468
"p1k_00047","b4005",391.071938659034
"p1k_00047","b1849",21.6852219476321
"p1k_00047","b2557",315.455539211439
"p1k_00047","b4006",318.023268327989
"p1k_00047","b2313",5.91938629453276
"p1k_00073","b0523",13.6751141801834
"p1k_00073","b2500",6.78500885613302
"p1k_00073","b0522",429.919623080722
"p1k_00073","b2312",14.4637050846167
"p1k_00073","b2499",14.8297462167127
"p1k_00073","b4005",500.08512689488
"p1k_00073","b1849",27.7300821087044
"p1k_00073","b2557",403.390291559088
"p1k_00073","b4006",406.673787545746
"p1k_00073","b2313",7.56944376114431
"p1k_00863","b0523",11.8266389627553
"p1k_00863","b2500",5.86787423075881
"p1k_00863","b0522",371.807072188655
"p1k_00863","b2312",12.5086354560321
"p1k_00863","b2499",12.8251985397313
"p1k_00863","b4005",432.488253370481
"p1k_00863","b1849",23.9817865639795
"p1k_00863","b2557",348.863729873877
"p1k_00863","b4006",351.703393298855
"p1k_00863","b2313",6.54627649410483
