Parameter,Value
act_TF_conc_lo,1.4017526362074063e-18
act_TF_conc_up,1.930427656966129e-07
act_Kd_lo,5.173036701722881e-09
act_Kd_up,7.917626790287096e-08
inh_TF_conc_lo,1.4017526362074063e-18
inh_TF_conc_up,1.930427656966129e-07
inh_Kd_lo,5.173036701722881e-09
inh_Kd_up,7.917626790287096e-08
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,1.8953284710069522e-05
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
